#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    3.1489536943e-03    1.3529152001e-13    8.0572726081e-04   -8.4672753357e-09    2.8794787020e-04   -4.5116894151e-13    1.6419364367e-04   -8.9251187919e-14
   0.0200000    3.1475333323e-03   -3.3955443181e-13    8.0547253625e-04   -1.5627606544e-08    2.8788514845e-04   -4.5213929933e-13    1.6416345895e-04   -7.4296748391e-14
   0.0300000    3.1461027046e-03   -7.9213833437e-13    8.0521741957e-04   -2.1366316586e-08    2.8782205906e-04   -4.5165614414e-13    1.6413280605e-04   -6.0536449948e-14
   0.0400000    3.1446630126e-03   -1.2200769887e-12    8.0496196078e-04   -2.5681611232e-08    2.8775856768e-04   -4.4874536515e-13    1.6410192818e-04   -4.7581758917e-14
   0.0500000    3.1432158230e-03   -1.6096914815e-12    8.0470623081e-04   -2.8591594518e-08    2.8769469217e-04   -4.4622925465e-13    1.6407091583e-04   -3.3770873481e-14
   0.0600000    3.1417629920e-03   -1.9644061119e-12    8.0445031489e-04   -3.0132995511e-08    2.8763045650e-04   -4.4110789495e-13    1.6403985566e-04   -1.9794873779e-14
   0.0700000    3.1403065629e-03   -2.2712219810e-12    8.0419430829e-04   -3.0359666794e-08    2.8756589082e-04   -4.3441071576e-13    1.6400882716e-04   -8.2358158663e-15
   0.0800000    3.1388486582e-03   -2.5318361390e-12    8.0393831179e-04   -2.9340834945e-08    2.8750103093e-04   -4.2716931965e-13    1.6397790216e-04    2.6426158662e-15
   0.0900000    3.1373913687e-03   -2.7510445611e-12    8.0368242697e-04   -2.7159157693e-08    2.8743591759e-04   -4.1731755738e-13    1.6394714455e-04    1.4065372382e-14
   0.1000000    3.1359366471e-03   -2.9116999810e-12    8.0342675168e-04   -2.3908628472e-08    2.8737059582e-04   -4.0695647486e-13    1.6391661009e-04    2.5348605675e-14
   0.1100000    3.1344862092e-03   -3.0355425785e-12    8.0317137545e-04   -1.9692349618e-08    2.8730511425e-04   -3.9255201321e-13    1.6388634661e-04    3.6874051566e-14
