#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    1.2038304385e-03   -1.9141835386e-04    1.6495310964e-04   -4.2212270345e-05    3.5075585270e-05   -1.2962675579e-05    1.4686186114e-05   -6.7018406935e-06
   0.0200000    1.2035240162e-03   -1.9109075818e-04    1.6492441625e-04   -4.2256262086e-05    3.5070943896e-05   -1.2952120382e-05    1.4705162830e-05   -6.6841320264e-06
   0.0300000    1.2032120857e-03   -1.9067887300e-04    1.6489667256e-04   -4.2303407034e-05    3.5066441615e-05   -1.2942301350e-05    1.4722714974e-05   -6.6546459270e-06
   0.0400000    1.2028950898e-03   -1.9019110950e-04    1.6486954681e-04   -4.2353705442e-05    3.5062001484e-05   -1.2933278054e-05    1.4738842311e-05   -6.6151597364e-06
   0.0500000    1.2025735682e-03   -1.8963663993e-04    1.6484262222e-04   -4.2407213007e-05    3.5057620811e-05   -1.2925103549e-05    1.4753577947e-05   -6.5673314946e-06
   0.0600000    1.2022481402e-03   -1.8902525176e-04    1.6481542592e-04   -4.2464034571e-05    3.5053294881e-05   -1.2917824869e-05    1.4766961886e-05   -6.5127027063e-06
   0.0700000    1.2019194811e-03   -1.8836719648e-04    1.6478746149e-04   -4.2524317189e-05    3.5049018018e-05   -1.2911482880e-05    1.4779038830e-05   -6.4527014208e-06
   0.0800000    1.2015882963e-03   -1.8767303563e-04    1.6475824340e-04   -4.2588241890e-05    3.5044783629e-05   -1.2906112210e-05    1.4789856595e-05   -6.3886454884e-06
   0.0900000    1.2012552944e-03   -1.8695348615e-04    1.6472733124e-04   -4.2656014357e-05    3.5040584314e-05   -1.2901741161e-05    1.4799464615e-05   -6.3217459656e-06
   0.1000000    1.2009211601e-03   -1.8621926777e-04    1.6469436196e-04   -4.2727854743e-05    3.5036411950e-05   -1.2898391672e-05    1.4807912741e-05   -6.2531106412e-06
   0.1100000    1.2005865288e-03   -1.8548095455e-04    1.6465907816e-04   -4.2803986986e-05    3.5032257778e-05   -1.2896079350e-05    1.4815250147e-05   -6.1837476959e-06
   0.1200000    1.2002519623e-03   -1.8474883249e-04    1.6462135094e-04   -4.2884627747e-05    3.5028112566e-05   -1.2894813515e-05    1.4821524487e-05   -6.1145694234e-06
   0.1300000    1.1999179278e-03   -1.8403276569e-04    1.6458119586e-04   -4.2969975373e-05    3.5023966656e-05   -1.2894597257e-05    1.4826781145e-05   -6.0463960103e-06
   0.1400000    1.1995847804e-03   -1.8334207245e-04    1.6453878123e-04   -4.3060199106e-05    3.5019810094e-05   -1.2895427563e-05    1.4831062663e-05   -5.9799593871e-06
   0.1500000    1.1992527497e-03   -1.8268541301e-04    1.6449442791e-04   -4.3155428749e-05    3.5015632763e-05   -1.2897295482e-05    1.4834408325e-05   -5.9159070873e-06
   0.1600000    1.1989219309e-03   -1.8207069039e-04    1.6444860067e-04   -4.3255745184e-05    3.5011424501e-05   -1.2900186243e-05    1.4836853796e-05   -5.8548061420e-06
   0.1700000    1.1985922810e-03   -1.8150496527e-04    1.6440189122e-04   -4.3361171760e-05    3.5007175210e-05   -1.2904079494e-05    1.4838430950e-05   -5.7971469441e-06
   0.1800000    1.1982636191e-03   -1.8099438599e-04    1.6435499385e-04   -4.3471666986e-05    3.5002874942e-05   -1.2908949526e-05    1.4839167730e-05   -5.7433471375e-06
   0.1900000    1.1979356329e-03   -1.8054413406e-04    1.6430867456e-04   -4.3587118548e-05    3.4998514062e-05   -1.2914765516e-05    1.4839088141e-05   -5.6937554508e-06
   0.2000000    1.1976078885e-03   -1.8015838566e-04    1.6426373516e-04   -4.3707338844e-05    3.4994083308e-05   -1.2921491804e-05    1.4838212270e-05   -5.6486555158e-06
   0.2100000    1.1972798455e-03   -1.7984028902e-04    1.6422097425e-04   -4.3832062169e-05    3.4989573936e-05   -1.2929088183e-05    1.4836556431e-05   -5.6082696370e-06
   0.2200000    1.1969508749e-03   -1.7959195797e-04    1.6418114674e-04   -4.3960943591e-05    3.4984977766e-05   -1.2937510209e-05    1.4834133346e-05   -5.5727624980e-06
   0.2300000    1.1966202807e-03   -1.7941448042e-04    1.6414492390e-04   -4.4093559624e-05    3.4980287316e-05   -1.2946709535e-05    1.4830952338e-05   -5.5422448167e-06
   0.2400000    1.1962873233e-03   -1.7930794210e-04    1.6411285619e-04   -4.4229410580e-05    3.4975495840e-05   -1.2956634241e-05    1.4827019626e-05   -5.5167769506e-06
   0.2500000    1.1959512450e-03   -1.7927146387e-04    1.6408534049e-04   -4.4367924678e-05    3.4970597417e-05   -1.2967229207e-05    1.4822338637e-05   -5.4963723853e-06
   0.2600000    1.1956112953e-03   -1.7930325204e-04    1.6406259348e-04   -4.4508463791e-05    3.4965587016e-05   -1.2978436457e-05    1.4816910339e-05   -5.4810011855e-06
   0.2700000    1.1952667565e-03   -1.7940066033e-04    1.6404463278e-04   -4.4650330738e-05    3.4960460542e-05   -1.2990195519e-05    1.4810733580e-05   -5.4705933463e-06
   0.2800000    1.1949169686e-03   -1.7956026201e-04    1.6403126658e-04   -4.4792777871e-05    3.4955214869e-05   -1.3002443832e-05    1.4803805505e-05   -5.4650420506e-06
   0.2900000    1.1945613511e-03   -1.7977793091e-04    1.6402209289e-04   -4.4935017029e-05    3.4949847876e-05   -1.3015117091e-05    1.4796121913e-05   -5.4642068387e-06
   0.3000000    1.1941994236e-03   -1.8004892967e-04    1.6401650816e-04   -4.5076230409e-05    3.4944358482e-05   -1.3028149637e-05    1.4787677672e-05   -5.4679167008e-06
   0.3100000    1.1938308223e-03   -1.8036800348e-04    1.6401372553e-04   -4.5215582292e-05    3.4938746592e-05   -1.3041474825e-05    1.4778467082e-05   -5.4759730358e-06
   0.3200000    1.1934553130e-03   -1.8072947781e-04    1.6401280167e-04   -4.5352231359e-05    3.4933013166e-05   -1.3055025431e-05    1.4768484303e-05   -5.4881525507e-06
   0.3300000    1.1930728002e-03   -1.8112735845e-04    1.6401267149e-04   -4.5485343332e-05    3.4927160157e-05   -1.3068733964e-05    1.4757723719e-05   -5.5042100309e-06
