#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    6.4789631200e-10    1.7526138407e-10    5.7830972432e-11    2.2746256608e-11    1.1060275936e-09   -4.4197322455e-09    5.7788942555e-11    8.9807706977e-11
   0.0200000    4.4321600063e-10    3.3686413427e-11    5.3628788119e-11    2.6534518435e-11    1.2374385276e-09   -4.3292304280e-09    5.7472153669e-11    1.6627244513e-10
   0.0300000    2.2630739480e-10   -1.1009008883e-10    5.0102582307e-11    2.9894792341e-11    1.3414617293e-09   -4.2399119406e-09    5.6798844467e-11    2.3531497280e-10
   0.0400000   -3.4013400366e-12   -2.5423108793e-10    4.7244137040e-11    3.2820032590e-11    1.4182262182e-09   -4.1525254718e-09    5.5787370252e-11    2.9719481417e-10
   0.0500000   -2.4631957015e-10   -3.9673427764e-10    4.5046897771e-11    3.5346887438e-11    1.4678309535e-09   -4.0666532121e-09    5.4453456334e-11    3.5217532516e-10
   0.0600000   -5.0263071924e-10   -5.3544631005e-10    4.3494347882e-11    3.7498922195e-11    1.4905153597e-09   -3.9817274147e-09    5.2816181974e-11    4.0052197371e-10
   0.0700000   -7.7229236907e-10   -6.6815999421e-10    4.2588185980e-11    3.9320019951e-11    1.4866353374e-09   -3.8970415676e-09    5.0894408920e-11    4.4249136410e-10
   0.0800000   -1.0550305919e-09   -7.9260164060e-10    4.2318765273e-11    4.0874453585e-11    1.4566917039e-09   -3.8117610247e-09    4.8704002354e-11    4.7833716044e-10
   0.0900000   -1.3502664087e-09   -9.0651088856e-10    4.2681483848e-11    4.2235862651e-11    1.4012857312e-09   -3.7249560875e-09    4.6263516710e-11    5.0831181109e-10
   0.1000000   -1.6571896080e-09   -1.0076544941e-09    4.3675780656e-11    4.3516686826e-11    1.3211541734e-09   -3.6356114249e-09    4.3591195316e-11    5.3266529190e-10
   0.1100000   -1.9746736357e-09   -1.0938867278e-09    4.5293990125e-11    4.4836612373e-11    1.2171460162e-09   -3.5426649335e-09    4.0708295338e-11    5.5163563005e-10
   0.1200000   -2.3013613125e-09   -1.1631688724e-09    4.7532148659e-11    4.6344549563e-11    1.0902260663e-09   -3.4450284400e-09    3.7624607624e-11    5.6546500555e-10
   0.1300000   -2.6356031659e-09   -1.2136364107e-09    5.0364216051e-11    4.8198378842e-11    9.4144749313e-10   -3.3416094396e-09    3.4362080166e-11    5.7438448492e-10
   0.1400000   -2.9755443387e-09   -1.2436106707e-09    5.3748988962e-11    5.0591157357e-11    7.7199090938e-10   -3.2313449567e-09    3.0939412598e-11    5.7862381136e-10
   0.1500000   -3.3190825794e-09   -1.2516279279e-09    5.7618474617e-11    5.3707574474e-11    5.8311471753e-10   -3.1132313501e-09    2.7369155048e-11    5.7840080516e-10
   0.1600000   -3.6639294154e-09   -1.2365078835e-09    6.1876835728e-11    5.7772110324e-11    3.7617707490e-10   -2.9863340215e-09    2.3665959767e-11    5.7393516572e-10
   0.1700000   -4.0076439646e-09   -1.1973337723e-09    6.6399366281e-11    6.2987028585e-11    1.5261753282e-10   -2.8498311010e-09    1.9846243732e-11    5.6543556230e-10
