#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -6.3293265468e-10    1.6709957960e-10   -1.8516792558e-10   -3.9500047457e-11   -1.1029241634e-09   -4.4199272978e-09   -5.6734817709e-11    8.9556712553e-11
   0.0200000   -4.2826264953e-10    2.5530064516e-11   -2.4158496271e-10   -1.2301670564e-10   -1.2343228126e-09   -4.3294379807e-09   -5.6419092120e-11    1.6601738641e-10
   0.0300000   -2.1135830183e-10   -1.1824026081e-10   -2.9137418922e-10   -2.0657942193e-10   -1.3383300287e-09   -4.2401346380e-09   -5.5747422916e-11    2.3505459967e-10
   0.0400000    1.8339832958e-11   -2.6237647087e-10   -3.3425984086e-10   -2.9007459721e-10   -1.4150764024e-09   -4.1527640585e-09   -5.4735779310e-11    2.9692945742e-10
   0.0500000    2.6125188228e-10   -4.0486802328e-10   -3.6994913946e-10   -3.7329194053e-10   -1.4646604212e-09   -4.0669115477e-09   -5.3402902890e-11    3.5190559380e-10
   0.0600000    5.1755462369e-10   -5.4357920352e-10   -3.9819276099e-10   -4.5593824936e-10   -1.4873200337e-09   -3.9820076867e-09   -5.1767563985e-11    4.0024693944e-10
   0.0700000    7.8721020333e-10   -6.7628183936e-10   -4.1879381039e-10   -5.3758898339e-10   -1.4834133700e-09   -3.8973460752e-09   -4.9845301110e-11    4.4220930537e-10
   0.0800000    1.0699395932e-09   -8.0071839039e-10   -4.3156111497e-10   -6.1767466850e-10   -1.4534424417e-09   -3.8120905109e-09   -4.7658232526e-11    4.7804991727e-10
   0.0900000    1.3651649921e-09   -9.1462449550e-10   -4.3633727224e-10   -6.9548651450e-10   -1.3980085148e-09   -3.7253125476e-09   -4.5220748493e-11    5.0801928231e-10
   0.1000000    1.6720810660e-09   -1.0157575699e-09   -4.3296655711e-10   -7.7012891249e-10   -1.3178460894e-09   -3.6359975894e-09   -4.2551177372e-11    5.3236542789e-10
   0.1100000    1.9895557487e-09   -1.1019860190e-09   -4.2129506291e-10   -8.4055869125e-10   -1.2138057670e-09   -3.5430815021e-09   -3.9672616993e-11    5.5132883168e-10
   0.1200000    2.3162372674e-09   -1.1712592005e-09   -4.0118438939e-10   -9.0556522794e-10   -1.0868531353e-09   -3.4454743485e-09   -3.6594924946e-11    5.6515245955e-10
   0.1300000    2.6504744395e-09   -1.2217217917e-09   -3.7248702868e-10   -9.6378896073e-10   -9.3804126984e-10   -3.3420864238e-09   -3.3337699313e-11    5.7406389048e-10
   0.1400000    2.9904068625e-09   -1.2516866095e-09   -3.3505634658e-10   -1.0137247178e-09   -7.6855140067e-10   -3.2318508608e-09   -2.9918856306e-11    5.7829678781e-10
   0.1500000    3.3339284851e-09   -1.2596961009e-09   -2.8875961512e-10   -1.0537708091e-09   -5.7964021508e-10   -3.1137679355e-09   -2.6353486998e-11    5.7806622400e-10
   0.1600000    3.6787740745e-09   -1.2445712681e-09   -2.3348221823e-10   -1.0822171958e-09   -3.7266925158e-10   -2.9868981780e-09   -2.2655228469e-11    5.7359555689e-10
   0.1700000    4.0224775480e-09   -1.2053876344e-09   -1.6913998738e-10   -1.0973347244e-09   -1.4907804433e-10   -2.8504233256e-09   -1.8842358161e-11    5.6509367952e-10
   0.1800000    4.3624607896e-09   -1.1415371814e-09   -9.5687214778e-11   -1.0973565415e-09    8.9618819868e-11   -2.7036453003e-09   -1.4923196060e-11    5.5276335273e-10
   0.1900000    4.6960359996e-09   -1.0527071560e-09   -1.3140197528e-11   -1.0805907267e-09    3.4182227760e-10   -2.5460153516e-09   -1.0914409493e-11    5.3680652306e-10
   0.2000000    5.0204664416e-09   -9.3895116260e-10    7.8408039764e-11   -1.0454016667e-09    6.0588313591e-10   -2.3771551990e-09   -6.8290264954e-12    5.1741966380e-10
   0.2100000    5.3329641241e-09   -8.0059486216e-10    1.7878246383e-10   -9.9033432082e-10    8.8008902473e-10   -2.1968694595e-09   -2.6762493657e-12    4.9478701564e-10
   0.2200000    5.6307465795e-09   -6.3834538414e-10    2.8769306454e-10   -9.1412032874e-10    1.1626812305e-09   -2.0051593012e-09    1.5321283325e-12    4.6909387266e-10
   0.2300000    5.9110545146e-09   -4.5320823020e-10    4.0473808323e-10   -8.1575798290e-10    1.4518534803e-09   -1.8022420881e-09    5.7851812182e-12    4.4051731050e-10
   0.2400000    6.1712132462e-09   -2.4649502381e-10    5.2937715717e-10   -6.9456613982e-10    1.7457810386e-09   -1.5885424282e-09    1.0074759679e-11    4.0922793165e-10
   0.2500000    6.4086088796e-09   -1.9813536668e-11    6.6092753480e-10   -5.5024973246e-10    2.0426114215e-09   -1.3647115947e-09    1.4389954414e-11    3.7539478786e-10
   0.2600000    6.6207659294e-09    2.2495617726e-10    7.9854822889e-10   -3.8293093111e-10    2.3404798805e-09   -1.1316267092e-09    1.8720104437e-11    3.3917548989e-10
   0.2700000    6.8053213114e-09    4.8568283142e-10    9.4124086864e-10   -1.9319908835e-10    2.6375240433e-09   -8.9036055337e-10    2.3061156024e-11    3.0072684253e-10
   0.2800000    6.9601126341e-09    7.6005125328e-10    1.0878554012e-09    1.7843248995e-11    2.9318798767e-09   -6.4222082664e-10    2.7397729441e-11    2.6020178387e-10
   0.2900000    7.0831532954e-09    1.0455533231e-09    1.2370533692e-09    2.4856242033e-10    3.2217169566e-09   -3.8871257448e-10    3.1733335106e-11    2.1773951149e-10
   0.3000000    7.1726540399e-09    1.3395266988e-09    1.3873641049e-09    4.9676963034e-10    3.5052189618e-09   -1.3151233876e-10    3.6051267515e-11    1.7348627020e-10
   0.3100000    7.2270877182e-09    1.6392617606e-09    1.5371373549e-09    7.5974845832e-10    3.7806210389e-09    1.2750476368e-10    4.0350689684e-11    1.2757577820e-10
