# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1840419517287860e-05  1.6673913532222529e-05  8.0395184903389572e-01  4.2158073961355829e+00  7.6267245273033590e-01
5.0000000000000000e-01  2.0817216918145326e-05  1.5891101393483515e-05  8.0794134689730512e-01  4.2317653875892205e+00  7.5276522810769131e-01
1.0000000000000000e+00  1.9695892362480615e-05  1.5030307293798085e-05  8.0744010530511101e-01  4.2297604212204440e+00  7.4894600812988787e-01
1.5000000000000000e+00  1.8470922255576118e-05  1.4086586779529722e-05  8.0682935681743539e-01  4.2273174272697416e+00  7.4450140283632138e-01
2.0000000000000000e+00  1.7149255582194522e-05  1.3065940552965108e-05  8.0587898113119594e-01  4.2235159245247837e+00  7.3948293783363472e-01
2.4999999999999898e+00  1.5729762281691367e-05  1.1969927673492563e-05  8.0463714327372327e-01  4.2185485730948926e+00  7.3352859761513900e-01
2.9999999999999800e+00  1.4215300052745520e-05  1.0798534838702400e-05  8.0420390984726997e-01  4.2168156393890799e+00  7.2435157620721669e-01
3.4999999999999698e+00  1.2615753455722261e-05  9.5621384680150735e-06  8.0452516478477376e-01  4.2181006591390950e+00  7.1133618037167146e-01
3.9999999999999600e+00  1.0948674959544884e-05  8.2745114082600044e-06  8.0474648695444795e-01  4.2189859478177922e+00  6.9492094772185997e-01
4.4999999999999503e+00  9.2286385247543654e-06  6.9468404984134964e-06  8.0416901063786783e-01  4.2166760425514713e+00  6.7485991334329631e-01
4.9999999999999396e+00  7.4995221137853444e-06  5.6170868995120094e-06  8.0280129807409062e-01  4.2112051922963625e+00  6.4969022464433723e-01
5.4999999999999298e+00  5.7933555344639159e-06  4.3101701478032185e-06  8.0062583225889172e-01  4.2025033290355669e+00  6.1592195085034696e-01
5.9999999999999201e+00  4.1739964891895817e-06  3.0763092457110711e-06  7.9744716514258163e-01  4.1897886605703265e+00  5.6825585251715016e-01
6.4999999999999103e+00  2.7183051797522298e-06  1.9804216828269437e-06  7.9339240226051477e-01  4.1735696090420591e+00  4.9756004199194120e-01
6.9999999999998996e+00  1.5158644595039271e-06  1.0922414451659172e-06  7.8886354506262890e-01  4.1554541802505156e+00  3.8600171691412422e-01
7.4999999999998801e+00  6.8042122243865252e-07  5.0196150006397377e-07  7.9540175237139987e-01  4.1816070094855995e+00  2.0467636595935082e-01
7.9999999999998703e+00  3.4821701793031959e-07  3.1563762216717809e-07  8.9057802486973159e-01  4.5623120994789268e+00  3.4007029662259561e-02
8.4999999999998597e+00  6.8584395220448492e-07  6.6454124076478959e-07  9.2342541622473373e-01  4.6937016648989349e+00  2.3906935958635511e-01
8.9999999999998508e+00  1.8760017223496819e-06  1.6890779624030256e-06  8.8690895477288723e-01  4.5476358190915489e+00  4.8320937252176177e-01
9.4999999999998401e+00  4.1259355043549693e-06  3.5467698316471840e-06  8.6775148186393170e-01  4.4710059274557263e+00  6.3468626189286048e-01
9.9999999999998295e+00  7.6576635744550699e-06  6.4085481998882646e-06  8.5828140192275870e-01  4.4331256076910348e+00  7.3044631533907778e-01
1.0499999999999799e+01  1.2700027999246056e-05  1.0444736859905993e-05  8.5344281410040024e-01  4.4137712564016010e+00  7.9503604082709467e-01
1.0999999999999799e+01  1.9471464450073684e-05  1.5817047141717665e-05  8.5139887964455452e-01  4.4055955185782185e+00  8.4103219332746104e-01
1.1499999999999799e+01  2.8161484812283567e-05  2.2659410299552940e-05  8.5125622009165058e-01  4.4050248803666019e+00  8.7527046910939654e-01
1.1999999999999799e+01  3.8924058500511051e-05  3.1084603212649572e-05  8.5295342015941977e-01  4.4118136806376791e+00  9.0164814478650435e-01
1.2499999999999799e+01  5.1827405716858415e-05  4.1130064055337377e-05  8.5682389161257488e-01  4.4272955664502991e+00  9.2236838536301891e-01
1.2999999999999799e+01  6.6864463438641686e-05  5.2786600241515440e-05  8.6356832508228099e-01  4.4542733003291239e+00  9.3869571214093561e-01
1.3499999999999799e+01  8.3871520905618292e-05  6.5901691942053193e-05  8.7329812209570301e-01  4.4931924883828120e+00  9.5143827745734899e-01
1.3999999999999700e+01  1.0255889752878838e-04  8.0272894763456137e-05  8.8443129227324357e-01  4.5377251690929743e+00  9.6100428745857103e-01
1.4499999999999700e+01  1.2253526621658651e-04  9.5560296124230144e-05  8.8992284069476213e-01  4.5596913627790485e+00  9.6716407569384877e-01
1.4999999999999700e+01  1.4325863975395145e-04  1.1140902491115527e-04  8.7897568014892835e-01  4.5159027205957134e+00  9.6925693697471393e-01
1.5499999999999700e+01  1.6401593225218245e-04  1.2721909996865253e-04  8.5435925600621476e-01  4.4174370240248590e+00  9.6723604553234099e-01
