#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    1.3203864297e-03   -1.9028741849e-04    1.6497618829e-04   -4.2212144832e-05    3.5075585353e-05   -1.2962675579e-05    1.4686186526e-05   -6.7018406956e-06
   0.0200000    1.3200784374e-03   -1.8995690007e-04    1.6494752367e-04   -4.2256135447e-05    3.5070944159e-05   -1.2952120421e-05    1.4705166695e-05   -6.6841320274e-06
   0.0300000    1.3197682135e-03   -1.8954192610e-04    1.6491989952e-04   -4.2303279085e-05    3.5066442782e-05   -1.2942301558e-05    1.4722724492e-05   -6.6546459282e-06
   0.0400000    1.3194559031e-03   -1.8905091367e-04    1.6489308599e-04   -4.2353575933e-05    3.5062005212e-05   -1.2933278744e-05    1.4738854515e-05   -6.6151597438e-06
   0.0500000    1.3191417208e-03   -1.8849304019e-04    1.6486679393e-04   -4.2407081623e-05    3.5057630078e-05   -1.2925105284e-05    1.4753581378e-05   -6.5673315111e-06
   0.0600000    1.3188259471e-03   -1.8787809752e-04    1.6484068856e-04   -4.2463901035e-05    3.5053314314e-05   -1.2917828516e-05    1.4766934241e-05   -6.5127027518e-06
   0.0700000    1.3185089177e-03   -1.8721634059e-04    1.6481440514e-04   -4.2524181255e-05    3.5049054204e-05   -1.2911489678e-05    1.4778945514e-05   -6.4527015371e-06
   0.0800000    1.3181910128e-03   -1.8651833336e-04    1.6478756568e-04   -4.2588103436e-05    3.5044845395e-05   -1.2906123803e-05    1.4789650053e-05   -6.3886457234e-06
   0.0900000    1.3178726441e-03   -1.8579479405e-04    1.6475979645e-04   -4.2655873460e-05    3.5040682968e-05   -1.2901759606e-05    1.4799084366e-05   -6.3217463859e-06
   0.1000000    1.3175542425e-03   -1.8505644250e-04    1.6473074522e-04   -4.2727711775e-05    3.5036561433e-05   -1.2898419506e-05    1.4807285996e-05   -6.2531113209e-06
   0.1100000    1.3172362439e-03   -1.8431385169e-04    1.6470009789e-04   -4.2803842694e-05    3.5032474847e-05   -1.2896119550e-05    1.4814292969e-05   -6.1837487258e-06
   0.1200000    1.3169190762e-03   -1.8357730558e-04    1.6466759357e-04   -4.2884483321e-05    3.5028416802e-05   -1.2894869509e-05    1.4820143314e-05   -6.1145708905e-06
   0.1300000    1.3166031457e-03   -1.8285666534e-04    1.6463303814e-04   -4.2969832520e-05    3.5024380531e-05   -1.2894672893e-05    1.4824874696e-05   -6.0463979949e-06
   0.1400000    1.3162888243e-03   -1.8216124575e-04    1.6459631506e-04   -4.3060060066e-05    3.5020358946e-05   -1.2895527096e-05    1.4828524068e-05   -5.9799619599e-06
   0.1500000    1.3159764381e-03   -1.8149970334e-04    1.6455739359e-04   -4.3155296284e-05    3.5016344703e-05   -1.2897423478e-05    1.4831127417e-05   -5.9159102962e-06
