#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -3.3854675560e-10   -1.3804339968e-09   -4.9438682854e-11   -1.5975114703e-10    5.4621022174e-09    3.2644745903e-09   -9.4099302843e-12   -1.5905490879e-10
   0.0200000   -1.1756644932e-10   -1.3444295310e-09   -2.7494955802e-11   -2.0961672703e-10    5.3208615300e-09    3.2425424909e-09   -1.5922727654e-11   -2.0233384005e-10
   0.0300000    1.0851167165e-10   -1.3108811387e-09   -3.6187950956e-12   -2.5685829420e-10    5.1865205992e-09    3.2121549471e-09   -2.1933801602e-11   -2.4102284170e-10
   0.0400000    3.3755445422e-10   -1.2813134875e-09    2.2203654628e-11   -3.0136616416e-10    5.0600429683e-09    3.1739354860e-09   -2.7465064925e-11   -2.7527270640e-10
   0.0500000    5.6716044985e-10   -1.2572920011e-09    4.9975786316e-11   -3.4301612187e-10    4.9409284849e-09    3.1276454205e-09   -3.2537172021e-11   -3.0523356279e-10
   0.0600000    7.9477406547e-10   -1.2404279683e-09    7.9660165278e-11   -3.8167381543e-10    4.8284735951e-09    3.0729835279e-09   -3.7173895832e-11   -3.3105039285e-10
   0.0700000    1.0176837489e-09   -1.2322702708e-09    1.1114841495e-10   -4.1718035439e-10    4.7217699294e-09    3.0096059879e-09   -4.1395769121e-11   -3.5286926990e-10
   0.0800000    1.2330902362e-09   -1.2343326341e-09    1.4428864271e-10   -4.4935499384e-10    4.6197456557e-09    2.9371173244e-09   -4.5224191111e-11   -3.7083144464e-10
   0.0900000    1.4381408789e-09   -1.2480385031e-09    1.7885778590e-10   -4.7798624095e-10    4.5211708844e-09    2.8550905857e-09   -4.8682595079e-11   -3.8508278031e-10
   0.1000000    1.6299428291e-09   -1.2747116976e-09    2.1456910596e-10   -5.0284234636e-10    4.4246969656e-09    2.7630911094e-09   -5.1787550704e-11   -3.9576098982e-10
   0.1100000    1.8056799351e-09   -1.3154993788e-09    2.5107942305e-10   -5.2364405759e-10    4.3288840690e-09    2.6606726753e-09   -5.4561653352e-11   -4.0300746309e-10
   0.1200000    1.9625823600e-09   -1.3714081896e-09    2.8798060143e-10   -5.4009262007e-10    4.2322349177e-09    2.5474158013e-09   -5.7023563883e-11   -4.0696152905e-10
   0.1300000    2.0980155622e-09   -1.4432215310e-09    3.2481908140e-10   -5.5186971282e-10    4.1332150179e-09    2.4229234213e-09   -5.9194501397e-11   -4.0775714092e-10
   0.1400000    2.2095130761e-09   -1.5315406900e-09    3.6109960566e-10   -5.5864447377e-10    4.0303014743e-09    2.2868496523e-09   -6.1089370248e-11   -4.0553643109e-10
   0.1500000    2.2948139102e-09   -1.6367345910e-09    3.9628911280e-10   -5.6008635995e-10    3.9220050923e-09    2.1389113677e-09   -6.2729207038e-11   -4.0042961122e-10
   0.1600000    2.3519091677e-09   -1.7589262389e-09    4.2983646660e-10   -5.5586983037e-10    3.8069016951e-09    1.9789011653e-09   -6.4133689155e-11   -3.9257139044e-10
   0.1700000    2.3790546300e-09   -1.8980133307e-09    4.6117156971e-10   -5.4571745307e-10    3.6836670232e-09    1.8067134554e-09   -6.5315304916e-11   -3.8209574903e-10
   0.1800000    2.3748275660e-09   -2.0536367911e-09    4.8973038018e-10   -5.2936968846e-10    3.5511019172e-09    1.6223368598e-09   -6.6295062884e-11   -3.6913147468e-10
   0.1900000    2.3381435338e-09   -2.2251957808e-09    5.1496222293e-10   -5.0664361146e-10    3.4081598878e-09    1.4258928979e-09   -6.7088393478e-11   -3.5380904899e-10
   0.2000000    2.2682604154e-09   -2.4118517727e-09    5.3632247548e-10   -4.7742051374e-10    3.2539730317e-09    1.2176260222e-09   -6.7715318310e-11   -3.3625322484e-10
   0.2100000    2.1648300943e-09   -2.6125253270e-09    5.5331640856e-10   -4.4166230614e-10    3.0878756504e-09    9.9791980437e-10   -6.8184611943e-11   -3.1659275183e-10
   0.2200000    2.0278734466e-09   -2.8259340692e-09    5.6547034293e-10   -3.9943028085e-10    2.9094138157e-09    7.6730583006e-10   -6.8517603593e-11   -2.9494758002e-10
   0.2300000    1.8577852208e-09   -3.0505738748e-09    5.7237144297e-10   -3.5088171450e-10    2.7183780841e-09    5.2646905244e-10   -6.8726511165e-11   -2.7144022851e-10
   0.2400000    1.6553700599e-09   -3.2847487491e-09    5.7366253562e-10   -2.9627359522e-10    2.5147973412e-09    2.7624940798e-10   -6.8825760660e-11   -2.4619029132e-10
   0.2500000    1.4217919060e-09   -3.5266116938e-09    5.6904118398e-10   -2.3597490146e-10    2.2989539432e-09    1.7637752059e-11   -6.8830331127e-11   -2.1931359336e-10
   0.2600000    1.1585779940e-09   -3.7741354450e-09    5.5829043409e-10   -1.7043879342e-10    2.0714018944e-09   -2.4822017278e-10   -6.8755720536e-11   -1.9092027854e-10
   0.2700000    8.6760695449e-10   -4.0251932887e-09    5.4125812414e-10   -1.0022775732e-10    1.8329413975e-09   -5.2001914804e-10   -6.8613121277e-11   -1.6112530571e-10
   0.2800000    5.5106975334e-10   -4.2775277871e-09    5.1789555641e-10   -2.5975227097e-11    1.5846409005e-09   -7.9632119678e-10   -6.8415199057e-11   -1.3003288601e-10
   0.2900000    2.1145406855e-10   -4.5288276553e-09    4.8823603668e-10    5.1611545314e-11    1.3278045276e-09   -1.0755496209e-09   -6.8173602504e-11   -9.7749086087e-11
   0.3000000   -1.4851236361e-10   -4.7767403588e-09    4.5241525816e-10    1.3175987494e-10    1.0639850217e-09   -1.3560028463e-09   -6.7903279369e-11   -6.4376152548e-11
   0.3100000   -5.2585860140e-10   -5.0188636710e-09    4.1069403714e-10    2.1366674978e-10    7.9496059043e-10   -1.6358695002e-09   -6.7614997096e-11   -3.0012592597e-11
