#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    2.9096874137e-06    1.7666094035e-04    3.2623264958e-07    4.2213561088e-05    9.4482445162e-08    1.3403870003e-05    1.1656072908e-08    6.9731023570e-06
   0.0200000    2.9635385476e-06    1.7674602196e-04    3.3380541241e-07    4.2256870779e-05    9.6147296826e-08    1.3402469858e-05    2.6367790157e-08    6.9036561651e-06
   0.0300000    3.0176409479e-06    1.7684739123e-04    3.4134032066e-07    4.2301751578e-05    9.7877087502e-08    1.3404404278e-05    3.9698103250e-08    6.8231904607e-06
   0.0400000    3.0719958772e-06    1.7696287634e-04    3.4888533800e-07    4.2347644353e-05    9.9669216186e-08    1.3409609978e-05    5.1584134680e-08    6.7334010272e-06
   0.0500000    3.1266032853e-06    1.7709004494e-04    3.5650022540e-07    4.2394156633e-05    1.0151979540e-07    1.3418012512e-05    6.1970787398e-08    6.6358975565e-06
   0.0600000    3.1814619173e-06    1.7722624666e-04    3.6425296911e-07    4.2441058903e-05    1.0342365304e-07    1.3429525752e-05    7.0810581507e-08    6.5322018875e-06
   0.0700000    3.2365693599e-06    1.7736865971e-04    3.7221556040e-07    4.2488277223e-05    1.0537443766e-07    1.3444052445e-05    7.8063448603e-08    6.4237472838e-06
   0.0800000    3.2919223652e-06    1.7751434044e-04    3.8045965544e-07    4.2535881645e-05    1.0736471740e-07    1.3461484725e-05    8.3696531107e-08    6.3118781237e-06
   0.0900000    3.3475170488e-06    1.7766027521e-04    3.8905231077e-07    4.2584071441e-05    1.0938610393e-07    1.3481704697e-05    8.7683919276e-08    6.1978500298e-06
   0.1000000    3.4033490858e-06    1.7780343341e-04    3.9805195807e-07    4.2633156929e-05    1.1142940179e-07    1.3504585156e-05    9.0006383700e-08    6.0828303231e-06
   0.1100000    3.4594139741e-06    1.7794082060e-04    4.0750470457e-07    4.2683538990e-05    1.1348473277e-07    1.3529990117e-05    9.0651091251e-08    5.9678989031e-06
   0.1200000    3.5157070519e-06    1.7806953085e-04    4.1744140122e-07    4.2735686532e-05    1.1554172151e-07    1.3557775609e-05    8.9611284797e-08    5.8540493669e-06
   0.1300000    3.5722236462e-06    1.7818679743e-04    4.2787529288e-07    4.2790112645e-05    1.1758959132e-07    1.3587790357e-05    8.6885997001e-08    5.7421904750e-06
   0.1400000    3.6289591821e-06    1.7829004052e-04    4.3880057462e-07    4.2847350145e-05    1.1961738891e-07    1.3619876538e-05    8.2479701723e-08    5.6331478462e-06
   0.1500000    3.6859089464e-06    1.7837691147e-04    4.5019176560e-07    4.2907926933e-05    1.2161412265e-07    1.3653870499e-05    7.6402026721e-08    5.5276659138e-06
   0.1600000    3.7430681595e-06    1.7844533269e-04    4.6200399658e-07    4.2972342000e-05    1.2356892320e-07    1.3689603611e-05    6.8667417511e-08    5.4264100354e-06
   0.1700000    3.8004319404e-06    1.7849353231e-04    4.7417420814e-07    4.3041042580e-05    1.2547121002e-07    1.3726903016e-05    5.9294815256e-08    5.3299688780e-06
   0.1800000    3.8579950250e-06    1.7852007298e-04    4.8662301564e-07    4.3114403006e-05    1.2731084168e-07    1.3765592438e-05    4.8307366053e-08    5.2388568770e-06
   0.1900000    3.9157519671e-06    1.7852387490e-04    4.9925735212e-07    4.3192705807e-05    1.2907828431e-07    1.3805492970e-05    3.5732088530e-08    5.1535168855e-06
   0.2000000    3.9736968604e-06    1.7850423172e-04    5.1197372975e-07    4.3276125451e-05    1.3076472781e-07    1.3846423906e-05    2.1599590089e-08    5.0743229563e-06
   0.2100000    4.0318236214e-06    1.7846081997e-04    5.2466180774e-07    4.3364715117e-05    1.3236225569e-07    1.3888203516e-05    5.9437702280e-09    5.0015831634e-06
   0.2200000    4.0901259573e-06    1.7839370134e-04    5.3720828885e-07    4.3458396932e-05    1.3386393938e-07    1.3930649891e-05   -1.1198474276e-08    4.9355425774e-06
