#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.7448020493e-03   -5.0444601219e-04   -2.1737907758e-04   -1.1170932359e-04   -4.6139882907e-05   -3.4325043919e-05   -2.0051179188e-05   -1.7768746691e-05
   0.0200000   -1.7443179771e-03   -5.0478522182e-04   -2.1733604488e-04   -1.1180887466e-04   -4.6133347341e-05   -3.4332291346e-05   -2.0050328213e-05   -1.7783770701e-05
   0.0300000   -1.7438359473e-03   -5.0513815824e-04   -2.1729349732e-04   -1.1190563323e-04   -4.6126620858e-05   -3.4341902811e-05   -2.0049081006e-05   -1.7800145089e-05
   0.0400000   -1.7433556189e-03   -5.0550352871e-04   -2.1725126198e-04   -1.1199904897e-04   -4.6119792771e-05   -3.4353877382e-05   -2.0047599465e-05   -1.7817767152e-05
   0.0500000   -1.7428765332e-03   -5.0587985829e-04   -2.1720912704e-04   -1.1208871926e-04   -4.6112867194e-05   -3.4368203651e-05   -2.0045884324e-05   -1.7836553582e-05
   0.0600000   -1.7423981288e-03   -5.0626552773e-04   -2.1716685682e-04   -1.1217438936e-04   -4.6105850983e-05   -3.4384859599e-05   -2.0043936359e-05   -1.7856438760e-05
   0.0700000   -1.7419197728e-03   -5.0665881289e-04   -2.1712420882e-04   -1.1225594859e-04   -4.6098752467e-05   -3.4403812817e-05   -2.0041754538e-05   -1.7877373556e-05
   0.0800000   -1.7414407925e-03   -5.0705792413e-04   -2.1708095148e-04   -1.1233342356e-04   -4.6091581374e-05   -3.4425020820e-05   -2.0039336074e-05   -1.7899324083e-05
   0.0900000   -1.7409605074e-03   -5.0746104532e-04   -2.1703688177e-04   -1.1240696826e-04   -4.6084348701e-05   -3.4448431390e-05   -2.0036676590e-05   -1.7922270431e-05
   0.1000000   -1.7404782584e-03   -5.0786637179e-04   -2.1699184150e-04   -1.1247685141e-04   -4.6077066479e-05   -3.4473982934e-05   -2.0033770243e-05   -1.7946205395e-05
   0.1100000   -1.7399934345e-03   -5.0827214596e-04   -2.1694573129e-04   -1.1254344178e-04   -4.6069747727e-05   -3.4501604936e-05   -2.0030609951e-05   -1.7971133215e-05
   0.1200000   -1.7395054954e-03   -5.0867669056e-04   -2.1689852159e-04   -1.1260719149e-04   -4.6062406171e-05   -3.4531218381e-05   -2.0027187621e-05   -1.7997068308e-05
   0.1300000   -1.7390139894e-03   -5.0907843876e-04   -2.1685025970e-04   -1.1266861806e-04   -4.6055056124e-05   -3.4562736310e-05   -2.0023494381e-05   -1.8024034039e-05
   0.1400000   -1.7385185668e-03   -5.0947596032e-04   -2.1680107260e-04   -1.1272828548e-04   -4.6047712284e-05   -3.4596064274e-05   -2.0019520868e-05   -1.8052061490e-05
   0.1500000   -1.7380189877e-03   -5.0986798407e-04   -2.1675116509e-04   -1.1278678499e-04   -4.6040389520e-05   -3.4631100944e-05   -2.0015257491e-05   -1.8081188264e-05
   0.1600000   -1.7375151254e-03   -5.1025341578e-04   -2.1670081338e-04   -1.1284471590e-04   -4.6033102704e-05   -3.4667738656e-05   -2.0010694673e-05   -1.8111457301e-05
   0.1700000   -1.7370069652e-03   -5.1063135173e-04   -2.1665035408e-04   -1.1290266682e-04   -4.6025866517e-05   -3.4705864041e-05   -2.0005823161e-05   -1.8142915771e-05
   0.1800000   -1.7364945995e-03   -5.1100108746e-04   -2.1660016944e-04   -1.1296119807e-04   -4.6018695243e-05   -3.4745358634e-05   -2.0000634249e-05   -1.8175613937e-05
   0.1900000   -1.7359782195e-03   -5.1136212210e-04   -2.1655066899e-04   -1.1302082532e-04   -4.6011602577e-05   -3.4786099534e-05   -1.9995120026e-05   -1.8209604132e-05
   0.2000000   -1.7354581050e-03   -5.1171415821e-04   -2.1650226890e-04   -1.1308200505e-04   -4.6004601478e-05   -3.4827959977e-05   -1.9989273607e-05   -1.8244939732e-05
   0.2100000   -1.7349346115e-03   -5.1205709736e-04   -2.1645536977e-04   -1.1314512200e-04   -4.5997703969e-05   -3.4870810087e-05   -1.9983089322e-05   -1.8281674197e-05
   0.2200000   -1.7344081579e-03   -5.1239103171e-04   -2.1641033405e-04   -1.1321047906e-04   -4.5990920996e-05   -3.4914517512e-05   -1.9976562905e-05   -1.8319860153e-05
   0.2300000   -1.7338792130e-03   -5.1271623183e-04   -2.1636746419e-04   -1.1327828953e-04   -4.5984262261e-05   -3.4958948053e-05   -1.9969691626e-05   -1.8359548529e-05
   0.2400000   -1.7333482823e-03   -5.1303313173e-04   -2.1632698272e-04   -1.1334867212e-04   -4.5977736110e-05   -3.5003966364e-05   -1.9962474424e-05   -1.8400787757e-05
   0.2500000   -1.7328158963e-03   -5.1334231060e-04   -2.1628901528e-04   -1.1342164872e-04   -4.5971349383e-05   -3.5049436618e-05   -1.9954911998e-05   -1.8443623001e-05
   0.2600000   -1.7322825989e-03   -5.1364447283e-04   -2.1625357755e-04   -1.1349714476e-04   -4.5965107384e-05   -3.5095223142e-05   -1.9947006877e-05   -1.8488095480e-05
   0.2700000   -1.7317489379e-03   -5.1394042605e-04   -2.1622056688e-04   -1.1357499236e-04   -4.5959013709e-05   -3.5141191061e-05   -1.9938763445e-05   -1.8534241804e-05
   0.2800000   -1.7312154554e-03   -5.1423105822e-04   -2.1618975919e-04   -1.1365493609e-04   -4.5953070248e-05   -3.5187206911e-05   -1.9930187951e-05   -1.8582093415e-05
   0.2900000   -1.7306826803e-03   -5.1451731390e-04   -2.1616081145e-04   -1.1373664086e-04   -4.5947277110e-05   -3.5233139279e-05   -1.9921288497e-05   -1.8631676039e-05
   0.3000000   -1.7301511209e-03   -5.1480017098e-04   -2.1613326988e-04   -1.1381970225e-04   -4.5941632622e-05   -3.5278859393e-05   -1.9912074952e-05   -1.8683009251e-05
   0.3100000   -1.7296212578e-03   -5.1508061730e-04   -2.1610658351e-04   -1.1390365848e-04   -4.5936133324e-05   -3.5324241664e-05   -1.9902558949e-05   -1.8736106032e-05
   0.3200000   -1.7290935373e-03   -5.1535962875e-04   -2.1608012297e-04   -1.1398800404e-04   -4.5930773956e-05   -3.5369164267e-05   -1.9892753713e-05   -1.8790972445e-05
   0.3300000   -1.7285683640e-03   -5.1563814855e-04   -2.1605320333e-04   -1.1407220438e-04   -4.5925547542e-05   -3.5413509616e-05   -1.9882673998e-05   -1.8847607305e-05
   0.3400000   -1.7280460942e-03   -5.1591706834e-04   -2.1602511055e-04   -1.1415571163e-04   -4.5920445433e-05   -3.5457164893e-05   -1.9872335926e-05   -1.8906001978e-05
   0.3500000   -1.7275270272e-03   -5.1619721167e-04   -2.1599513000e-04   -1.1423798034e-04   -4.5915457387e-05   -3.5500022491e-05   -1.9861756839e-05   -1.8966140181e-05
   0.3600000   -1.7270113973e-03   -5.1647931951e-04   -2.1596257632e-04   -1.1431848363e-04   -4.5910571691e-05   -3.5541980430e-05   -1.9850955160e-05   -1.9027997839e-05
   0.3700000   -1.7264993650e-03   -5.1676403877e-04   -2.1592682267e-04   -1.1439672860e-04   -4.5905775220e-05   -3.5582942766e-05   -1.9839950183e-05   -1.9091542997e-05
   0.3800000   -1.7259910082e-03   -5.1705191335e-04   -2.1588732871e-04   -1.1447227129e-04   -4.5901053640e-05   -3.5622819925e-05   -1.9828761910e-05   -1.9156735835e-05
   0.3900000   -1.7254863138e-03   -5.1734337809e-04   -2.1584366553e-04   -1.1454473007e-04   -4.5896391527e-05   -3.5661529050e-05   -1.9817410874e-05   -1.9223528630e-05
