# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1840420902728043e-05  1.6673914450652250e-05  8.0395184584306967e-01  4.2158073833722787e+00  7.6267245939069650e-01
5.0000000000000000e-01  2.0817218973699024e-05  1.5891102764403094e-05  8.0794134213507585e-01  4.2317653685403034e+00  7.5276523885147251e-01
1.0000000000000000e+00  1.9695895798155103e-05  1.5030309605913876e-05  8.0744009744247969e-01  4.2297603897699183e+00  7.4894602736365390e-01
1.5000000000000000e+00  1.8470927684037943e-05  1.4086590513579706e-05  8.0682934584010191e-01  4.2273173833604076e+00  7.4450143573754235e-01
2.0000000000000000e+00  1.7149263551759458e-05  1.3065946407868969e-05  8.0587897487221116e-01  4.2235158994888451e+00  7.3948299073925694e-01
2.4999999999999898e+00  1.5729772842228878e-05  1.1969936872779939e-05  8.0463718058451406e-01  4.2185487223380562e+00  7.3352867554687529e-01
2.9999999999999800e+00  1.4215310890624954e-05  1.0798549207228642e-05  8.0420412704976185e-01  4.2168165081990470e+00  7.2435166730747114e-01
3.4999999999999698e+00  1.2615756514502998e-05  9.5621599198518793e-06  8.0452592786900134e-01  4.2181037114760054e+00  7.1133621050072315e-01
3.9999999999999600e+00  1.0948650792284826e-05  8.2745390360548181e-06  8.0474859676555055e-01  4.2189943870622022e+00  6.9492066036481781e-01
4.4999999999999503e+00  9.2285549536646892e-06  6.9468658015035902e-06  8.0417382522382186e-01  4.2166953008952870e+00  6.7485867037534986e-01
4.9999999999999396e+00  7.4993372586367322e-06  5.6170821803310833e-06  8.0281028887198791e-01  4.2112411554879516e+00  6.4968662844483682e-01
5.4999999999999298e+00  5.7930334217624502e-06  4.3100904835429260e-06  8.0063977064430525e-01  4.2025590825772206e+00  6.1591321743589267e-01
5.9999999999999201e+00  4.1735221021252955e-06  3.0760950324143535e-06  7.9746353928413571e-01  4.1898541571365424e+00  5.6823629533881070e-01
6.4999999999999103e+00  2.7176660215188180e-06  1.9800028749153078e-06  7.9340084068413819e-01  4.1736033627365527e+00  4.9751472074791281e-01
6.9999999999998996e+00  1.5150296424224664e-06  1.0915527593304692e-06  7.8883179490665067e-01  4.1553271796266031e+00  3.8587950145328703e-01
7.4999999999998801e+00  6.7929944501748043e-07  5.0092808526451596e-07  7.9522488425509597e-01  4.1808995370203839e+00  2.0424355508804748e-01
7.9999999999998703e+00  3.4671803136365986e-07  3.1419370870637348e-07  8.9045089854242787e-01  4.5618035941697119e+00  3.2724429136951644e-02
8.4999999999998597e+00  6.8406003562149520e-07  6.6266060628063192e-07  9.2331655893209186e-01  4.6932662357283679e+00  2.3840485927476190e-01
8.9999999999998508e+00  1.8746078991184855e-06  1.6869219841999256e-06  8.8666254864886207e-01  4.5466501945954487e+00  4.8306316483682604e-01
9.4999999999998401e+00  4.1266938838830672e-06  3.5448605002821175e-06  8.6743779610460381e-01  4.4697511844184152e+00  6.3471399824920782e-01
9.9999999999998295e+00  7.6639880572060035e-06  6.4080508311198693e-06  8.5790174774072692e-01  4.4316069909629077e+00  7.3054307960083020e-01
1.0499999999999799e+01  1.2717490248727292e-05  1.0447720650498538e-05  8.5299435096011433e-01  4.4119774038404573e+00  7.9516274746882676e-01
1.0999999999999799e+01  1.9508132196873515e-05  1.5826645033922428e-05  8.5088073479536130e-01  4.4035229391814452e+00  8.4117001561166049e-01
1.1499999999999799e+01  2.8228332825778451e-05  2.2680681328410340e-05  8.5067981818338467e-01  4.4027192727335382e+00  8.7540917134622209e-01
