#   time = 90.140000,       r = 14.000000
#      theta         phi            Weyl4_Re            Weyl4_Im
   0.0000000   0.0000000   -5.4443135920e-07    1.8452164748e-05
   0.0000000   0.2617994   -5.4443135920e-07    1.8452164748e-05
   0.0000000   0.5235988   -5.4443135920e-07    1.8452164748e-05
   0.0000000   0.7853982   -5.4443135920e-07    1.8452164748e-05
   0.0000000   1.0471976   -5.4443135920e-07    1.8452164748e-05
   0.0000000   1.3089969   -5.4443135920e-07    1.8452164748e-05
   0.0000000   1.5707963   -5.4443135920e-07    1.8452164748e-05
   0.0000000   1.8325957   -5.4443135920e-07    1.8452164748e-05
   0.0000000   2.0943951   -5.4443135920e-07    1.8452164748e-05
   0.0000000   2.3561945   -5.4443135920e-07    1.8452164748e-05
   0.0000000   2.6179939   -5.4443135920e-07    1.8452164748e-05
   0.0000000   2.8797933   -5.4443135920e-07    1.8452164748e-05
   0.0000000   3.1415927   -5.4443135920e-07    1.8452164748e-05
   0.0000000   3.4033920   -5.4443135920e-07    1.8452164748e-05
   0.0000000   3.6651914   -5.4443135920e-07    1.8452164748e-05
   0.0000000   3.9269908   -5.4443135920e-07    1.8452164748e-05
   0.0000000   4.1887902   -5.4443135920e-07    1.8452164748e-05
   0.0000000   4.4505896   -5.4443135920e-07    1.8452164748e-05
   0.0000000   4.7123890   -5.4443135920e-07    1.8452164748e-05
   0.0000000   4.9741884   -5.4443135920e-07    1.8452164748e-05
   0.0000000   5.2359878   -5.4443135920e-07    1.8452164748e-05
   0.0000000   5.4977871   -5.4443135920e-07    1.8452164748e-05
   0.0000000   5.7595865   -5.4443135920e-07    1.8452164748e-05
   0.0000000   6.0213859   -5.4443135920e-07    1.8452164748e-05
   0.0872665   0.0000000    8.2514771867e-04    4.0008078370e-04
   0.0872665   0.2617994    4.3082523866e-04    6.4322478569e-04
   0.0872665   0.5235988    8.8001346930e-05    8.2385160129e-04
   0.0872665   0.7853982   -3.6280717001e-04    6.7614685983e-04
   0.0872665   1.0471976   -7.2465879020e-04    5.6367132983e-04
   0.0872665   1.3089969   -9.4071287073e-04    2.1516393414e-04
   0.0872665   1.5707963   -6.9633038911e-04   -3.6436088306e-04
   0.0872665   1.8325957   -4.9133465358e-04   -7.2315902122e-04
   0.0872665   2.0943951   -8.5834468401e-05   -8.5410427512e-04
   0.0872665   2.3561945    3.1775155509e-04   -8.9018800232e-04
   0.0872665   2.6179939    6.0180326690e-04   -4.6218217102e-04
   0.0872665   2.8797933    7.0281903543e-04   -5.0214173043e-05
   0.0872665   3.1415927    7.9762166204e-04    3.7789929940e-04
   0.0872665   3.4033920    4.3096109861e-04    6.4357271538e-04
   0.0872665   3.6651914    8.7258772442e-05    8.2290027385e-04
   0.0872665   3.9269908   -3.6267364412e-04    6.7557879912e-04
   0.0872665   4.1887902   -7.2512845529e-04    5.6412627214e-04
   0.0872665   4.4505896   -9.4191216605e-04    2.1594650131e-04
   0.0872665   4.7123890   -7.0134354070e-04   -3.5177618667e-04
