# GLUED SERIES: level 3 for t < 36.0, level 5 for t >= 36.0 (the finer grid wins the overlap).
# leg 1 v2_spiral_d12_p012_L128_lvl3_t050   rows used 3599 of 5001  (t 0.01-50.01)
# leg 2 v2_spiral_d12_p012_L128_lvl5_t150_prof_r03600  rows used 2444 of 2444  (t 36.01-60.44)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
      1.0000000000e-02     -2.1730040871e-04      1.1172849004e-04     -3.0510679458e-05      2.4447639012e-05     -6.6650173811e-06      7.5784503515e-06     -2.0123692141e-06      2.9306159635e-06
      2.0000000000e-02     -2.1725791204e-04      1.1184333224e-04     -3.0503052414e-05      2.4470616851e-05     -6.6643626630e-06      7.5814967201e-06     -2.0122155681e-06      2.9316417140e-06
      3.0000000000e-02     -2.1721553823e-04      1.1195135902e-04     -3.0495662188e-05      2.4493187588e-05     -6.6637080326e-06      7.5845422583e-06     -2.0120617287e-06      2.9326671669e-06
      4.0000000000e-02     -2.1717321886e-04      1.1205210080e-04     -3.0488926088e-05      2.4515283111e-05     -6.6630522167e-06      7.5875870890e-06     -2.0119076968e-06      2.9336923117e-06
      5.0000000000e-02     -2.1713088206e-04      1.1214528736e-04     -3.0482804507e-05      2.4536845890e-05     -6.6623955951e-06      7.5906313411e-06     -2.0117534665e-06      2.9347171579e-06
      6.0000000000e-02     -2.1708845871e-04      1.1223084327e-04     -3.0477256024e-05      2.4557825330e-05     -6.6617384736e-06      7.5936751217e-06     -2.0115990375e-06      2.9357417057e-06
      7.0000000000e-02     -2.1704588943e-04      1.1230887901e-04     -3.0472228788e-05      2.4578178019e-05     -6.6610811468e-06      7.5967185319e-06     -2.0114444096e-06      2.9367659550e-06
      8.0000000000e-02     -2.1700313145e-04      1.1237967840e-04     -3.0467661919e-05      2.4597867899e-05     -6.6604238716e-06      7.5997616723e-06     -2.0112895764e-06      2.9377899084e-06
      9.0000000000e-02     -2.1696016502e-04      1.1244368275e-04     -3.0463486725e-05      2.4616866347e-05     -6.6597668794e-06      7.6028046344e-06     -2.0111345473e-06      2.9388135704e-06
      1.0000000000e-01     -2.1691699874e-04      1.1250147203e-04     -3.0459628055e-05      2.4635152227e-05     -6.6591103619e-06      7.6058474818e-06     -2.0109793133e-06      2.9398369324e-06
      1.1000000000e-01     -2.1687367336e-04      1.1255374378e-04     -3.0456005635e-05      2.4652711872e-05     -6.6584544583e-06      7.6088902894e-06     -2.0108238713e-06      2.9408599969e-06
      1.2000000000e-01     -2.1683026374e-04      1.1260129013e-04     -3.0452535504e-05      2.4669539002e-05     -6.6577992660e-06      7.6119331009e-06     -2.0106682263e-06      2.9418827688e-06
      1.3000000000e-01     -2.1678687861e-04      1.1264497360e-04     -3.0449131406e-05      2.4685634616e-05     -6.6571448276e-06      7.6149759496e-06     -2.0105123704e-06      2.9429052470e-06
