# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
   0.0100000    1.4390998782e-07   -4.6187401280e-05    8.2435994194e-13   -1.0582333227e-05    1.3942801333e-13   -3.3339535435e-06    2.1714142579e-14   -1.3057401232e-06
   0.0600000    1.4465739737e-07   -4.6089194805e-05    6.7399577872e-13   -1.0970954053e-05    1.4716480076e-13   -3.3323793068e-06    2.1469150223e-14   -1.3052968502e-06
   0.1100000    1.3469042453e-07   -4.5979277731e-05    3.2993082980e-13   -1.1531496358e-05    1.4758996420e-13   -3.3307476292e-06    2.1474447320e-14   -1.3048492513e-06
   0.1600000    8.2933904767e-08   -4.5928454132e-05   -5.6049881986e-14   -1.2200939291e-05    1.4422949575e-13   -3.3290477240e-06    2.0967063149e-14   -1.3043975453e-06
   0.2100000   -2.2921457839e-09   -4.6016759343e-05   -3.4132611440e-13   -1.2910185308e-05    1.5692452293e-13   -3.3272824770e-06    2.3263085051e-14   -1.3039418919e-06
   0.2600000   -7.0490419965e-08   -4.6267254763e-05   -4.8435294457e-13   -1.3592321043e-05    2.0251751681e-13   -3.3254722122e-06    2.3219702719e-14   -1.3034824058e-06
   0.3100000   -7.3084541797e-08   -4.6614564939e-05   -5.3127388488e-13   -1.4189711983e-05    2.8167809801e-13   -3.3236564823e-06    2.4213981834e-14   -1.3030191712e-06
   0.3600000   -1.0538414048e-08   -4.6926083037e-05   -4.8166164434e-13   -1.4659235227e-05    3.5140517104e-13   -3.3218934676e-06    2.5300817877e-14   -1.3025522331e-06
   0.4100000    6.4740000783e-08   -4.7064602429e-05   -2.0240873104e-13   -1.4975264417e-05    2.9532666163e-13   -3.3202567855e-06    2.3121305768e-14   -1.3020816369e-06
   0.4600000    9.3216738920e-08   -4.6959318769e-05    4.9609252287e-13   -1.5130333525e-05   -5.8379379606e-14   -3.3188298568e-06    2.3535502127e-14   -1.3016074024e-06
   0.5100000    5.8234229133e-08   -4.6647964440e-05    1.6234909267e-12   -1.5133687727e-05   -9.0981187349e-13   -3.3176982350e-06    2.2011439463e-14   -1.3011295394e-06
   0.5600000   -4.6919497608e-09   -4.6267333372e-05    2.8814402297e-12   -1.5008151888e-05   -2.4174437673e-12   -3.3169404938e-06    1.9532486411e-14   -1.3006480588e-06
   0.6100000   -4.4738693411e-08   -4.5994931005e-05    3.6304167007e-12   -1.4785893732e-05   -4.5999676811e-12   -3.3166186203e-06    2.0827574291e-14   -1.3001629397e-06
   0.6600000   -4.1276218128e-08   -4.5968586074e-05    3.3096733749e-12   -1.4503719701e-05   -7.2385067714e-12   -3.3167689501e-06    2.0515210013e-14   -1.2996741909e-06
