# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
   0.0100000   -2.1730040871e-04    1.1172849004e-04   -3.0510679458e-05    2.4447639012e-05   -6.6650173811e-06    7.5784503515e-06   -2.0123692141e-06    2.9306159635e-06
   0.0600000   -2.1708845871e-04    1.1223084327e-04   -3.0477256024e-05    2.4557825330e-05   -6.6617384736e-06    7.5936751217e-06   -2.0115990375e-06    2.9357417057e-06
   0.1100000   -2.1687367336e-04    1.1255374378e-04   -3.0456005635e-05    2.4652711872e-05   -6.6584544583e-06    7.6088902894e-06   -2.0108238713e-06    2.9408599969e-06
   0.1600000   -2.1665839622e-04    1.1276200518e-04   -3.0438447198e-05    2.4729647147e-05   -6.6551855555e-06    7.6241048381e-06   -2.0100435531e-06    2.9459709271e-06
   0.2100000   -2.1646089110e-04    1.1296275894e-04   -3.0414227280e-05    2.4790393769e-05   -6.6519212512e-06    7.6393187895e-06   -2.0092579553e-06    2.9510745860e-06
   0.2600000   -2.1629670585e-04    1.1323704184e-04   -3.0375383431e-05    2.4840284188e-05   -6.6486120930e-06    7.6545204888e-06   -2.0084669455e-06    2.9561710099e-06
   0.3100000   -2.1614956142e-04    1.1359759509e-04   -3.0318887787e-05    2.4886762540e-05   -6.6451753744e-06    7.6696848875e-06   -2.0076704571e-06    2.9612602064e-06
   0.3600000   -2.1596796168e-04    1.1399188336e-04   -3.0247295454e-05    2.4937588236e-05   -6.6415139334e-06    7.6847733526e-06   -2.0068683900e-06    2.9663422000e-06
   0.4100000   -2.1570305837e-04    1.1434383762e-04   -3.0167615467e-05    2.4999027444e-05   -6.6375454876e-06    7.6997351446e-06   -2.0060606899e-06    2.9714169793e-06
   0.4600000   -2.1535813958e-04    1.1460771982e-04   -3.0089059006e-05    2.5074353594e-05   -6.6332364335e-06    7.7145106110e-06   -2.0052472755e-06    2.9764845364e-06
   0.5100000   -2.1499939706e-04    1.1480269682e-04   -3.0020538364e-05    2.5162923085e-05   -6.6286318444e-06    7.7290360118e-06   -2.0044281103e-06    2.9815448452e-06
   0.5600000   -2.1470906694e-04    1.1500896296e-04   -2.9968671465e-05    2.5259994778e-05   -6.6238726436e-06    7.7432497715e-06   -2.0036031313e-06    2.9865978752e-06
   0.6100000   -2.1451861731e-04    1.1532827062e-04   -2.9936699333e-05    2.5357336443e-05   -6.6191929409e-06    7.7570995733e-06   -2.0027722769e-06    2.9916435942e-06
   0.6600000   -2.1438365442e-04    1.1583104241e-04   -2.9924328620e-05    2.5444525992e-05   -6.6148941477e-06    7.7705497849e-06   -2.0019355039e-06    2.9966819698e-06
   0.7100000   -2.1422498085e-04    1.1651829237e-04   -2.9928232309e-05    2.5510732908e-05   -6.6112978488e-06    7.7835885001e-06   -2.0010927659e-06    3.0017129621e-06
   0.7600000   -2.1399627973e-04    1.1731705821e-04   -2.9942868777e-05    2.5546678520e-05   -6.6086848734e-06    7.7962333528e-06   -2.0002440089e-06    3.0067365375e-06
   0.8100000   -2.1371394994e-04    1.1810983082e-04   -2.9961385537e-05    2.5546436505e-05   -6.6072320615e-06    7.8085355662e-06   -1.9993891912e-06    3.0117526494e-06
   0.8600000   -2.1342541616e-04    1.1878226139e-04   -2.9976550238e-05    2.5508756931e-05   -6.6069603890e-06    7.8205814519e-06   -1.9985282820e-06    3.0167612672e-06
   0.9100000   -2.1315494557e-04    1.1926667471e-04   -2.9981761744e-05    2.5437672482e-05   -6.6077065085e-06    7.8324910725e-06   -1.9976612220e-06    3.0217623396e-06
   0.9600000   -2.1288414165e-04    1.1956285761e-04   -2.9972159589e-05    2.5342262056e-05   -6.6091259766e-06    7.8444140106e-06   -1.9967879632e-06    3.0267558211e-06
   1.0100000   -2.1258277361e-04    1.1972898993e-04   -2.9945685918e-05    2.5235585548e-05   -6.6107302537e-06    7.8565223831e-06   -1.9959084726e-06    3.0317416689e-06
   1.0600000   -2.1225279700e-04    1.1984924973e-04   -2.9903773436e-05    2.5132940138e-05   -6.6119528032e-06    7.8690014742e-06   -1.9950226968e-06    3.0367198255e-06
   1.1100000   -2.1193740176e-04    1.1999475375e-04   -2.9851276525e-05    2.5049703026e-05   -6.6122335371e-06    7.8820388098e-06   -1.9941305942e-06    3.0416902477e-06
   1.1600000   -2.1168295629e-04    1.2019651538e-04   -2.9795421035e-05    2.4999099207e-05   -6.6111074790e-06    7.8958124089e-06   -1.9932321153e-06    3.0466528941e-06
   1.2100000   -2.1148836400e-04    1.2044226127e-04   -2.9743896698e-05    2.4990251770e-05   -6.6082820948e-06    7.9104792695e-06   -1.9923272073e-06    3.0516077324e-06
   1.2600000   -2.1129275484e-04    1.2069682376e-04   -2.9702612265e-05    2.5026833034e-05   -6.6036898297e-06    7.9261649348e-06   -1.9914158369e-06    3.0565547019e-06
   1.3100000   -2.1102147231e-04    1.2093404667e-04   -2.9673881310e-05    2.5106540003e-05   -6.5975067735e-06    7.9429550750e-06   -1.9904979520e-06    3.0614937646e-06
   1.3600000   -2.1065370880e-04    1.2116194911e-04   -2.9655752455e-05    2.5221482953e-05   -6.5901338343e-06    7.9608897441e-06   -1.9895735060e-06    3.0664248751e-06
   1.4100000   -2.1024688499e-04    1.2142586967e-04   -2.9642820911e-05    2.5359423189e-05   -6.5821431557e-06    7.9799606182e-06   -1.9886424550e-06    3.0713479783e-06
   1.4600000   -2.0989024950e-04    1.2178629061e-04   -2.9628293255e-05    2.5505654838e-05   -6.5741977879e-06    8.0001114044e-06   -1.9877047480e-06    3.0762630269e-06
   1.5100000   -2.0963058985e-04    1.2228297930e-04   -2.9606560627e-05    2.5645220979e-05   -6.5669568174e-06    8.0212412094e-06   -1.9867603350e-06    3.0811699801e-06
   1.5600000   -2.0943915939e-04    1.2290554821e-04   -2.9575300158e-05    2.5765107807e-05   -6.5609803069e-06    8.0432102477e-06   -1.9858091722e-06    3.0860687731e-06
   1.6100000   -2.0924275459e-04    1.2358701560e-04   -2.9536284863e-05    2.5856075779e-05   -6.5566483150e-06    8.0658474398e-06   -1.9848512107e-06    3.0909593688e-06
   1.6600000   -2.0898076781e-04    1.2422447247e-04   -2.9494583386e-05    2.5913861252e-05   -6.5541060985e-06    8.0889589845e-06   -1.9838864021e-06    3.0958417103e-06
   1.7100000   -2.0863934719e-04    1.2471762385e-04   -2.9456463967e-05    2.5939594405e-05   -6.5532436251e-06    8.1123371582e-06   -1.9829146963e-06    3.1007157511e-06
   1.7600000   -2.0824757403e-04    1.2500816704e-04   -2.9426820994e-05    2.5939408352e-05   -6.5537123287e-06    8.1357688337e-06   -1.9819360417e-06    3.1055814436e-06
   1.8100000   -2.0785012266e-04    1.2510286210e-04   -2.9407116132e-05    2.5923336644e-05   -6.5549762900e-06    8.1590430675e-06   -1.9809503899e-06    3.1104387301e-06
   1.8600000   -2.0747753355e-04    1.2507020152e-04   -2.9394611847e-05    2.5903693050e-05   -6.5563897578e-06    8.1819576351e-06   -1.9799576823e-06    3.1152875572e-06
   1.9100000   -2.0713247512e-04    1.2501216750e-04   -2.9383177433e-05    2.5893188905e-05   -6.5572889115e-06    8.2043243905e-06   -1.9789578872e-06    3.1201278796e-06
   1.9600000   -2.0680049285e-04    1.2502356494e-04   -2.9365371172e-05    2.5903063945e-05   -6.5570837403e-06    8.2259735220e-06   -1.9779509492e-06    3.1249596282e-06
   2.0100000   -2.0647235680e-04    1.2515636605e-04   -2.9335064263e-05    2.5941490030e-05   -6.5553361336e-06    8.2467570421e-06   -1.9769368055e-06    3.1297827568e-06
   2.0600000   -2.0615257065e-04    1.2540334107e-04   -2.9289712155e-05    2.6012457017e-05   -6.5518128532e-06    8.2665516933e-06   -1.9759154195e-06    3.1345972277e-06
   2.1100000   -2.0584676628e-04    1.2570631046e-04   -2.9231523197e-05    2.6115276484e-05   -6.5465062313e-06    8.2852615388e-06   -1.9748867263e-06    3.1394029809e-06
   2.1600000   -2.0554792369e-04    1.2598394554e-04   -2.9167142131e-05    2.6244750341e-05   -6.5396209982e-06    8.3028204863e-06   -1.9738506807e-06    3.1441999635e-06
   2.2100000   -2.0523885943e-04    1.2616631695e-04   -2.9105925120e-05    2.6391961228e-05   -6.5315310409e-06    8.3191945264e-06   -1.9728072396e-06    3.1489881158e-06
   2.2600000   -2.0490368930e-04    1.2622153130e-04   -2.9057293849e-05    2.6545559292e-05   -6.5227144845e-06    8.3343838309e-06   -1.9717563325e-06    3.1537674009e-06
   2.3100000   -2.0453448647e-04    1.2616466224e-04   -2.9027920267e-05    2.6693358272e-05   -6.5136786949e-06    8.3484241886e-06   -1.9706979041e-06    3.1585377413e-06
