time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.5479795073802993e-07
1.0000000000000000e+00  -5.7503053496284494e-10  2.5689604690023814e-07
2.0000000000000000e+00  3.4199972156594440e-09  2.5397413121700396e-07
2.9999999999999800e+00  -3.0473591291995700e-08  2.6934613161629181e-07
3.9999999999999600e+00  1.6362608415406616e-07  2.5314284659692572e-07
4.9999999999999396e+00  8.4215393479184529e-07  2.6492141403170488e-07
5.9999999999999201e+00  1.6352066902097139e-06  2.6420126211138464e-07
6.9999999999998996e+00  2.2141744707324868e-06  2.6269614810341012e-07
7.9999999999998703e+00  2.6458415539363776e-06  2.6521519962679961e-07
8.9999999999998508e+00  3.2134793708195278e-06  2.6258741903689467e-07
9.9999999999998295e+00  3.7640057273063379e-06  2.6415975903895010e-07
1.0999999999999799e+01  4.1166448483561085e-06  2.6490953759482642e-07
1.1999999999999799e+01  4.6036260322558910e-06  2.6271241783992161e-07
1.2999999999999799e+01  5.2795003034983840e-06  2.6119110074017703e-07
1.3999999999999700e+01  5.8074807111930844e-06  2.6062381096306377e-07
1.4999999999999700e+01  6.1130946618889636e-06  2.5924250448590089e-07
1.5999999999999700e+01  6.3691955920238999e-06  2.5664160605600217e-07
1.6999999999999901e+01  6.8719452038951325e-06  2.5332367248421975e-07
1.8000000000000000e+01  7.6183040582656538e-06  2.4984076433019746e-07
1.9000000000000199e+01  8.2140396000978722e-06  2.4618529186185849e-07
2.0000000000000298e+01  8.4525653469121948e-06  2.4179923572361023e-07
2.1000000000000501e+01  8.5372999009741070e-06  2.3619585128418683e-07
2.2000000000000600e+01  8.8725065153680894e-06  2.2953423425080643e-07
2.3000000000000799e+01  9.5647373236577686e-06  2.2191052991834504e-07
2.4000000000000998e+01  1.0284501213858325e-05  2.1363148950833374e-07
2.5000000000001101e+01  1.0668063172693058e-05  2.0446282382239971e-07
2.6000000000001300e+01  1.0748053139184675e-05  1.9431839012598320e-07
2.7000000000001400e+01  1.0808015337712351e-05  1.8332153883882570e-07
2.8000000000001599e+01  1.0985511760722992e-05  1.7059735213551019e-07
2.9000000000001702e+01  1.1304246618406522e-05  1.5757585858814664e-07
3.0000000000001901e+01  1.1736684932352379e-05  1.4724916563618438e-07
3.1000000000002000e+01  1.2090932953167035e-05  1.3534295841064872e-07
3.2000000000002203e+01  1.2175238298911577e-05  1.2664592247133195e-07
3.3000000000001997e+01  1.2020251953250527e-05  1.3034411007436869e-07
3.4000000000001798e+01  1.1835577340109561e-05  1.4604243946501689e-07
3.5000000000001599e+01  1.1781991121138636e-05  1.7726958045595684e-07
3.6000000000001400e+01  1.1860493676371013e-05  2.1945974967686588e-07
3.7000000000001201e+01  1.2034518935365969e-05  2.7809977672822595e-07
3.8000000000001002e+01  1.2181717699244042e-05  3.4972637918795867e-07
3.9000000000000803e+01  1.2105955952783961e-05  4.3400903278544332e-07
4.0000000000000597e+01  1.1780755288603164e-05  5.3761884233617340e-07
4.1000000000000398e+01  1.1395979899575626e-05  6.6141478105109607e-07
4.2000000000000199e+01  1.1133613175652312e-05  8.0706035662255974e-07
4.3000000000000000e+01  1.0976223248771159e-05  9.7777830792171961e-07
4.3999999999999801e+01  1.0819007111092774e-05  1.1919754284007836e-06
4.4999999999999602e+01  1.0611439899159390e-05  1.4763593944199238e-06
4.5999999999999403e+01  1.0281312529189792e-05  1.7793367803190001e-06
4.6999999999999197e+01  9.7313526167985384e-06  2.1326532558384757e-06
4.7999999999998998e+01  8.9918831675612989e-06  2.5911011877478647e-06
4.8999999999998799e+01  8.2143823937732247e-06  3.1301953276469953e-06
4.9999999999998600e+01  7.4385951097494482e-06  3.7904501365055697e-06
5.0009999999998598e+01  7.4304585552792447e-06  3.7977883159749510e-06
