#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
   0.0100000    9.7572473934e-11    1.5523645307e-10   -4.7136270771e-11   -1.1584367404e-10    9.2336772424e-13   -1.0092102742e-11    4.3351020085e-13   -2.0818741598e-12
   0.0200000    9.1064289471e-11    3.5554482722e-10   -4.1026400098e-11   -1.4326593567e-10    9.2494072923e-13   -1.0089290584e-11    4.3304580056e-13   -2.0815150669e-12
   0.0300000    8.3295617148e-11    5.4702090700e-10   -3.6623349789e-11   -1.7047545129e-10    9.2697166348e-13   -1.0085165228e-11    4.3365891844e-13   -2.0824323423e-12
   0.0400000    7.4166471161e-11    7.2860075595e-10   -3.2928072388e-11   -1.9736761178e-10    9.2755109563e-13   -1.0078155067e-11    4.3528704060e-13   -2.0825532470e-12
   0.0500000    6.3493561413e-11    8.9912164990e-10   -2.9820480101e-11   -2.2402314122e-10    9.2845701741e-13   -1.0069007876e-11    4.3431296170e-13   -2.0815308735e-12
   0.0600000    5.1115829814e-11    1.0573063320e-09   -2.7161792560e-11   -2.5052587790e-10    9.2805003597e-13   -1.0058837455e-11    4.3437767291e-13   -2.0817270077e-12
   0.0700000    3.6942614831e-11    1.2017625260e-09   -2.4819154938e-11   -2.7693150847e-10    9.2819492886e-13   -1.0046984330e-11    4.3775027051e-13   -2.0826148685e-12
   0.0800000    2.0903509135e-11    1.3310041362e-09   -2.2652273692e-11   -3.0331606025e-10    9.2846419335e-13   -1.0033431365e-11    4.3529528621e-13   -2.0812710050e-12
   0.0900000    3.0181790719e-12    1.4434611987e-09   -2.0508831371e-11   -3.2972204034e-10    9.2634984832e-13   -1.0021508169e-11    4.3546143181e-13   -2.0827661488e-12
   0.1000000   -1.6627307503e-11    1.5374828962e-09   -1.8242473106e-11   -3.5620541370e-10    9.2452893269e-13   -1.0009535697e-11    4.3385587747e-13   -2.0824941044e-12
   0.1100000   -3.7868077396e-11    1.6114061754e-09   -1.5698309204e-11   -3.8280275971e-10    9.2299981025e-13   -1.0001486994e-11    4.3577997110e-13   -2.0827284080e-12
   0.1200000   -6.0431379044e-11    1.6635344689e-09   -1.2731065408e-11   -4.0954994376e-10    9.1811725407e-13   -9.9947304545e-12    4.3644497182e-13   -2.0822298192e-12
   0.1300000   -8.3952212355e-11    1.6922181077e-09   -9.1818921455e-12   -4.3646806517e-10    9.1416396043e-13   -9.9905746328e-12    4.3441559103e-13   -2.0816247550e-12
   0.1400000   -1.0796216234e-10    1.6958633972e-09   -4.8988704177e-12   -4.6357530343e-10    9.0970111475e-13   -9.9916570133e-12    4.3607876239e-13   -2.0826117648e-12
   0.1500000   -1.3190384897e-10    1.6730007642e-09    2.6545444692e-13   -4.9089024846e-10    9.0327316925e-13   -9.9974986110e-12    4.3606696756e-13   -2.0818705238e-12
   0.1600000   -1.5511308631e-10    1.6223075427e-09    6.4543162612e-12   -5.1841172709e-10    8.9798836125e-13   -1.0009165649e-11    4.3701069190e-13   -2.0826336656e-12
   0.1700000   -1.7683576407e-10    1.5426841506e-09    1.3825783273e-11   -5.4613623977e-10    8.8921530882e-13   -1.0028616487e-11    4.3724807192e-13   -2.0814550897e-12
   0.1800000   -1.9625390980e-10    1.4332725369e-09    2.2509802616e-11   -5.7405385768e-10    8.8038271813e-13   -1.0056702156e-11    4.3737757044e-13   -2.0819145586e-12
   0.1900000   -2.1250694532e-10    1.2935248084e-09    3.2633645338e-11   -6.0215433164e-10    8.7035445426e-13   -1.0091358615e-11    4.3698474167e-13   -2.0825434786e-12
   0.2000000   -2.2470936751e-10    1.1232489404e-09    4.4332593569e-11   -6.3040240485e-10    8.5844750077e-13   -1.0135605430e-11    4.3760425665e-13   -2.0818251435e-12
   0.2100000   -2.3199228285e-10    9.2264848484e-10    5.7723028549e-11   -6.5877767432e-10    8.4519068452e-13   -1.0190599682e-11    4.3740471144e-13   -2.0815681070e-12
   0.2200000   -2.3353675515e-10    6.9236038522e-10    7.2910894432e-11   -6.8724478167e-10    8.3144990745e-13   -1.0255296216e-11    4.3789251699e-13   -2.0806486328e-12
   0.2300000   -2.2861626769e-10    4.3350044169e-10    8.9999288055e-11   -7.1574892984e-10    8.1672410019e-13   -1.0333544693e-11    4.3808272432e-13   -2.0811377705e-12
   0.2400000   -2.1666808059e-10    1.4767851514e-10    1.0906935655e-10   -7.4425729873e-10    7.9903547682e-13   -1.0422306384e-11    4.3895075549e-13   -2.0810744271e-12
   0.2500000   -1.9729891163e-10   -1.6296517845e-10    1.3020847395e-10   -7.7270779680e-10    7.8091674758e-13   -1.0523687845e-11    4.3844356828e-13   -2.0814957031e-12
   0.2600000   -1.7034794955e-10   -4.9577123329e-10    1.5347968483e-10   -8.0103906073e-10    7.6390496021e-13   -1.0636979990e-11    4.3847814814e-13   -2.0819968941e-12
   0.2700000   -1.3592616748e-10   -8.4752737281e-10    1.7892407821e-10   -8.2919243001e-10    7.4494307675e-13   -1.0763188845e-11    4.3971249009e-13   -2.0815836483e-12
   0.2800000   -9.4454105707e-11   -1.2145073131e-09    2.0658626769e-10   -8.5710254059e-10    7.2495193080e-13   -1.0901258822e-11    4.4074393244e-13   -2.0807671220e-12
   0.2900000   -4.6680481347e-11   -1.5924674495e-09    2.3649228170e-10   -8.8468337263e-10    7.0672275648e-13   -1.1052151015e-11    4.3903927974e-13   -2.0813809627e-12
   0.3000000    6.3033021795e-12   -1.9766736690e-09    2.6864926053e-10   -9.1186413073e-10    6.8563441972e-13   -1.1216791784e-11    4.3968221302e-13   -2.0807701701e-12
   0.3100000    6.3064879730e-11   -2.3619655294e-09    3.0304289200e-10   -9.3856621118e-10    6.6566975607e-13   -1.1392184487e-11    4.4176099542e-13   -2.0833820115e-12
   0.3200000    1.2182301558e-10   -2.7427836962e-09    3.3966114906e-10   -9.6470289808e-10    6.4559789849e-13   -1.1580934953e-11    4.3965127077e-13   -2.0816826252e-12
   0.3300000    1.8050887047e-10   -3.1132366130e-09    3.7846092988e-10   -9.9018433473e-10    6.2722152929e-13   -1.1778368467e-11    4.3982045037e-13   -2.0816161226e-12
