# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.4750682678e-07    4.0000000000e+00
   0.0500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477882e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.6644477882e-07    4.0000000000e+00
   0.1000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525301664e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8525301664e-07    4.0000000000e+00
   0.1500000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393545317e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0393545317e-07    4.0000000000e+00
   0.2000000   -5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249578207e-07    4.0000000000e+00    5.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2249578207e-07    4.0000000000e+00
   0.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.4093739068e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.4093739068e-07    2.0000000000e+00
   0.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.5926325485e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.5926325485e-07    2.0000000000e+00
   0.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.7747580159e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.7747580159e-07    2.0000000000e+00
   0.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    4.9557672767e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    4.9557672767e-07    2.0000000000e+00
   0.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.1356680517e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.1356680517e-07    2.0000000000e+00
   0.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.3144569544e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.3144569544e-07    2.0000000000e+00
   0.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.4921179188e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.4921179188e-07    2.0000000000e+00
   0.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.6686212091e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.6686212091e-07    2.0000000000e+00
   0.6500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    5.8439231977e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    5.8439231977e-07    2.0000000000e+00
   0.7000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.0179669706e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.0179669706e-07    2.0000000000e+00
   0.7500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.1906837767e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.1906837767e-07    2.0000000000e+00
   0.8000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.3619952498e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.3619952498e-07    2.0000000000e+00
   0.8500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.5318162452e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.5318162452e-07    2.0000000000e+00
   0.9000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.7000581057e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.7000581057e-07    2.0000000000e+00
   0.9500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    6.8666321696e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    6.8666321696e-07    2.0000000000e+00
   1.0000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.0314533252e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.0314533252e-07    2.0000000000e+00
   1.0500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.1944434375e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.1944434375e-07    2.0000000000e+00
   1.1000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.3555345111e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.3555345111e-07    2.0000000000e+00
   1.1500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.5146714848e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.5146714848e-07    2.0000000000e+00
   1.2000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.6718145799e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.6718145799e-07    2.0000000000e+00
   1.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.8269411622e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.8269411622e-07    2.0000000000e+00
   1.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    7.9800471051e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    7.9800471051e-07    2.0000000000e+00
   1.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.1311476588e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.1311476588e-07    2.0000000000e+00
   1.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.2802778508e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.2802778508e-07    2.0000000000e+00
   1.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.4274924574e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.4274924574e-07    2.0000000000e+00
   1.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.5728655913e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.5728655913e-07    2.0000000000e+00
   1.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.7164899568e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.7164899568e-07    2.0000000000e+00
   1.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.8584758563e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.8584758563e-07    2.0000000000e+00
   1.6500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    8.9989503421e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    8.9989503421e-07    2.0000000000e+00
   1.7000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.1380551307e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.1380551307e-07    2.0000000000e+00
   1.7500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.2759451206e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.2759451206e-07    2.0000000000e+00
   1.8000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.4127869410e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.4127869410e-07    2.0000000000e+00
   1.8500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.5487572789e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.5487572789e-07    2.0000000000e+00
   1.9000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.6840411939e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.6840411939e-07    2.0000000000e+00
   1.9500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.8188304482e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.8188304482e-07    2.0000000000e+00
   2.0000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    9.9533218742e-07    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    9.9533218742e-07    2.0000000000e+00
   2.0500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0087715797e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0087715797e-06    2.0000000000e+00
   2.1000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0222214522e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0222214522e-06    2.0000000000e+00
   2.1500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0357020908e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0357020908e-06    2.0000000000e+00
   2.2000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0492337012e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0492337012e-06    2.0000000000e+00
   2.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0628362840e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0628362840e-06    2.0000000000e+00
   2.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0765295165e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0765295165e-06    2.0000000000e+00
   2.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.0903326439e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.0903326439e-06    2.0000000000e+00
   2.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1042643786e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1042643786e-06    2.0000000000e+00
   2.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1183428082e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1183428082e-06    2.0000000000e+00
   2.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1325853111e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1325853111e-06    2.0000000000e+00
   2.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1470084796e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1470084796e-06    2.0000000000e+00
   2.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1616280494e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1616280494e-06    2.0000000000e+00
   2.6500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1764588352e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1764588352e-06    2.0000000000e+00
   2.7000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.1915146731e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.1915146731e-06    2.0000000000e+00
   2.7500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2068083677e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2068083677e-06    2.0000000000e+00
   2.8000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2223516442e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2223516442e-06    2.0000000000e+00
   2.8500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2381551059e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2381551059e-06    2.0000000000e+00
   2.9000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2542281949e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2542281949e-06    2.0000000000e+00
   2.9500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2705791572e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2705791572e-06    2.0000000000e+00
   3.0000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.2872150121e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.2872150121e-06    2.0000000000e+00
   3.0500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3041415245e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3041415245e-06    2.0000000000e+00
   3.1000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3213631811e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3213631811e-06    2.0000000000e+00
   3.1500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3388831702e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3388831702e-06    2.0000000000e+00
   3.2000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3567033644e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3567033644e-06    2.0000000000e+00
   3.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3748243075e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3748243075e-06    2.0000000000e+00
   3.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.3932452045e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.3932452045e-06    2.0000000000e+00
   3.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.4119639157e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.4119639157e-06    2.0000000000e+00
   3.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.4309769545e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.4309769545e-06    2.0000000000e+00
   3.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.4502794895e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.4502794895e-06    2.0000000000e+00
   3.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.4698653516e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.4698653516e-06    2.0000000000e+00
   3.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.4897270448e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.4897270448e-06    2.0000000000e+00
   3.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.5098557638e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.5098557638e-06    2.0000000000e+00
   3.6500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.5302414158e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.5302414158e-06    2.0000000000e+00
   3.7000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.5508726497e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.5508726497e-06    2.0000000000e+00
   3.7500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.5717368911e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.5717368911e-06    2.0000000000e+00
   3.8000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.5928203852e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.5928203852e-06    2.0000000000e+00
   3.8500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.6141082472e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.6141082472e-06    2.0000000000e+00
   3.9000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.6355845211e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.6355845211e-06    2.0000000000e+00
   3.9500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.6572322488e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.6572322488e-06    2.0000000000e+00
   4.0000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.6790335476e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.6790335476e-06    2.0000000000e+00
   4.0500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.7009696997e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.7009696997e-06    2.0000000000e+00
   4.1000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.7230212533e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.7230212533e-06    2.0000000000e+00
   4.1500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.7451681351e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.7451681351e-06    2.0000000000e+00
   4.2000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.7673897780e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.7673897780e-06    2.0000000000e+00
   4.2500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.7896652619e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.7896652619e-06    2.0000000000e+00
   4.3000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.8119734708e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.8119734708e-06    2.0000000000e+00
   4.3500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.8342932661e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.8342932661e-06    2.0000000000e+00
   4.4000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.8566036784e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.8566036784e-06    2.0000000000e+00
   4.4500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.8788841175e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.8788841175e-06    2.0000000000e+00
   4.5000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.9011146032e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.9011146032e-06    2.0000000000e+00
   4.5500000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.9232760184e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.9232760184e-06    2.0000000000e+00
   4.6000000   -5.9687500000e+00    3.1250000000e-02    0.0000000000e+00    1.9453503839e-06    2.0000000000e+00    5.9687500000e+00   -3.1250000000e-02    0.0000000000e+00    1.9453503839e-06    2.0000000000e+00
   4.6500000   -5.9687500000e+00    9.3750000000e-02    0.0000000000e+00    1.9593425000e-06    2.0000000000e+00    5.9687500000e+00   -9.3750000000e-02    0.0000000000e+00    1.9593425000e-06    2.0000000000e+00
   4.7000000   -5.9687500000e+00    9.3750000000e-02    0.0000000000e+00    1.9584825901e-06    2.0000000000e+00    5.9687500000e+00   -9.3750000000e-02    0.0000000000e+00    1.9584825901e-06    2.0000000000e+00
   4.7500000   -5.9687500000e+00    9.3750000000e-02    0.0000000000e+00    1.9597549020e-06    2.0000000000e+00    5.9687500000e+00   -9.3750000000e-02    0.0000000000e+00    1.9597549020e-06    2.0000000000e+00
