# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
5.7999999999997002e+01  -1.8361938441709191e-02  -1.9941812289610457e-06  9.9130951556742116e-03  -1.9683063848851602e-12
5.8999999999996803e+01  -1.7016625037201312e-02  -1.5785779185145481e-06  8.0654133145691923e-03  -8.5015425815921828e-12
5.9999999999996597e+01  -1.5299751941439153e-02  -1.4011591516553240e-06  5.9423699011444571e-03  -2.3337592857263672e-12
6.0999999999996398e+01  -1.3222034037162747e-02  -2.1161618234940492e-06  3.5943290579426943e-03  4.3177516514155811e-12
6.1999999999996199e+01  -1.0868580030973223e-02  -1.0998468069604471e-06  1.0642201462736846e-03  -1.8346526029752773e-12
6.2999999999996000e+01  -8.2526957044472844e-03  -5.5078146727282305e-07  -1.5879018050165804e-03  -1.0168015835742888e-11
6.3999999999995801e+01  -5.4507300372886730e-03  5.4004051284044252e-08  -4.3110473517659585e-03  -3.1138584549381121e-12
6.4999999999996305e+01  -2.5629270883752407e-03  3.5009655061482816e-06  -6.9976996245115627e-03  8.7008097463523761e-12
6.5999999999996902e+01  3.9782874578701664e-04  5.7376266846846531e-06  -9.6042618291367881e-03  1.8192094228950046e-11
6.6999999999997399e+01  3.3278463260937715e-03  5.7878023587265012e-06  -1.2053785376221203e-02  2.2511459503541135e-11
6.7999999999997897e+01  5.9821279476761436e-03  1.6367275792892864e-06  -1.4255649741198707e-02  1.4765887004523025e-11
6.8999999999998394e+01  8.5393474678101735e-03  -2.4187714621253859e-06  -1.6152139542060524e-02  1.4996168572873302e-11
6.9999999999998906e+01  1.0788794774256830e-02  5.7153450638563628e-07  -1.7709887044572176e-02  1.1871621239767198e-11
7.0999999999999403e+01  1.2849323865346587e-02  3.4416559299580232e-06  -1.8834702949577418e-02  -1.4935830511218491e-11
7.1999999999999901e+01  1.4451350282718847e-02  -4.4915740666647913e-06  -1.9497894985492883e-02  8.9527759087237781e-12
7.3000000000000398e+01  1.5648189700752220e-02  -6.1153229667349173e-06  -1.9724307259266358e-02  3.8367342292735260e-11
7.4000000000000995e+01  1.6316516584361125e-02  -7.6647803861373164e-06  -1.9446952209973112e-02  -1.2667199290227393e-11
7.5000000000001506e+01  1.6324710058370235e-02  -4.6495350495472727e-06  -1.8644546427417384e-02  -3.6765854947897868e-11
7.6000000000002004e+01  1.5828390804687550e-02  -8.5151665383505426e-06  -1.7429041407431563e-02  -1.0198302773556552e-11
7.7000000000002501e+01  1.4798916909987185e-02  -6.0922391244690681e-06  -1.5801102158611757e-02  -1.2421216500832759e-11
7.8000000000002998e+01  1.3571611437512177e-02  -1.0945564833308886e-05  -1.3834449743049430e-02  -1.1918603412964645e-11
7.9000000000003496e+01  1.1806662561422081e-02  -1.2764335322922283e-05  -1.1550250623460089e-02  1.1870094395117136e-11
8.0000000000003993e+01  9.2471969041298934e-03  -6.6974914137231602e-06  -9.0465065829338394e-03  -2.0888796368903704e-11
8.1000000000004505e+01  6.7505260813845412e-03  1.2924014295047764e-05  -6.1986721821979378e-03  -1.2459026275370101e-10
8.2000000000005002e+01  4.6618765836263856e-03  1.3190360125397901e-05  -3.2505479841006294e-03  -6.6705869864758531e-11
8.3000000000005599e+01  2.6823557632980350e-03  -1.2842139173481391e-05  -1.9291501554394847e-04  1.7877637223466300e-10
8.4000000000006096e+01  4.5274839326133224e-04  7.3029792264301589e-06  2.7524504362221630e-03  1.1624725494545091e-10
8.5000000000006594e+01  -2.0744431091414121e-03  4.8440307343707373e-05  5.3436270880069968e-03  -1.3043076506542330e-10
8.6000000000007105e+01  -4.8233308108973603e-03  3.2400119527388233e-05  8.0093931975903643e-03  -1.9180355576503072e-10
8.7000000000007603e+01  -6.7331405188751307e-03  -3.6647893903094683e-05  1.0533496205957763e-02  -1.9960578437512588e-10
8.8000000000008100e+01  -7.5595237406175615e-03  -2.8155893844078374e-05  1.2823482599106813e-02  -1.1554409701561947e-10
8.9000000000008598e+01  -8.3612919607863340e-03  6.8253538829908601e-06  1.4739542326342701e-02  3.7890387747133939e-11
9.0000000000009095e+01  -1.0408770568436509e-02  2.4053035269507477e-05  1.5960564934077961e-02  1.9988551697207530e-10
9.1000000000009607e+01  -1.1189237009435225e-02  -1.3310972173816729e-05  1.6143214393670332e-02  6.4399794833203084e-10
9.2000000000010203e+01  -9.2886151565341225e-03  -7.6322244361852237e-05  1.6666361391817514e-02  2.2354943376577847e-10
9.3000000000010701e+01  -9.1426125694136148e-03  -8.6343777838239561e-05  1.6902959983847648e-02  -6.8708468734267119e-10
9.4000000000011198e+01  -9.5976802737418182e-03  -2.8432299591740713e-05  1.6485727123234470e-02  -6.3606367390925639e-10
9.5000000000011696e+01  -9.0086023622282865e-03  6.7985894203503026e-05  1.5297286590805559e-02  -9.0186170040152769e-10
9.6000000000012193e+01  -9.1456065529950271e-03  5.3673703023225056e-05  1.3842638978185270e-02  -9.2551672502640993e-10
9.7000000000012705e+01  -6.2449614909719621e-03  -1.2989029912134070e-05  1.1693113525498938e-02  1.3144180674914681e-10
9.8000000000013202e+01  -2.5591846024743473e-03  -6.0030527459645988e-06  9.0585727817396860e-03  -2.5660567669954170e-10
9.9000000000013699e+01  -3.5107877848861860e-03  6.8123889194738929e-05  7.2258152637220286e-03  -1.7554586072537209e-09
1.0000000000001400e+02  -2.5532902028163450e-03  -3.7430831969737656e-05  4.9930448397796940e-03  -1.4273026951826381e-09
