# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
5.7999999999997002e+01  2.5039081178110326e-02  -1.2664430996623883e-02  -3.7825866455668126e-06  -2.9932387183882968e-05  -1.8361938441709191e-02  -1.9941812289610457e-06  -3.7347406892554216e-06  2.9950240862457356e-05  2.5051453308544847e-02  1.2654288095081278e-02  -1.3011999517765089e-02  7.9379251863823837e-03  5.9227681907356152e-08  8.1776124169908579e-06  9.9130951556742116e-03  -1.9683063848851602e-12  5.9237168282606220e-08  -8.1776167379943975e-06  -1.3011999533563787e-02  -7.9379251894987849e-03
5.8999999999996803e+01  2.2169007277160976e-02  -1.4860913960683607e-02  -1.0862198500367634e-05  -2.6157173352078759e-05  -1.7016625037201312e-02  -1.5785779185145481e-06  -1.1045833703100810e-05  2.6031911266104224e-05  2.2188562508650242e-02  1.4853943388732383e-02  -1.0406962570280832e-02  8.8651715834028207e-03  1.6866582071994089e-06  8.0118587917935162e-06  8.0654133145691923e-03  -8.5015425815921828e-12  1.6866601434872401e-06  -8.0118592075352336e-06  -1.0406962578978557e-02  -8.8651715850280640e-03
5.9999999999996597e+01  1.8706790790702289e-02  -1.6624484804917676e-02  -2.0585678489754679e-05  -2.3977317471305423e-05  -1.5299751941439153e-02  -1.4011591516553240e-06  -2.0762833894141824e-05  2.3988780215111927e-05  1.8725329949210216e-02  1.6617171598428650e-02  -7.4035856951534694e-03  9.6456588936678512e-03  4.0549655299688091e-06  7.4547079304489534e-06  5.9423699011444571e-03  -2.3337592857263672e-12  4.0549585576021469e-06  -7.4547105158259453e-06  -7.4035857084729416e-03  -9.6456588953238789e-03
6.0999999999996398e+01  1.4701191926153160e-02  -1.7866806244629517e-02  -3.0226282670021167e-05  -1.7923515989889675e-05  -1.3222034037162846e-02  -2.1161618235143509e-06  -3.0417659152067625e-05  1.7993013429139977e-05  1.4726662224222512e-02  1.7863328703522342e-02  -4.0510615981992314e-03  1.0233303738282420e-02  5.9614954816807583e-06  6.6946911946475707e-06  3.5943290579426943e-03  4.3177516514155811e-12  5.9614823774811761e-06  -6.6947030904153913e-06  -4.0510616124268695e-03  -1.0233303737240722e-02
6.1999999999996199e+01  1.0283593126967319e-02  -1.8537384097021506e-02  -3.0879607502725561e-05  -1.2807305970609400e-05  -1.0868580030975615e-02  -1.0998468056060210e-06  -3.0494023280252515e-05  1.2957542404347731e-05  1.0313464751422289e-02  1.8536833569523958e-02  -4.2251063412427405e-04  1.0566137468745292e-02  8.1041375181736273e-06  5.5322504786172995e-06  1.0642201462736846e-03  -1.8346526029752773e-12  8.1041210152886228e-06  -5.5322715519367949e-06  -4.2251066730347367e-04  -1.0566137479447620e-02
6.2999999999996000e+01  5.6538295835522378e-03  -1.8624542848504896e-02  -3.2874069665013461e-05  -1.6433023399097692e-05  -8.2526957044496939e-03  -5.5078147486423048e-07  -3.2731626626899440e-05  1.6449038564922202e-05  5.6837596064074954e-03  1.8630295008438581e-02  3.3940643647566585e-03  1.0609590398512489e-02  1.0086520501710288e-05  4.1234944456708192e-06  -1.5879018050165804e-03  -1.0168015835742888e-11  1.0086508540540419e-05  -4.1235216074560736e-06  3.3940643388739914e-03  -1.0609590417484207e-02
6.3999999999995801e+01  8.7692223679114792e-04  -1.8093135667232790e-02  -2.6452496539068034e-05  -5.0469706680087744e-06  -5.4507300372831826e-03  5.4004016898633338e-08  -2.6476926600239288e-05  4.9461709803025046e-06  9.0316261847081080e-04  1.8105097464898270e-02  7.3005755977665317e-03  1.0325711102766755e-02  1.2331875528171975e-05  2.4597799132593518e-06  -4.3110473517659585e-03  -3.1138584549381121e-12  1.2331882691422030e-05  -2.4597894111324886e-06  7.3005755887490340e-03  -1.0325711123964767e-02
6.4999999999996305e+01  -3.8526663663986929e-03  -1.6939017782357915e-02  -2.2230160017182981e-05  -5.8307128813470950e-06  -2.5629270883759320e-03  3.5009655032811429e-06  -2.2844369385191980e-05  5.8597155072675256e-06  -3.8213856371227123e-03  1.6951262605569818e-02  1.1180107554414292e-02  9.6722101075580706e-03  1.4419970723246696e-05  5.7727945714904792e-07  -6.9976996245115627e-03  8.7008097209413876e-12  1.4419974511921973e-05  -5.7728831625000255e-07  1.1180107516700859e-02  -9.6722101296394369e-03
6.5999999999996902e+01  -8.3392600966281875e-03  -1.5224690668390375e-02  -1.1538005499981201e-05  9.6136808850168881e-07  3.9782874583272205e-04  5.7376266692529054e-06  -1.0928169849141737e-05  -7.0306348696003761e-07  -8.3173741824140671e-03  1.5239936638304278e-02  1.4904661514929895e-02  8.6506984809789529e-03  1.5358429210571575e-05  -1.5633674906434398e-06  -9.6042618291367760e-03  1.8192094101895104e-11  1.5358406776993397e-05  1.5633382941929509e-06  1.4904661435037995e-02  -8.6506984828646372e-03
6.6999999999997399e+01  -1.2689218549762304e-02  -1.2979602751152479e-02  -4.7799774189876116e-06  7.2543412592570461e-07  3.3278463261159730e-03  5.7878023300642920e-06  -3.8711182894698736e-06  -4.5322554093816169e-07  -1.2664580049745147e-02  1.3000933328055887e-02  1.8377749645716784e-02  7.2649775696939246e-03  1.6402622882978516e-05  -3.8533435270033602e-06  -1.2053785376221359e-02  2.2511034098184036e-11  1.6402605409812570e-05  3.8533277660752582e-06  1.8377749613893928e-02  -7.2649775658495241e-03
