#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.5411408756e-09   -5.8917914443e-10   -1.5798880310e-10   -5.5899446856e-11    1.2817104347e-11    1.8965965928e-09   -9.5232389148e-11    1.3683500715e-10
   0.0200000   -1.6286080837e-09   -5.0897503049e-10   -1.8553858284e-10   -7.9822726629e-11    6.9648007568e-11    1.8480447324e-09   -8.3397365915e-11    2.5807093337e-10
   0.0300000   -1.7208330073e-09   -4.2837782468e-10   -2.0997802104e-10   -1.0355185322e-10    1.1451170190e-10    1.7993881427e-09   -7.2995297347e-11    3.6720531822e-10
   0.0400000   -1.8180770692e-09   -3.4831479590e-10   -2.3115648967e-10   -1.2701952739e-10    1.4745821886e-10    1.7509878385e-09   -6.3959471429e-11    4.6465287601e-10
   0.0500000   -1.9205604152e-09   -2.6980636615e-10   -2.4891949107e-10   -1.5011300296e-10    1.6854415885e-10    1.7027138699e-09   -5.6222969784e-11    5.5083611833e-10
   0.0600000   -2.0283982419e-09   -1.9390469466e-10   -2.6311008072e-10   -1.7266731066e-10    1.7789001441e-10    1.6543632803e-09   -4.9717345692e-11    6.2616992226e-10
   0.0700000   -2.1416339138e-09   -1.2170419370e-10   -2.7361383182e-10   -1.9446224141e-10    1.7566612204e-10    1.6056850463e-09   -4.4370588694e-11    6.9106283052e-10
   0.0800000   -2.2602097558e-09   -5.4302937979e-11   -2.8030654996e-10   -2.1521487703e-10    1.6210884863e-10    1.5563799681e-09   -4.0114079300e-11    7.4592439781e-10
   0.0900000   -2.3839933939e-09    7.2145276504e-12   -2.8307897082e-10   -2.3457303255e-10    1.3750392525e-10    1.5060991060e-09   -3.6881050068e-11    7.9115653721e-10
   0.1000000   -2.5127231380e-09    6.1773110224e-11   -2.8183345649e-10   -2.5211646563e-10    1.0220046859e-10    1.4544715333e-09   -3.4598444041e-11    8.2714984819e-10
   0.1100000   -2.6460421779e-09    1.0835932571e-10   -2.7646587363e-10   -2.6734378460e-10    5.6582991828e-11    1.4011028434e-09   -3.3205910169e-11    8.5429616149e-10
   0.1200000   -2.7835045507e-09    1.4601018428e-10   -2.6688650121e-10   -2.7969600684e-10    1.0988440519e-12    1.3455894390e-09   -3.2633490313e-11    8.7297467925e-10
   0.1300000   -2.9245316070e-09    1.7384550061e-10   -2.5300031638e-10   -2.8854155188e-10   -6.3769427734e-11    1.2875227999e-09   -3.2821896376e-11    8.8356022029e-10
   0.1400000   -3.0684295814e-09    1.9108643228e-10   -2.3473073604e-10   -2.9319847426e-10   -1.3748317407e-10    1.2265196224e-09   -3.3708976378e-11    8.8641430931e-10
