#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.2623778209e-03   -7.7371801122e-13   -1.5694916581e-04   -6.8808970249e-09   -3.4366072401e-05   -8.4223198959e-14   -1.4471678788e-05   -1.0400068124e-13
   0.0200000   -1.2620191410e-03   -2.5907968253e-13   -1.5692310766e-04   -1.2694026668e-08   -3.4358446021e-05   -8.6221738569e-14   -1.4459802498e-05   -1.1827947230e-13
   0.0300000   -1.2616727442e-03    2.2657128785e-13   -1.5689710976e-04   -1.7352822637e-08   -3.4351481331e-05   -8.7810440387e-14   -1.4449581910e-05   -1.3420912409e-13
   0.0400000   -1.2613367911e-03    6.8931950977e-13   -1.5687112508e-04   -2.0855858553e-08   -3.4345293254e-05   -8.6981533652e-14   -1.4440934339e-05   -1.4940663371e-13
   0.0500000   -1.2610087530e-03    1.1108705577e-12   -1.5684508516e-04   -2.3217854451e-08   -3.4339827673e-05   -8.5006047740e-14   -1.4433727708e-05   -1.6525858766e-13
   0.0600000   -1.2606855204e-03    1.4897272886e-12   -1.5681890432e-04   -2.4468663712e-08   -3.4335013544e-05   -8.2954346253e-14   -1.4427834163e-05   -1.7961740880e-13
   0.0700000   -1.2603635678e-03    1.8208227899e-12   -1.5679248492e-04   -2.4652035070e-08   -3.4330762416e-05   -7.9038650961e-14   -1.4423132139e-05   -1.9347507171e-13
   0.0800000   -1.2600391320e-03    2.1043447462e-12   -1.5676572326e-04   -2.3824215854e-08   -3.4326970175e-05   -7.6665695776e-14   -1.4419507923e-05   -2.0894595018e-13
   0.0900000   -1.2597083945e-03    2.3354818529e-12   -1.5673851577e-04   -2.2052348239e-08   -3.4323518851e-05   -6.9166102024e-14   -1.4416856810e-05   -2.2303192269e-13
   0.1000000   -1.2593676607e-03    2.5115989141e-12   -1.5671076521e-04   -1.9412777031e-08   -3.4320278670e-05   -6.4091593967e-14   -1.4415083795e-05   -2.3774290573e-13
   0.1100000   -1.2590135289e-03    2.6428668871e-12   -1.5668238676e-04   -1.5989245843e-08   -3.4317110249e-05   -5.7116832516e-14   -1.4414104011e-05   -2.5022919287e-13
   0.1200000   -1.2586430425e-03    2.7228640227e-12   -1.5665331338e-04   -1.1871040189e-08   -3.4313866838e-05   -4.9097888351e-14   -1.4413842766e-05   -2.6418118800e-13
