#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    1.3235253602e-03   -3.1714550975e-04    1.6531958806e-04   -7.0353603971e-05    3.5139074636e-05   -2.1601806512e-05    1.4711051818e-05   -1.1169732380e-05
   0.0200000    1.3232307796e-03   -3.1659455202e-04    1.6529197112e-04   -7.0426911592e-05    3.5134691235e-05   -2.1584215399e-05    1.4730093942e-05   -1.1140217046e-05
   0.0300000    1.3229341063e-03   -3.1590282983e-04    1.6526531305e-04   -7.0505474032e-05    3.5130452530e-05   -2.1567847182e-05    1.4747708133e-05   -1.1091073290e-05
   0.0400000    1.3226356099e-03   -3.1508437192e-04    1.6523928233e-04   -7.0589291667e-05    3.5126281238e-05   -2.1552800931e-05    1.4763893898e-05   -1.1025263173e-05
   0.0500000    1.3223356649e-03   -3.1415447482e-04    1.6521346248e-04   -7.0678457279e-05    3.5122174273e-05   -2.1539165551e-05    1.4778684297e-05   -1.0945549965e-05
   0.0600000    1.3220347340e-03   -3.1312945957e-04    1.6518738082e-04   -7.0773145533e-05    3.5118126500e-05   -2.1527020040e-05    1.4792119432e-05   -1.0854502746e-05
   0.0700000    1.3217333437e-03   -3.1202642011e-04    1.6516054118e-04   -7.0873601526e-05    3.5114131765e-05   -2.1516433210e-05    1.4804244278e-05   -1.0754501543e-05
   0.0800000    1.3214320580e-03   -3.1086296636e-04    1.6513245815e-04   -7.0980126947e-05    3.5110182986e-05   -2.1507463579e-05    1.4815107019e-05   -1.0647742737e-05
   0.0900000    1.3211314509e-03   -3.0965696689e-04    1.6510269152e-04   -7.1093064606e-05    3.5106272220e-05   -2.1500159173e-05    1.4824757536e-05   -1.0536244744e-05
   0.1000000    1.3208320798e-03   -3.0842629441e-04    1.6507087834e-04   -7.1212781502e-05    3.5102390811e-05   -2.1494557504e-05    1.4833246160e-05   -1.0421853890e-05
   0.1100000    1.3205344589e-03   -3.0718857833e-04    1.6503676136e-04   -7.1339650883e-05    3.5098529437e-05   -2.1490685564e-05    1.4840622617e-05   -1.0306250473e-05
   0.1200000    1.3202390349e-03   -3.0596096777e-04    1.6500021177e-04   -7.1474033972e-05    3.5094678252e-05   -2.1488559877e-05    1.4846935080e-05   -1.0190954993e-05
