# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.1250000   -7.9061902556e-10   -3.2077569135e-09   -3.0538010243e-11   -2.7010481900e-10    2.4320497640e-13   -3.8956771402e-11   -2.3364971197e-12    8.1579749218e-11
   0.2500000   -7.2990715323e-10   -3.2368396773e-09   -3.0108385798e-11   -2.7002832850e-10    2.8919703906e-13   -3.8963749724e-11   -2.5047270509e-11    1.6252730369e-10
   0.3750000   -6.5149706934e-10   -3.2757099493e-09   -2.9547502378e-11   -2.6999745631e-10    3.3381190269e-13   -3.8968776410e-11   -5.3154450687e-11    2.1760510848e-10
   0.5000000   -7.4663561001e-10   -3.2065331777e-09   -2.9454529391e-11   -2.6956555489e-10    3.7781743385e-13   -3.8973172761e-11   -7.3625239585e-11    2.3877713682e-10
   0.6250000   -8.8317700212e-10   -3.1113502648e-09   -3.0257426951e-11   -2.6858755644e-10    4.2177920652e-13   -3.8977511680e-11   -7.8832322767e-11    2.2532507800e-10
   0.7500000   -8.1997048352e-10   -3.1380007362e-09   -3.0744434937e-11   -2.6821105108e-10    4.6687363826e-13   -3.8981539032e-11   -6.7917721580e-11    1.8465428208e-10
   0.8750000   -6.6271903848e-10   -3.2195302425e-09   -2.8668541215e-11   -2.7002410541e-10    5.1272842883e-13   -3.8982766685e-11   -4.5483464670e-11    1.2996058629e-10
   1.0000000   -6.2351505491e-10   -3.2352487341e-09   -2.3680706400e-11   -2.7359858067e-10    5.5926715672e-13   -3.8977031501e-11   -1.8876229703e-11    7.5790241987e-11
   1.1250000   -7.1947311831e-10   -3.1856093296e-09   -1.9181989002e-11   -2.7556444164e-10    6.0199647699e-13   -3.8958439739e-11    4.6477493830e-12    3.3521210063e-11
   1.2500000   -8.1647691775e-10   -3.1373170178e-09   -2.0105075684e-11   -2.7233707439e-10    6.3318968662e-13   -3.8929230244e-11    1.9958437584e-11    8.5229902013e-12
   1.3750000   -7.9830122879e-10   -3.1362511282e-09   -2.8045173603e-11   -2.6425200593e-10    6.4623775050e-13   -3.8900191529e-11    2.4924692554e-11   -1.9603181134e-13
   1.5000000   -7.0249037703e-10   -3.1641153289e-09   -3.8589919347e-11   -2.5655868364e-10    6.3861857477e-13   -3.8891734585e-11    2.0244951315e-11    1.8120370957e-12
   1.6250000   -6.6678190129e-10   -3.1607709762e-09   -4.4003978494e-11   -2.5549021056e-10    6.1859938912e-13   -3.8921758455e-11    8.6220827263e-12    7.3069408626e-12
   1.7500000   -7.2722626741e-10   -3.1066375055e-09   -3.9339159629e-11   -2.6270559408e-10    6.0688629414e-13   -3.8992209584e-11   -6.3226999421e-12    1.0044325135e-11
   1.8750000   -7.8414396428e-10   -3.0480621826e-09   -2.6755664234e-11   -2.7330787086e-10    6.2975043286e-13   -3.9079084962e-11   -2.1048657814e-11    6.4143093134e-12
   2.0000000   -7.7328969543e-10   -3.0323108257e-09   -1.4312012736e-11   -2.7946524369e-10    7.1544754261e-13   -3.9142987609e-11   -3.2848793463e-11   -4.2478350580e-12
   2.1250000   -7.3989399625e-10   -3.0553059392e-09   -1.0192699783e-11   -2.7662693598e-10    8.7804848362e-13   -3.9140335054e-11   -4.0269434671e-11   -2.0354340311e-11
   2.2500000   -7.3281791374e-10   -3.0774972836e-09   -1.6923389250e-11   -2.6703654941e-10    1.1111376247e-12   -3.9057523796e-11   -4.3183125062e-11   -3.9212968471e-11
   2.3750000   -7.3772280724e-10   -3.0729866998e-09   -2.9827590325e-11   -2.5772470772e-10    1.3782381776e-12   -3.8918962567e-11   -4.2557813194e-11   -5.8078772632e-11
   2.5000000   -7.3527893731e-10   -3.0555376564e-09   -4.0513815555e-11   -2.5481686378e-10    1.6162692018e-12   -3.8786204924e-11   -3.9968971541e-11   -7.4832774023e-11
   2.6250000   -7.3325161142e-10   -3.0478582441e-09   -4.2475930717e-11   -2.5891456298e-10    1.7460352212e-12   -3.8722880297e-11   -3.7015256398e-11   -8.8262625780e-11
   2.7500000   -7.2609975620e-10   -3.0301379023e-09   -3.4882655279e-11   -2.6516677117e-10    1.6910610263e-12   -3.8749497675e-11   -3.4799436142e-11   -9.8133021769e-11
   2.8750000   -7.1664291286e-10   -2.9614398395e-09   -2.2371467147e-11   -2.6767017674e-10    1.4045485782e-12   -3.8814925935e-11   -3.3697788511e-11   -1.0513176585e-10
   3.0000000   -7.4610684347e-10   -2.8865712645e-09   -1.1639992188e-11   -2.6442932943e-10    8.8596971560e-13   -3.8805985769e-11   -3.3532365847e-11   -1.1070333732e-10
   3.1250000   -7.7315027919e-10   -2.9395746579e-09   -7.4502085406e-12   -2.5887659382e-10    1.9826274517e-13   -3.8588459899e-11   -3.4095872429e-11   -1.1663852426e-10
