# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    2.6000000000e+01    3.2000000000e+01    3.2000000000e+01    3.8000000000e+01    3.2000000000e+01    3.2000000000e+01
   0.1250000    2.6000000000e+01    3.2000000189e+01    3.2000000000e+01    3.8000000000e+01    3.1999999811e+01    3.2000000000e+01
   0.2500000    2.6000000006e+01    3.2000011572e+01    3.2000000000e+01    3.7999999994e+01    3.1999988428e+01    3.2000000000e+01
   0.3750000    2.6000000111e+01    3.2000093370e+01    3.2000000000e+01    3.7999999889e+01    3.1999906630e+01    3.2000000000e+01
   0.5000000    2.6000000749e+01    3.2000347369e+01    3.2000000000e+01    3.7999999251e+01    3.1999652631e+01    3.2000000000e+01
   0.6250000    2.6000002905e+01    3.2000870750e+01    3.2000000000e+01    3.7999997095e+01    3.1999129250e+01    3.2000000000e+01
   0.7500000    2.6000008128e+01    3.2001729401e+01    3.2000000000e+01    3.7999991872e+01    3.1998270599e+01    3.2000000000e+01
   0.8750000    2.6000018394e+01    3.2002955617e+01    3.2000000000e+01    3.7999981606e+01    3.1997044383e+01    3.2000000000e+01
   1.0000000    2.6000035926e+01    3.2004555839e+01    3.2000000000e+01    3.7999964074e+01    3.1995444161e+01    3.2000000000e+01
   1.1250000    2.6000063059e+01    3.2006519721e+01    3.2000000000e+01    3.7999936941e+01    3.1993480279e+01    3.2000000000e+01
   1.2500000    2.6000102128e+01    3.2008827462e+01    3.2000000000e+01    3.7999897872e+01    3.1991172538e+01    3.2000000000e+01
   1.3750000    2.6000155411e+01    3.2011454924e+01    3.2000000000e+01    3.7999844589e+01    3.1988545076e+01    3.2000000000e+01
   1.5000000    2.6000225095e+01    3.2014376750e+01    3.2000000000e+01    3.7999774905e+01    3.1985623250e+01    3.2000000000e+01
   1.6250000    2.6000313267e+01    3.2017568258e+01    3.2000000000e+01    3.7999686733e+01    3.1982431742e+01    3.2000000000e+01
   1.7500000    2.6000421905e+01    3.2021006429e+01    3.2000000000e+01    3.7999578095e+01    3.1978993571e+01    3.2000000000e+01
   1.8750000    2.6000552893e+01    3.2024670338e+01    3.2000000000e+01    3.7999447107e+01    3.1975329663e+01    3.2000000000e+01
   2.0000000    2.6000708020e+01    3.2028541311e+01    3.2000000000e+01    3.7999291980e+01    3.1971458690e+01    3.2000000000e+01
   2.1250000    2.6000888997e+01    3.2032602731e+01    3.2000000000e+01    3.7999111003e+01    3.1967397270e+01    3.2000000000e+01
   2.2500000    2.6001097472e+01    3.2036839890e+01    3.2000000000e+01    3.7998902526e+01    3.1963160111e+01    3.2000000000e+01
