# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
0.0000000000000000e+00  -3.0706386147463091e-03  1.2877644147488198e-03  2.6005377785888636e-06  5.1254755860196296e-06  2.5236099933897515e-03  -4.6319149687654160e-17  2.6005377813097376e-06  -5.1254755903132227e-06  -3.0706386147463503e-03  -1.2877644147488300e-03  -1.7514379655117650e-04  1.8476486848565407e-04  1.9090873553280479e-07  1.0273868003864949e-07  1.4203218073590004e-04  -6.6922220277990151e-18  1.9090874042036587e-07  -1.0273868521452044e-07  -1.7514379655114151e-04  -1.8476486848565250e-04
5.0000000000000000e-01  -3.0513671999108996e-03  1.2924654521206554e-03  2.7064397007327890e-06  5.0977584835799423e-06  2.5163922751479900e-03  3.7610295737164345e-16  2.7064397004884285e-06  -5.0977584832807575e-06  -3.0513671999105613e-03  -1.2924654521199771e-03  -1.7487423286348793e-04  2.0435073658637401e-04  2.6827070156552738e-07  1.1215250664212122e-07  1.4220430137584542e-04  2.9764446598940495e-16  2.6827070137376902e-07  -1.1215250711931248e-07  -1.7487423286292658e-04  -2.0435073658615999e-04
1.0000000000000000e+00  -3.0293606815142379e-03  1.2935849814196603e-03  2.8030536785327488e-06  5.0649745767552627e-06  2.5087266733394000e-03  1.1981789258680431e-16  2.8030536800756138e-06  -5.0649745788999781e-06  -3.0293606815132474e-03  -1.2935849814196046e-03  -1.7468610663753557e-04  1.9327946563868576e-04  8.8165445538885189e-08  1.0547916447570784e-07  1.4253030417181350e-04  -1.2332180980924423e-16  8.8165445400269729e-08  -1.0547916373332842e-07  -1.7468610663777331e-04  -1.9327946563914145e-04
1.5000000000000000e+00  -3.0042955327252065e-03  1.2908979283254231e-03  2.8897821543508721e-06  5.0266668906880284e-06  2.5006524790049094e-03  -2.2414863476601099e-16  2.8897821530440968e-06  -5.0266668897692119e-06  -3.0042955327249923e-03  -1.2908979283244688e-03  -1.7432403541238394e-04  1.8189094814489895e-04  2.8095357029099485e-08  9.8801711626298091e-08  1.4243168646984591e-04  -9.7326864966377287e-17  2.8095356394613435e-08  -9.8801712642520086e-08  -1.7432403541296055e-04  -1.8189094814586958e-04
2.0000000000000000e+00  -2.9757809744960124e-03  1.2841818279190511e-03  2.9660533888355757e-06  4.9821606825729998e-06  2.4920183871916884e-03  -7.8716465854236639e-17  2.9660533863294335e-06  -4.9821606816026795e-06  -2.9757809744965498e-03  -1.2841818279192474e-03  -1.7390497515692204e-04  1.8705853978391706e-04  7.0940690856171096e-08  9.9626502979459934e-08  1.4234057538070898e-04  2.5544316697482757e-16  7.0940690202539673e-08  -9.9626502347579774e-08  -1.7390497515687775e-04  -1.8705853978370963e-04
2.5000000000000000e+00  -2.9433919236797786e-03  1.2732211933670075e-03  3.0312527731901917e-06  4.9307584000580660e-06  2.4827834233591157e-03  -1.8021896502256121e-15  3.0312527722064404e-06  -4.9307584040837391e-06  -2.9433919236806151e-03  -1.2732211933685126e-03  -1.7338967985598732e-04  1.9155695418132248e-04  5.0337930013622515e-08  1.0165809322523332e-07  1.4190252842148207e-04  -4.2057965158034190e-16  5.0337930870797934e-08  -1.0165809385831931e-07  -1.7338967985583691e-04  -1.9155695418132985e-04
3.0000000000000000e+00  -2.9066137444346556e-03  1.2578141097926267e-03  3.0848938874156271e-06  4.8716871837518147e-06  2.4729097132459616e-03  -1.8080190326125699e-13  3.0848938613143580e-06  -4.8716874840581499e-06  -2.9066137444619723e-03  -1.2578141099487249e-03  -1.7285223896479818e-04  1.8859318915806557e-04  3.9046848630655989e-08  1.0105778976844209e-07  1.4202650090734857e-04  3.8243855205886881e-16  3.9046848949302656e-08  -1.0105778882402498e-07  -1.7285223896144119e-04  -1.8859318915853481e-04
3.5000000000000000e+00  -2.8649075204821594e-03  1.2377803384518958e-03  3.1266193770848000e-06  4.8041987365093380e-06  2.4623334319928778e-03  1.6142718673895916e-11  3.1266249789356602e-06  -4.8041723044841369e-06  -2.8649075142132682e-03  -1.2377803253955893e-03  -1.7230703288561772e-04  1.8685602043880077e-04  7.0460893071122968e-08  9.9800964599044395e-08  1.4107028485357620e-04  4.4197332154782137e-16  7.0460893748138999e-08  -9.9800964690979432e-08  -1.7230703288665644e-04  -1.8685602043765285e-04
4.0000000000000000e+00  -2.8176032600432019e-03  1.2129714778742774e-03  3.1590365669812038e-06  4.7268943369799911e-06  2.4510213413994945e-03  3.5341084425659320e-12  3.1590083935304061e-06  -4.7268849030565822e-06  -2.8176032873143669e-03  -1.2129714671790641e-03  -1.7164234972086764e-04  1.9040976374873765e-04  9.1058444090890053e-08  9.8215614418412214e-08  1.4136147397884533e-04  1.3150980599511064e-16  9.1058444096880442e-08  -9.8215613943148631e-08  -1.7164234972111140e-04  -1.9040976374957682e-04
4.5000000000000000e+00  -2.7640334112288001e-03  1.1832824977512234e-03  3.1703090038131047e-06  4.6391871061152651e-06  2.4388628051296478e-03  -6.0625991884735069e-10  3.1702663392613676e-06  -4.6401536477341719e-06  -2.7640334355901086e-03  -1.1832829404947397e-03  -1.7102509426426138e-04  1.9255614261076264e-04  9.2489747471152970e-08  9.8223444314841949e-08  1.4090449803557352e-04  -4.5173114110019091e-16  9.2489748644848276e-08  -9.8223445197696370e-08  -1.7102509426359855e-04  -1.9255614261006368e-04
