# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.4993901352532273e-05  3.1136224501807242e-05  9.3302792439938620e-01  4.7321116975975448e+00  5.9196927908338348e-01
5.0000000000000000e-01  3.4882163774060044e-05  3.0877069376795327e-05  9.3221201374618312e-01  4.7288480549847325e+00  5.6068570597955625e-01
1.0000000000000000e+00  3.4471522916387900e-05  3.0290882601267658e-05  9.2778501377535894e-01  4.7111400551014357e+00  5.7569136943024435e-01
1.5000000000000000e+00  3.3908915888408444e-05  2.9518746260992445e-05  9.2221071069397631e-01  4.6888428427759052e+00  5.9253551722329934e-01
2.0000000000000000e+00  3.3277655615198734e-05  2.8637220588768132e-05  9.1740976299016808e-01  4.6696390519606723e+00  5.8226768197333734e-01
2.5000000000000000e+00  3.2503841831040895e-05  2.7563965138029192e-05  9.1137002089930630e-01  4.6454800835972252e+00  5.7067046273092881e-01
3.0000000000000000e+00  3.1558551133801511e-05  2.6259804099510742e-05  9.0270208399528207e-01  4.6108083359811278e+00  5.7033200738258572e-01
3.5000000000000000e+00  3.0497787447299775e-05  2.4768603051300578e-05  8.9216161721533016e-01  4.5686464688613206e+00  5.6874447586095689e-01
4.0000000000000000e+00  2.9371826010634973e-05  2.3125556760585927e-05  8.7946360648674105e-01  4.5178544259469646e+00  5.5756396513868756e-01
4.5000000000000000e+00  2.8189548007914821e-05  2.1322300367484144e-05  8.6359162213222995e-01  4.4543664885289198e+00  5.4648796358941354e-01
5.0000000000000000e+00  2.6976988780906244e-05  1.9364197604228387e-05  8.4332873204816783e-01  4.3733149281926718e+00  5.4415489217045931e-01
5.5000000000000000e+00  2.5823879830577345e-05  1.7316335941068907e-05  8.1820259354319991e-01  4.2728103741727992e+00  5.4310818057486665e-01
6.0000000000000000e+00  2.4833905224103417e-05  1.5256123737677657e-05  7.8915041065253877e-01  4.1566016426101555e+00  5.3635297742812971e-01
6.5000000000000000e+00  2.4094284628977895e-05  1.3239106976510176e-05  7.5550918300070757e-01  4.0220367320028299e+00  5.3050696062595692e-01
7.0000000000000000e+00  2.3711526421069961e-05  1.1340813671218923e-05  7.1820606646919649e-01  3.8728242658767860e+00  5.3237740635476150e-01
7.5000000000000000e+00  2.3837932341108240e-05  9.6815786831515118e-06  6.8067929291861962e-01  3.7227171716744785e+00  5.3946493886925895e-01
8.0000000000000000e+00  2.4637580886982451e-05  8.3998358971656133e-06  6.4666379835684551e-01  3.5866551934273820e+00  5.4952746799695606e-01
8.5000000000000000e+00  2.6273952772482259e-05  7.6338600076619725e-06  6.2011151782074747e-01  3.4804460712829899e+00  5.6559055177968631e-01
9.0000000000000000e+00  2.8892619816865876e-05  7.5460864340202798e-06  6.0438376096890956e-01  3.4175350438756382e+00  5.8836322221722581e-01
9.5000000000000000e+00  3.2649384457714137e-05  8.3076106404205666e-06  5.9985952292908384e-01  3.3994380917163354e+00  6.1486079453428399e-01
1.0000000000000000e+01  3.7638077203235342e-05  1.0080723708129545e-05  6.0472870275655755e-01  3.4189148110262302e+00  6.4328194362521107e-01
1.0500000000000000e+01  4.3829155361113843e-05  1.2998041729626731e-05  6.1687109335767321e-01  3.4674843734306928e+00  6.7312904653757377e-01
1.1000000000000000e+01  5.1134724339090866e-05  1.7165294718663729e-05  6.3357616124434579e-01  3.5343046449773832e+00  7.0251222851452566e-01
1.1500000000000000e+01  5.9255898230361687e-05  2.2584323551756912e-05  6.5182789762290183e-01  3.6073115904916073e+00  7.2880678870695836e-01
1.2000000000000000e+01  6.7778423247805429e-05  2.9187192986609661e-05  6.7096615873902898e-01  3.6838646349561159e+00  7.5189598764992405e-01
1.2500000000000000e+01  7.6127446742362895e-05  3.6789488148118976e-05  6.9061196960485793e-01  3.7624478784194317e+00  7.7309098952774236e-01
1.3000000000000000e+01  8.3730013671310774e-05  4.5116047173276658e-05  7.0850943768497010e-01  3.8340377507398804e+00  7.9279689564668243e-01
1.3500000000000000e+01  9.0063832585471847e-05  5.3820611808963961e-05  7.2354427959159029e-01  3.8941771183663612e+00  8.1015834533983300e-01
1.4000000000000000e+01  9.4824545467009057e-05  6.2543650083199227e-05  7.3628965185834694e-01  3.9451586074333878e+00  8.2442685363029033e-01
1.4500000000000000e+01  9.7966123741307975e-05  7.0940170988384932e-05  7.4612150127032362e-01  3.9844860050812945e+00  8.3619857303388923e-01
