# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
0.0000000000000000e+00  -3.6658120750101514e-03  -5.0325159233682526e-07  -7.1874006368059929e-07  2.3746964714705479e-06  2.9977260607766962e-03  -1.3215050701036971e-17  -7.1874004768977207e-07  -2.3746964945767440e-06  -3.6658120750097554e-03  5.0325159239561443e-07  -1.9408439318682207e-04  -1.0884945870043877e-07  -1.1684546571287626e-08  9.6114683226770664e-08  1.5720952140824086e-04  -2.2932796661450767e-18  -1.1684540038217968e-08  -9.6114690717814615e-08  -1.9408439318682245e-04  1.0884945874277511e-07
5.0000000000000000e-01  -3.7035114320890634e-03  -5.0955331834768355e-07  -7.2775297647688996e-07  2.3943135070307571e-06  3.0285850061130184e-03  -1.0252310504833904e-15  -7.2775297219541995e-07  -2.3943135027978184e-06  -3.7035114320829988e-03  5.0955331380329027e-07  -1.9478841248873142e-04  -1.1235020107228521e-07  -1.1731784333181711e-08  9.7409098754933844e-08  1.5848661397627978e-04  -7.5521937755539005e-16  -1.1731783300962902e-08  -9.7409102558753789e-08  -1.9478841248831270e-04  1.1235019900838518e-07
1.0000000000000000e+00  -3.7455232182930431e-03  -5.1650564240559260e-07  -7.3781675404990946e-07  2.4162979798915712e-06  3.0626515577829336e-03  -7.0785246250492498e-15  -7.3781676229374116e-07  -2.4162979751885987e-06  -3.7455232183188675e-03  5.1650564148784352e-07  -1.9576316640279606e-04  -1.1834641479732180e-07  -1.1773232122093673e-08  1.0002971333198897e-07  1.5938937064246151e-04  5.2441778454371610e-16  -1.1773227103383553e-08  -1.0002971514310312e-07  -1.9576316640556373e-04  1.1834641507908644e-07
1.5000000000000000e+00  -3.7925503564213208e-03  -5.2425723515303883e-07  -7.4880818867612339e-07  2.4409801523108687e-06  3.1006148304763498e-03  -1.4778457541501749e-14  -7.4880818745359947e-07  -2.4409801842045539e-06  -3.7925503564422373e-03  5.2425721026229879e-07  -1.9670207664426070e-04  -1.2215929781367265e-07  -1.1809674534225660e-08  1.0207703601768976e-07  1.6014956480693964e-04  -2.5311417792163858e-16  -1.1809676261601367e-08  -1.0207703496594303e-07  -1.9670207664017832e-04  1.2215929823990887e-07
2.0000000000000000e+00  -3.8449434038444977e-03  -5.3291617830625751e-07  -7.6120331835491504e-07  2.4687133032722811e-06  3.1434962399455812e-03  2.5948544669183931e-14  -7.6120329887211138e-07  -2.4687133286555932e-06  -3.8449434038421472e-03  5.3291618870552855e-07  -1.9767155883407939e-04  -1.2467697484503756e-07  -1.1851699046172366e-08  1.0344982757674349e-07  1.6094500539983275e-04  -4.7096848769554572e-16  -1.1851703736953280e-08  -1.0344982640097474e-07  -1.9767155883378931e-04  1.2467697644411016e-07
2.4999999999999898e+00  -3.9038570925491339e-03  -5.4249481360644025e-07  -7.7502501480322884e-07  2.4999346012617332e-06  3.1910945906006290e-03  8.6895173397394114e-15  -7.7502497196372745e-07  -2.4999346186372131e-06  -3.9038570925249501e-03  5.4249486879710259e-07  -1.9871021161785643e-04  -1.2684465033639336e-07  -1.1902767551819124e-08  1.0468895187196700e-07  1.6179851015686605e-04  -1.7102529629643294e-15  -1.1902765840211581e-08  -1.0468895334322895e-07  -1.9871021161674431e-04  1.2684465334265300e-07
2.9999999999999800e+00  -3.9694682052432793e-03  -5.5323681964314873e-07  -7.9048212573390953e-07  2.5349687809567539e-06  3.2446075853690610e-03  4.4532578927929223e-15  -7.9048209334699598e-07  -2.5349688338264740e-06  -3.9694682052791820e-03  5.5323686405390375e-07  -1.9984497599057012e-04  -1.2879280009811333e-07  -1.1959717461711315e-08  1.0597270268271685e-07  1.6267001967741715e-04  -3.0066460166750956e-16  -1.1959717871051015e-08  -1.0597270196045085e-07  -1.9984497599100909e-04  1.2879279947074160e-07
3.4999999999999698e+00  -4.0431134590448083e-03  -5.6515997288035731e-07  -8.0769963543920465e-07  2.5743669165163667e-06  3.3039647250064350e-03  3.4116276094713088e-15  -8.0769962813804471e-07  -2.5743669289488799e-06  -4.0431134590565125e-03  5.6515997696222538e-07  -2.0108054464418204e-04  -1.3091256020080771e-07  -1.2022978938582271e-08  1.0720064995586226e-07  1.6367645224315690e-04  -1.1808116816092574e-15  -1.2022977445342463e-08  -1.0720065083966462e-07  -2.0108054464165661e-04  1.3091255835880730e-07
3.9999999999999600e+00  -4.1254550576512979e-03  -5.7844866947430222e-07  -8.2691662764411396e-07  2.6187095772567881e-06  3.3708641019988767e-03  -8.5959504672607857e-15  -8.2691661217067586e-07  -2.6187096271696161e-06  -4.1254550576545349e-03  5.7844863883348855e-07  -2.0245008580425339e-04  -1.3333705652640632e-07  -1.2094935032593791e-08  1.0848143380668096e-07  1.6479763269440663e-04  -1.8560137177939119e-15  -1.2094934294849913e-08  -1.0848143322085718e-07  -2.0245008580613668e-04  1.3333705601732195e-07
4.4999999999999503e+00  -4.2176845836296439e-03  -5.9334581064849133e-07  -8.4829967788696969e-07  2.6685549723372600e-06  3.4454030027788653e-03  -1.5660282181776063e-14  -8.4829967148958755e-07  -2.6685550121570696e-06  -4.2176845836291244e-03  5.9334576619465674e-07  -2.0395422762824216e-04  -1.3583478246223917e-07  -1.2176620417759437e-08  1.0986100498644341e-07  1.6599958106281828e-04  1.0730995888676952e-15  -1.2176621933997218e-08  -1.0986100443054242e-07  -2.0395422762543335e-04  1.3583478500236975e-07
