# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  3.7324125281896449e-03  -6.8999846513817140e-17  1.7821026985300397e-04  -5.6609255001117898e-17
5.0000000000000000e-01  3.8470948896347202e-03  -7.1229177938684151e-15  1.8080612292733551e-04  -2.6515755954503808e-16
1.0000000000000000e+00  3.9740127126517526e-03  -1.0809950754601171e-14  1.8315134715082138e-04  -1.1884481675294132e-15
1.5000000000000000e+00  4.1150909795766551e-03  -6.0018705616800755e-15  1.8587640432321246e-04  -2.1043710529823602e-17
2.0000000000000000e+00  4.2728104054031973e-03  1.0908573871144423e-14  1.8893980447293971e-04  -5.1578978617461437e-16
2.4999999999999898e+00  4.4479443732861491e-03  -1.9909822456825899e-14  1.9227783272968539e-04  6.6240798815536317e-16
2.9999999999999800e+00  4.6436905076652655e-03  1.3897788730623524e-14  1.9592286659999197e-04  1.2995738071843133e-15
3.4999999999999698e+00  4.8617679033896256e-03  1.0223429963585203e-14  1.9979702222559535e-04  -1.2378301676748236e-15
3.9999999999999600e+00  5.1050513097384816e-03  -1.6350956393917686e-14  2.0394215279895828e-04  9.8038248564979016e-17
4.4999999999999503e+00  5.3766817751511788e-03  -6.0882511139899670e-15  2.0846396149879024e-04  -8.9364871481062928e-16
4.9999999999999396e+00  5.6798981156307550e-03  1.5897248979367763e-14  2.1335561479588478e-04  -6.4220146298760143e-16
5.4999999999999298e+00  6.0176866178300549e-03  -2.5719362673477759e-15  2.1860273749904350e-04  1.1471497154739222e-15
5.9999999999999201e+00  6.3937809092751846e-03  6.1237835108525745e-15  2.2433501534390991e-04  9.2400778598316780e-16
6.4999999999999103e+00  6.8138166740162025e-03  3.2630946382280937e-14  2.3064157526275607e-04  1.3009038267553342e-15
6.9999999999998996e+00  7.2806182433241742e-03  -2.7202677003360817e-14  2.3750702403150918e-04  -2.3264207814641056e-15
7.4999999999998801e+00  7.8007396300357164e-03  -1.0506954284464760e-14  2.4492877201971519e-04  -1.1190501749985365e-15
7.9999999999998703e+00  8.3787007500819820e-03  -1.1459872623463614e-14  2.5302171540603739e-04  -2.6151857696345805e-16
8.4999999999998597e+00  9.0206007606531777e-03  -2.2196167695842376e-14  2.6184803052958214e-04  5.0006169956127597e-16
8.9999999999998508e+00  9.7319806841667661e-03  -2.7658785848960434e-14  2.7138807766072731e-04  -1.5187936101698107e-15
9.4999999999998401e+00  1.0520385246692006e-02  -2.3781841669296821e-14  2.8178531673570646e-04  3.2149918025896445e-16
9.9999999999998295e+00  1.1390320496908527e-02  -5.4995334318522205e-14  2.9326063502395068e-04  2.3312804841064669e-15
1.0499999999999799e+01  1.2349612717077867e-02  -1.6261861828930783e-14  3.0588500735771257e-04  3.2685286854569750e-15
1.0999999999999799e+01  1.3404189516394608e-02  3.0146658410867296e-14  3.1959628942774073e-04  1.4116278040483908e-15
1.1499999999999799e+01  1.4561686604104580e-02  -8.5108361762674801e-15  3.3452709779536847e-04  1.6050751820476042e-15
1.1999999999999799e+01  1.5826438993826415e-02  1.9608373330595665e-15  3.5097123358773883e-04  -1.3292904195827911e-15
1.2499999999999799e+01  1.7205996769244732e-02  5.8178799389378921e-14  3.6909799470771093e-04  -1.9738353266047858e-15
1.2999999999999799e+01  1.8703012468864015e-02  6.8024777125047064e-15  3.8901193533856212e-04  9.5298028324620513e-16
1.3499999999999799e+01  2.0321673750111964e-02  1.5922909577807036e-14  4.1087063640094022e-04  -3.1215864437430647e-15
1.3999999999999700e+01  2.2061245814564229e-02  -5.8840943626032888e-17  4.3504693616077251e-04  1.4655553312318057e-15
1.4499999999999700e+01  2.3926136865250365e-02  1.8515008379203237e-14  4.6174764004061988e-04  -2.7813994171055675e-15
