# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -2.4498889422e-10    2.7337279542e-11   -2.3090520610e-10   -1.5508352006e-10   -2.6918135879e-11   -2.7474689647e-11
   0.0600000   -1.5280409008e-10    1.3524362246e-09   -2.0687870656e-10   -2.0879551974e-10   -2.6835232338e-11   -2.7377412026e-11
   0.1100000   -1.9610956266e-10    2.8416996491e-09   -1.7065869652e-10   -2.1061655120e-10   -2.6515447716e-11   -2.7245551268e-11
   0.1600000   -1.3029471954e-10    4.4744404586e-09   -1.6851484518e-10   -2.4139290393e-10   -2.5760629169e-11   -2.7027877782e-11
   0.2100000    4.1897661388e-10    6.1799499490e-09   -2.1688337275e-10   -3.7002473289e-10   -2.4989802704e-11   -2.6771408272e-11
   0.2600000    7.1152368074e-10    7.8733331851e-09   -2.8081929028e-10   -6.0734620446e-10   -2.5249525167e-11   -2.6629874586e-11
   0.3100000   -5.8003117222e-10    9.4938014017e-09   -3.1430426805e-10   -8.6101040548e-10   -2.7499092535e-11   -2.6836603194e-11
   0.3600000   -2.4437131528e-09    1.0925816907e-08   -3.0849221658e-10   -9.6474376628e-10   -3.1564127644e-11   -2.7525143261e-11
   0.4100000   -8.9961164588e-10    1.2026067676e-08   -2.8394953702e-10   -8.1021824752e-10   -3.5545862918e-11   -2.8517263697e-11
   0.4600000    3.5319211219e-09    1.3003205971e-08   -2.5417414025e-10   -4.5543488715e-10   -3.6346036148e-11   -2.9170042505e-11
   0.5100000    3.2108005225e-09    1.4467293113e-08   -2.2001297665e-10   -8.2088669426e-11   -3.1328001714e-11   -2.8493568868e-11
   0.5600000   -2.6342242356e-09    1.6455616612e-08   -1.8703709352e-10    1.4374889677e-10   -2.0299762596e-11   -2.5715469213e-11
   0.6100000   -4.2756616284e-09    1.7806166029e-08   -1.6584913829e-10    1.5953824838e-10   -6.6750597825e-12   -2.1117884055e-11
   0.6600000    7.4716098512e-10    1.7771831929e-08   -1.6084634514e-10   -5.0818606433e-12    3.1620018989e-12   -1.6605642243e-11
   0.7100000    3.5727878332e-09    1.7966436387e-08   -1.7632870994e-10   -2.7938600276e-10    2.3371941388e-12   -1.5431666940e-11
   0.7600000    5.2933441338e-10    2.0522438771e-08   -2.2532859952e-10   -5.9241173463e-10   -1.3131056184e-11   -2.0607877614e-11
   0.8100000   -2.4143254148e-09    2.4039262884e-08   -3.0838194846e-10   -8.9317201405e-10   -4.1621392785e-11   -3.2539590269e-11
   0.8600000   -1.1109874148e-09    2.4587200379e-08   -3.7937446664e-10   -1.1450728967e-09   -7.5157847115e-11   -4.7288300542e-11
   0.9100000    2.2376414741e-09    2.2294410150e-08   -3.5838244193e-10   -1.3062168326e-09   -1.0125764405e-10   -5.7071134896e-11
   0.9600000    3.2699583629e-09    2.2898952720e-08   -2.1403995703e-10   -1.3347116130e-09   -1.0696954178e-10   -5.3706791469e-11
   1.0100000    1.8553746325e-10    2.9094749505e-08   -4.5557005490e-11   -1.2264688640e-09   -8.3749863904e-11   -3.3837551855e-11
   1.0600000   -3.5117309828e-09    3.4382853759e-08   -4.6250187979e-11   -1.0365300610e-09   -3.1469523385e-11   -2.9209132909e-12
   1.1100000   -2.7693022784e-09    3.1838638880e-08   -3.1437289069e-10   -8.4907800397e-10    3.9990190180e-11    2.5253142373e-11
   1.1600000    1.5885687039e-09    2.6235141105e-08   -6.6660591097e-10   -7.2710697278e-10    1.1239057545e-10    3.4639948261e-11
   1.2100000    3.9577751077e-09    2.8587231109e-08   -7.0776782399e-10   -6.8996930935e-10    1.6371895723e-10    1.6450073552e-11
   1.2600000    1.8464844353e-09    3.8679764379e-08   -2.1411628761e-10   -7.2356020556e-10    1.7435736741e-10   -2.3489712487e-11
   1.3100000   -1.2857111920e-09    4.3570598866e-08    5.0269832674e-10   -7.9970320366e-10    1.3339089030e-10   -6.5142999584e-11
