# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5812461516e-06    4.3112474228e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5812461516e-06    4.3112474228e-01    2.3204819069e-01    0.0000000000e+00    2.3204819069e-01    0.0000000000e+00    2.0971356299e-01    0.0000000000e+00
   0.0500000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5834661540e-06    4.3118188774e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5834661540e-06    4.3118188774e-01    2.3204468698e-01    0.0000000000e+00    2.3204468698e-01    0.0000000000e+00    2.0967807201e-01    0.0000000000e+00
   0.1000000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5853836209e-06    4.3123735849e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5853836209e-06    4.3123735849e-01    2.3202976133e-01    0.0000000000e+00    2.3202976133e-01    0.0000000000e+00    2.0962902402e-01    0.0000000000e+00
   0.1500000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5870077324e-06    4.3129119987e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5870077324e-06    4.3129119987e-01    2.3200598879e-01    0.0000000000e+00    2.3200598879e-01    0.0000000000e+00    2.0956968000e-01    0.0000000000e+00
   0.2000000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5883478487e-06    4.3134345596e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5883478487e-06    4.3134345596e-01    2.3197557304e-01    0.0000000000e+00    2.3197557304e-01    0.0000000000e+00    2.0950254159e-01    0.0000000000e+00
   0.2500000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5894121667e-06    4.3139416764e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5894121667e-06    4.3139416764e-01    2.3194032494e-01    0.0000000000e+00    2.3194032494e-01    0.0000000000e+00    2.0942942162e-01    0.0000000000e+00
   0.3000000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5902073637e-06    4.3144337204e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5902073637e-06    4.3144337204e-01    2.3190134469e-01    0.0000000000e+00    2.3190134469e-01    0.0000000000e+00    2.0935174322e-01    0.0000000000e+00
   0.3500000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5907382179e-06    4.3149110244e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5907382179e-06    4.3149110244e-01    2.3185959243e-01    0.0000000000e+00    2.3185959243e-01    0.0000000000e+00    2.0927081622e-01    0.0000000000e+00
   0.4000000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5910063926e-06    4.3153738659e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5910063926e-06    4.3153738659e-01    2.3181599700e-01    0.0000000000e+00    2.3181599700e-01    0.0000000000e+00    2.0918761684e-01    0.0000000000e+00
   0.4500000    5.9375000000e+00    2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5910092049e-06    4.3158224515e-01   -2.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.5910092049e-06    4.3158224515e-01    2.3177107353e-01    0.0000000000e+00    2.3177107353e-01    0.0000000000e+00    2.0910266171e-01    0.0000000000e+00
