# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
3.6000000000001400e+01  7.5443070387949457e-04  5.6926178271964317e-04  7.4451321153463434e-01  3.9780528461385374e+00  7.1897962902249724e-01
3.7000000000001201e+01  6.8420938589445687e-04  5.1595324934137913e-04  7.5166569636992175e-01  4.0066627854796870e+00  6.3702544910770564e-01
3.8000000000001002e+01  6.2842188831816208e-04  4.7324271828512172e-04  7.5241895561733074e-01  4.0096758224693225e+00  6.1096585683097615e-01
3.9000000000000803e+01  5.8916123454104039e-04  4.4327619956573052e-04  7.5455106395758087e-01  4.0182042558303230e+00  6.5454714840780714e-01
4.0000000000000597e+01  5.6887287871361077e-04  4.2772903104668124e-04  7.1399879507201047e-01  3.8559951802880419e+00  7.8944275822968557e-01
4.1000000000000398e+01  5.6848360312303323e-04  4.2683313813263142e-04  7.4818409306132494e-01  3.9927363722452998e+00  4.7021144973185874e-01
4.2000000000000199e+01  5.8791675733892764e-04  4.4112180101588805e-04  7.5020269816167728e-01  4.0008107926467087e+00  2.1467355483151390e-01
4.3000000000000000e+01  6.2494941477229829e-04  4.6866342394028866e-04  7.5169103597392317e-01  4.0067641438956922e+00  2.4718935337655237e-01
4.3999999999999801e+01  6.7576600312755676e-04  5.0646327499106959e-04  7.5501743348567396e-01  4.0200697339426963e+00  5.4105962704967570e-01
4.4999999999999602e+01  7.3295917988735061e-04  5.4917166237304106e-04  7.4375783063055112e-01  3.9750313225222045e+00  5.4268460527634788e-01
4.5999999999999403e+01  7.8850190330251215e-04  5.9028060487362883e-04  7.4754810891661627e-01  3.9901924356664651e+00  3.3158962141870546e-01
4.6999999999999197e+01  8.3464748612407100e-04  6.2471077525756626e-04  7.4796735568330008e-01  3.9918694227332003e+00  2.2568817169953440e-01
4.7999999999998998e+01  8.6277401345447805e-04  6.4553403660604352e-04  7.4796098256774213e-01  3.9918439302709685e+00  2.2294709863396228e-01
4.8999999999998799e+01  8.6728221231771715e-04  6.4842658497825704e-04  7.4744007822282610e-01  3.9897603128913044e+00  2.8296568254786297e-01
4.9999999999998600e+01  8.4580329493198162e-04  6.3246253248978824e-04  7.4691908037823429e-01  3.9876763215129372e+00  3.6310124321960718e-01
5.0999999999998401e+01  8.0027776579781607e-04  5.9812876592454077e-04  7.4553026378401233e-01  3.9821210551360493e+00  4.5074857486689285e-01
5.1999999999998202e+01  7.3352231768590744e-04  5.4783294575756205e-04  7.4290424801839539e-01  3.9716169920735815e+00  5.4458698039472897e-01
