# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)
3.6000000000001400e+01  -1.2443908817041092e-03  -5.7616860621112267e-14  1.4648106641271861e-02  -1.8179381611194145e-13  1.8422565516567853e-02  4.7171064414008754e-13
3.7000000000001201e+01  -5.3324166922210734e-03  2.8592443009463305e-13  1.1436112381122916e-02  -1.5048067458927369e-13  1.8588943533292455e-02  -2.6933114151850307e-13
3.8000000000001002e+01  -8.9809589905362995e-03  -1.7148160159742804e-13  7.7965305787367090e-03  -5.9906660574993989e-14  1.8002604811433929e-02  -9.3580144320238819e-14
3.9000000000000803e+01  -1.2060725800350764e-02  -1.7663267765103162e-13  3.8854585008924465e-03  -3.0799612599447394e-13  1.6646231145211646e-02  7.5272702852361863e-13
4.0000000000000597e+01  -1.4521105658733052e-02  4.0602172046955613e-14  -4.9638892041631373e-05  -7.9587764234095689e-14  1.4579655865432851e-02  1.0107219912546022e-12
4.1000000000000398e+01  -1.6355298040391587e-02  1.4572492222571451e-13  -3.8821470856134966e-03  1.2448472609177359e-13  1.1932490876212747e-02  2.6458914043044009e-13
4.2000000000000199e+01  -1.7569032028156625e-02  -1.7721676731852263e-13  -7.3904803373480484e-03  -8.3692405530930435e-14  8.7803495639972966e-03  5.3872358101145391e-14
4.3000000000000000e+01  -1.8192095640376420e-02  1.1991137524567913e-14  -1.0486544064060049e-02  -2.8839578195388309e-13  5.2856168821167875e-03  3.6016698961628419e-14
4.3999999999999801e+01  -1.8269591417351030e-02  1.2371597321635212e-13  -1.3090505201070472e-02  -8.8322124831477890e-14  1.6639033742189932e-03  9.4662887319654001e-14
4.4999999999999602e+01  -1.7854380342374878e-02  -4.1205321457919832e-13  -1.5121132019672480e-02  -7.6981058610913161e-14  -1.9836006418261945e-03  -9.8046037374389177e-13
4.5999999999999403e+01  -1.7020050754337036e-02  -3.4232345310642920e-13  -1.6596390153225931e-02  -2.0668036757428887e-13  -5.4351837870696192e-03  -6.3628627051178886e-13
4.6999999999999197e+01  -1.5779119664904140e-02  -1.1440194870193704e-13  -1.7504482791764631e-02  1.0037548731541013e-13  -8.6268299197841073e-03  -2.1726579009101476e-13
4.7999999999998998e+01  -1.4236352251258477e-02  2.4670048927821822e-13  -1.7863596294431950e-02  -5.5745008970593829e-13  -1.1399022453210663e-02  1.5218389259536804e-12
4.8999999999998799e+01  -1.2418458153513324e-02  9.0723532627471057e-14  -1.7751660252470259e-02  -1.0749370063534993e-12  -1.3683088683691287e-02  -4.1915126450482187e-13
4.9999999999998600e+01  -1.0394805705227040e-02  -7.5099268728449416e-14  -1.7106334175619457e-02  -1.0684794775677476e-12  -1.5470721242752519e-02  -3.6533397080855553e-12
5.0999999999998401e+01  -8.2165950754471331e-03  -8.5514187686846388e-13  -1.6125421138085974e-02  1.8420037075805482e-13  -1.6700447731047195e-02  1.5401639867180058e-12
5.1999999999998202e+01  -5.9482436639419342e-03  -4.6506147546689103e-14  -1.4753272028266286e-02  1.0114776786335774e-12  -1.7436372837708242e-02  8.6480229744226124e-13
5.2999999999998003e+01  -3.6419129737114224e-03  6.1823355235993650e-14  -1.3034837647277961e-02  -1.9857367294589216e-14  -1.7610351487536247e-02  -3.2011813815885262e-12
5.3999999999997797e+01  -1.3560715502053909e-03  2.9116290621719510e-13  -1.1142194985392664e-02  -5.0704657059884862e-13  -1.7315706297934559e-02  -1.1442781727343464e-13
5.4999999999997598e+01  8.6908680583362913e-04  1.7727770930421327e-13  -9.0033012110415350e-03  -1.4757021038136918e-12  -1.6539437666381458e-02  4.8590444478922073e-12
5.5999999999997399e+01  2.9972838498024505e-03  3.4767620270860313e-13  -6.7475417467148455e-03  -1.2278531342884039e-12  -1.5425209607164422e-02  1.0028230718705791e-11
5.6999999999997200e+01  4.9357764959906793e-03  8.1509314488304429e-13  -4.3897963854035013e-03  -2.8506295585766788e-12  -1.3876474266833250e-02  5.0797878267217438e-12
5.7999999999997002e+01  6.7042236529793941e-03  1.1839164084163963e-13  -2.0222420020088562e-03  -2.5166492216452480e-12  -1.2171919575370867e-02  7.7307012072082195e-13
5.8999999999996803e+01  8.2051563273357712e-03  2.5788057885915585e-13  2.5048226468952833e-04  2.8929381204074655e-12  -1.0036414741452620e-02  8.0794177805562726e-12
5.9999999999996597e+01  9.4529310385337295e-03  -7.9091650391319804e-13  2.5195465226368458e-03  1.2079447329940448e-12  -7.8874807250285481e-03  7.7222879804088761e-12
6.0999999999996398e+01  1.0392681516118548e-02  1.9170032258379237e-14  4.5279603576484743e-03  -2.8621003384831089e-12  -5.5321488707937936e-03  3.3412396624233043e-12
6.1999999999996199e+01  1.1009950580631696e-02  5.4736209999298169e-13  6.3987278674982632e-03  -4.3042639270180678e-12  -3.1795850911402503e-03  5.8810521712460289e-12
6.2999999999996000e+01  1.1305970658327343e-02  4.5936749728533950e-13  8.0663673057644360e-03  1.2572385009797400e-12  -7.3197088981649173e-04  3.8011976897183573e-12
6.3999999999995801e+01  1.1273877077700297e-02  -8.7487961570475274e-13  9.4180415483551463e-03  9.6880324017014419e-12  1.5420755733598051e-03  3.8092260858744539e-11
6.4999999999996305e+01  1.0898117889870690e-02  8.6016441062651989e-13  1.0428436802360278e-02  6.7290365516994040e-12  3.5997673980519237e-03  8.0027378504993976e-12
6.5999999999996902e+01  1.0220016293937685e-02  -1.3942121175121305e-12  1.1155099858145228e-02  -6.3719296975157300e-12  5.6452573713186181e-03  -1.1918354946702178e-12
6.6999999999997399e+01  9.2306064008129303e-03  -7.7906566331772877e-13  1.1586124436479547e-02  -6.2734542051038386e-13  7.3579353421659522e-03  2.9608990730539977e-12
6.7999999999997897e+01  7.9751320492508614e-03  -5.7389275188213080e-13  1.1599008449800614e-02  -4.1548206126469750e-12  8.8721385101531575e-03  -1.5198933757521388e-11
6.8999999999998394e+01  6.6241763287764070e-03  -6.8046183975310424e-13  1.1297307946246660e-02  -2.0342551813158748e-11  1.0040821927212715e-02  1.8889064475184503e-11
6.9999999999998906e+01  5.0308693898878116e-03  1.1369248146740200e-12  1.0661676859536930e-02  -7.9837506075109758e-12  1.1104146055294983e-02  -4.3560857860823159e-11
7.0999999999999403e+01  3.4609153436185461e-03  -4.2635455489262741e-13  9.6750654163106440e-03  1.2232863027425610e-11  1.1492084934423566e-02  -2.4243406915960072e-11
7.1999999999999901e+01  1.8580966521749710e-03  -4.3710093657230842e-13  8.6946448813669322e-03  1.5285112768055890e-11  1.1721442362552324e-02  1.0820722982134661e-11
7.3000000000000398e+01  2.6147642743460368e-04  3.4620041606143836e-12  7.3564896666150304e-03  -6.8507340274427037e-12  1.1497850082950935e-02  -4.7710133651007713e-11
7.4000000000000995e+01  -1.1578451176642401e-03  8.3744980771667920e-13  5.5422477798317740e-03  -4.2534258266194912e-12  1.1155757371738271e-02  -4.0396700969897152e-11
7.5000000000001506e+01  -2.5611117101523220e-03  3.2231740511937426e-13  4.0189323856450110e-03  1.8294117829246148e-11  1.0095402053938007e-02  1.8889599352588483e-12
7.6000000000002004e+01  -3.6830099482568872e-03  -1.4365433758653628e-12  2.4722604537586175e-03  2.9079354950428915e-11  9.4584457555350072e-03  -1.4536009595521547e-11
7.7000000000002501e+01  -4.6668367594485888e-03  -2.1494785348768102e-12  1.0248024970368847e-03  -1.2345516082094766e-11  8.1122783502056948e-03  -6.2845403394993073e-11
7.8000000000002998e+01  -5.4361554190524809e-03  2.6361331310600090e-12  -8.1933307807418871e-04  -3.2871484473695591e-11  6.4385025259048176e-03  4.5429962017874167e-12
7.9000000000003496e+01  -5.9927051591229796e-03  4.9551701583059728e-12  -2.3708088716521119e-03  -6.3938731872498283e-11  5.2971950055104586e-03  -5.5229025788996429e-11
8.0000000000003993e+01  -6.3871118322836266e-03  3.0630639471166357e-12  -3.5486355944488899e-03  -8.7913372502454492e-11  3.0274898637204463e-03  -7.1995647726211210e-11
8.1000000000004505e+01  -6.5966159586358175e-03  5.8119876333849586e-12  -4.4564204161121933e-03  -6.2044665035442955e-11  1.9018829592824986e-03  6.1835176868580301e-11
8.2000000000005002e+01  -6.5219414930779967e-03  7.5207260736132416e-12  -5.4510696487410550e-03  -5.3627109020371757e-11  4.5606947445638664e-04  -6.7545673532185897e-11
8.3000000000005599e+01  -6.4640884726085302e-03  4.6745685185228671e-12  -6.3296282766571463e-03  -1.9686180658438149e-11  -1.2144458803527176e-03  -5.8266102072358795e-11
8.4000000000006096e+01  -6.0721417707066527e-03  5.0601020357312045e-12  -6.5379678945527327e-03  9.3347456311168361e-12  -2.5246632979763115e-03  2.1991525554270065e-10
8.5000000000006594e+01  -5.6619546525492953e-03  -9.2418345565334467e-14  -7.0290492790140435e-03  7.1681043608204003e-11  -3.7771917182830503e-03  4.9522129738078705e-10
8.6000000000007105e+01  -5.0101549932264015e-03  -7.7961769337050135e-12  -7.0144241515003652e-03  2.0805616201412488e-10  -5.1359573735863953e-03  1.6622504775177213e-10
8.7000000000007603e+01  -4.4678821449816997e-03  -1.3993572357808285e-12  -7.2970038385997051e-03  1.9429499916489800e-10  -5.6087989612192916e-03  -2.5803186890856046e-10
8.8000000000008100e+01  -3.6163547783321800e-03  1.2549463477813880e-11  -6.8442989507232731e-03  6.9139745253441969e-11  -6.2345257618652032e-03  3.0840544408891065e-11
8.9000000000008598e+01  -2.8960457135941732e-03  5.4532549373637543e-12  -6.7754629675178457e-03  1.4209550853775252e-10  -7.5298434680603800e-03  3.3487714596411869e-11
9.0000000000009095e+01  -2.0971162602556035e-03  -1.5992790935744225e-11  -5.1294499158561716e-03  2.1540542455863418e-10  -7.8516110442645604e-03  -3.4789031415863943e-10
9.1000000000009607e+01  -1.1648204701167979e-03  -9.3535116144053987e-12  -4.6965465029584598e-03  2.3033650684307245e-10  -6.6169120086603129e-03  -4.1009970904019277e-10
9.2000000000010203e+01  -6.0428502965738655e-04  -8.1142206285427702e-12  -4.0301474518284197e-03  2.1141582879206393e-10  -9.1513986881905096e-03  4.6589698175289457e-12
9.3000000000010701e+01  3.6252206976163792e-04  -5.1940492473902452e-12  -2.9644372244309880e-03  1.5789096680583311e-10  -7.3538730936870108e-03  4.7309917251622818e-10
9.4000000000011198e+01  9.4471745554434864e-04  2.1395032296625959e-11  -3.2264077318531945e-03  -2.5448373058177433e-11  -8.0832983984833826e-03  4.9780676527660581e-10
9.5000000000011696e+01  1.6496061443676381e-03  1.7784261053944183e-11  -1.6332824790465717e-03  -2.3942978368144809e-10  -3.0838126876058590e-03  -2.4273546683175579e-11
9.6000000000012193e+01  2.4086109145068134e-03  -1.4895564655489214e-11  -5.1899414531444174e-04  -6.4883598473239860e-11  -6.1228406940521240e-03  4.9811062771871090e-12
9.7000000000012705e+01  2.7795577443832562e-03  -4.4970580529192726e-11  -6.8577007894533057e-04  7.5840724464932681e-11  -3.4863868872713334e-04  4.0230441192898038e-10
9.8000000000013202e+01  3.4263330037730827e-03  -6.7570838875357820e-11  1.5472938065300649e-03  -8.6037747553023922e-11  -3.8033971958108142e-03  8.2057589818510619e-11
9.9000000000013699e+01  3.5594340050639915e-03  -1.1002786478925690e-11  3.1842061955291746e-03  -6.6789586183416579e-10  1.5191290046466207e-04  -1.8883801320436738e-10
