# time  centre  cx  cy  cz  R_min  r_at_R_min  dev  log10_abs_dev  n_mots  r_mots  R_mots  M_MS_mots  theta_out_min_inside  theta_out_max_at_R_min  theta_in_max_at_R_min  n_trapped  n_anti_trapped  n_outermost
2.2500000000000700e+01  A  32.710938  32.000000  32.000000  4.9095993080e+00  0.870000  2.622700e-01  -0.5813  0  nan  nan  nan  +nan  +1.165664e+00  +1.686019e-01  0  0  1
2.2500000000000700e+01  B  31.289062  32.000000  32.000000  4.9098109414e+00  0.870000  2.623244e-01  -0.5812  0  nan  nan  nan  +nan  +1.165664e+00  +1.686019e-01  0  0  1
2.2500000000000700e+01  C  32.000000  32.000000  32.000000  5.1691644288e+00  2.150937  3.290049e-01  -0.4828  1  3.237266  5.553775e+00  2.983952e+00  -1.440982e-01  -1.440982e-01  +3.912012e-03  13  0  1
2.3000000000000799e+01  A  32.632812  32.000000  32.000000  4.9631158128e+00  0.790000  2.760293e-01  -0.5590  0  nan  nan  nan  +nan  +2.278693e-01  +1.209481e+00  0  0  0
2.3000000000000799e+01  B  31.367188  32.000000  32.000000  4.9633859346e+00  0.790000  2.760987e-01  -0.5589  0  nan  nan  nan  +nan  +2.278693e-01  +1.209481e+00  0  0  0
2.3000000000000799e+01  C  32.000000  32.000000  32.000000  5.0780607244e+00  2.072812  3.055819e-01  -0.5149  0  nan  nan  nan  +nan  -1.881416e-01  -6.708770e-02  19  0  0
2.3500000000000899e+01  A  32.554688  32.000000  32.000000  5.0388379564e+00  0.730000  2.954976e-01  -0.5294  0  nan  nan  nan  +nan  +1.207044e+00  +2.705356e-01  0  0  0
2.3500000000000899e+01  B  31.445312  32.000000  32.000000  5.0392245859e+00  0.730000  2.955970e-01  -0.5293  0  nan  nan  nan  +nan  +1.207044e+00  +2.705356e-01  0  0  0
2.3500000000000899e+01  C  32.000000  32.000000  32.000000  4.9941860238e+00  1.914687  2.840175e-01  -0.5467  0  nan  nan  nan  +nan  -1.017299e-01  -2.344806e-01  20  0  0
2.4000000000000998e+01  A  32.492188  32.000000  32.000000  5.0351846040e+00  2.070000  2.945583e-01  -0.5308  0  nan  nan  nan  +nan  +2.505917e-02  +5.704374e-02  0  0  0
2.4000000000000998e+01  B  31.507812  32.000000  32.000000  5.0353492012e+00  2.070000  2.946006e-01  -0.5308  0  nan  nan  nan  +nan  +2.505917e-02  +5.704374e-02  0  0  0
2.4000000000000998e+01  C  32.000000  32.000000  32.000000  4.9153362331e+00  1.852187  2.637450e-01  -0.5788  0  nan  nan  nan  +nan  -1.663029e-01  -2.250332e-01  22  0  0
2.4500000000000998e+01  A  32.429688  32.000000  32.000000  4.9354329684e+00  1.950000  2.689119e-01  -0.5704  0  nan  nan  nan  +nan  +4.192322e-02  -2.301830e-02  0  0  0
