# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    1.8604983882e-01    1.1596286404e-09    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0393159422e-01    9.0393159422e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    1.8609755780e-01    1.2487367467e-09    3.8099295705e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0376754086e-01    9.0376754086e-01   -8.8137217147e-06    8.8137217147e-06
   0.1000000    1.8614030086e-01    1.3363334446e-09    7.2381254232e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0362059512e-01    9.0362059512e-01   -1.7649081876e-05    1.7649081876e-05
   0.1500000    1.8617892522e-01    1.4225892095e-09    1.0337510462e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0348780767e-01    9.0348780767e-01   -2.6553134927e-05    2.6553134927e-05
   0.2000000    1.8621410452e-01    1.5076454036e-09    1.3152056542e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0336686082e-01    9.0336686082e-01   -3.5490648908e-05    3.5490648908e-05
   0.2500000    1.8624637386e-01    1.5916203218e-09    1.5715745597e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0325591343e-01    9.0325591343e-01   -4.4438805526e-05    4.4438805526e-05
   0.3000000    1.8627616257e-01    1.6746137410e-09    1.8058640856e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0315348792e-01    9.0315348792e-01   -5.3379631680e-05    5.3379631680e-05
   0.3500000    1.8630381830e-01    1.7567103341e-09    2.0208874943e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0305838686e-01    9.0305838686e-01   -6.2303903345e-05    6.2303903345e-05
   0.4000000    1.8632962502e-01    1.8379822029e-09    2.2191268113e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0296963068e-01    9.0296963068e-01   -7.1210671776e-05    7.1210671774e-05
   0.4500000    1.8635381642e-01    1.9184907111e-09    2.4026982277e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0288641046e-01    9.0288641046e-01   -8.0104275561e-05    8.0104275559e-05
   0.5000000    1.8637658612e-01    1.9982877591e-09    2.5734360018e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0280805194e-01    9.0280805194e-01   -8.8990893784e-05    8.8990893785e-05
   0.5500000    1.8639809541e-01    2.0774166139e-09    2.7329464673e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0273398745e-01    9.0273398745e-01   -9.7876056438e-05    9.7876056444e-05
   0.6000000    1.8641847918e-01    2.1559123964e-09    2.8826234892e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0266373415e-01    9.0266373415e-01   -1.0676354343e-04    1.0676354344e-04
   0.6500000    1.8643785052e-01    2.2338023166e-09    3.0236817061e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0259687668e-01    9.0259687668e-01   -1.1565538206e-04    1.1565538206e-04
   0.7000000    1.8645630424e-01    2.3111057430e-09    3.1571923142e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0253305343e-01    9.0253305343e-01   -1.2455241291e-04    1.2455241292e-04
   0.7500000    1.8647391971e-01    2.3878341838e-09    3.2840949737e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0247194552e-01    9.0247194552e-01   -1.3345496871e-04    1.3345496871e-04
   0.8000000    1.8649076303e-01    2.4639912488e-09    3.4052117092e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0241326797e-01    9.0241326797e-01   -1.4236339618e-04    1.4236339618e-04
   0.8500000    1.8650688888e-01    2.5395726500e-09    3.5212594641e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0235676258e-01    9.0235676258e-01   -1.5127833721e-04    1.5127833722e-04
   0.8800000    1.8651623896e-01    2.5846404585e-09    3.5887188539e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0232380263e-01    9.0232380263e-01   -1.5663083593e-04    1.5663083593e-04
   0.8900000    1.8651930330e-01    2.5996154201e-09    3.6108716978e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0231296233e-01    9.0231296233e-01   -1.5841565014e-04    1.5841565014e-04
   0.9000000    1.8652234193e-01    2.6145662880e-09    3.6328651797e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0230219228e-01    9.0230219228e-01   -1.6020080674e-04    1.6020080675e-04
   0.9100000    1.8652535511e-01    2.6294928804e-09    3.6547028463e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0229149079e-01    9.0229149079e-01   -1.6198631739e-04    1.6198631739e-04
   0.9200000    1.8652834309e-01    2.6443950040e-09    3.6763889157e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0228085613e-01    9.0228085613e-01   -1.6377219408e-04    1.6377219409e-04
