# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954132410e-07    1.9367801323e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954132410e-07    1.9367801323e-01    1.6205076984e-01    0.0000000000e+00    1.6205076984e-01    0.0000000000e+00    1.7295802934e-01    0.0000000000e+00
   0.0500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660998678e-07    1.9372788803e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660998678e-07    1.9372788803e-01    1.6177362468e-01    0.0000000000e+00    1.6177362468e-01    0.0000000000e+00    1.7292023557e-01    0.0000000000e+00
   0.1000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5356052845e-07    1.9377632298e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5356052845e-07    1.9377632298e-01    1.6155239506e-01    0.0000000000e+00    1.6155239506e-01    0.0000000000e+00    1.7287617940e-01    0.0000000000e+00
   0.1500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7039653019e-07    1.9382338500e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7039653019e-07    1.9382338500e-01    1.6137929514e-01    0.0000000000e+00    1.6137929514e-01    0.0000000000e+00    1.7282723154e-01    0.0000000000e+00
   0.2000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8712141774e-07    1.9386913664e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8712141774e-07    1.9386913664e-01    1.6124748751e-01    0.0000000000e+00    1.6124748751e-01    0.0000000000e+00    1.7277448864e-01    0.0000000000e+00
   0.2500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0373844720e-07    1.9391363618e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0373844720e-07    1.9391363618e-01    1.6115095454e-01    0.0000000000e+00    1.6115095454e-01    0.0000000000e+00    1.7271878418e-01    0.0000000000e+00
   0.3000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2025070686e-07    1.9395693800e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2025070686e-07    1.9395693800e-01    1.6108438907e-01    0.0000000000e+00    1.6108438907e-01    0.0000000000e+00    1.7266072651e-01    0.0000000000e+00
   0.3500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3666112243e-07    1.9399909280e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3666112243e-07    1.9399909280e-01    1.6104310128e-01    0.0000000000e+00    1.6104310128e-01    0.0000000000e+00    1.7260084766e-01    0.0000000000e+00
   0.4000000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5297244921e-07    1.9404014777e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5297244921e-07    1.9404014777e-01    1.6102293971e-01    0.0000000000e+00    1.6102293971e-01    0.0000000000e+00    1.7253969476e-01    0.0000000000e+00
   0.4500000    7.9375000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6918726084e-07    1.9408014664e-01   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6918726084e-07    1.9408014664e-01    1.6102022396e-01    0.0000000000e+00    1.6102022396e-01    0.0000000000e+00    1.7247770641e-01    0.0000000000e+00
