# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.9792641527e-03    0.0000000000e+00
   0.0500000    3.2800400148e-03    4.6970759283e-05
   0.1000000    3.2790451176e-03    8.7096247598e-05
   0.1500000    3.2775942985e-03    1.2130486265e-04
   0.2000000    3.2757978918e-03    1.5038945835e-04
   0.2500000    3.2737587671e-03    1.7502675182e-04
   0.3000000    3.2715682918e-03    1.9579417226e-04
   0.3500000    3.2693033475e-03    2.1318466521e-04
   0.4000000    3.2670245574e-03    2.2761977483e-04
   0.4500000    3.2647757976e-03    2.3946120531e-04
   0.5000000    3.2625849815e-03    2.4902098535e-04
   0.5500000    3.2604660250e-03    2.5657031459e-04
   0.6000000    3.2584218141e-03    2.6234714491e-04
   0.6500000    3.2564478926e-03    2.6656253888e-04
   0.7000000    3.2545364874e-03    2.6940585338e-04
   0.7500000    3.2526804064e-03    2.7104881496e-04
   0.8000000    3.2508763168e-03    2.7164857554e-04
   0.8500000    3.2491269655e-03    2.7134985882e-04
   0.9000000    3.2474420409e-03    2.7028632802e-04
   0.9500000    3.2458375836e-03    2.6858132352e-04
   1.0000000    3.2443340853e-03    2.6634813008e-04
   1.0500000    3.2429536315e-03    2.6368993523e-04
   1.1000000    3.2417166023e-03    2.6069963304e-04
   1.1500000    3.2406385087e-03    2.5745961289e-04
   1.2000000    3.2397275038e-03    2.5404165156e-04
   1.2500000    3.2389829685e-03    2.5050699793e-04
   1.3000000    3.2383953673e-03    2.4690670498e-04
   1.3500000    3.2379473400e-03    2.4328222881e-04
   1.4000000    3.2376157986e-03    2.3966628130e-04
   1.4500000    3.2373746563e-03    2.3608389398e-04
   1.5000000    3.2371977571e-03    2.3255362638e-04
   1.5500000    3.2370615841e-03    2.2908883818e-04
   1.6000000    3.2369474077e-03    2.2569894221e-04
   1.6500000    3.2368426509e-03    2.2239056164e-04
   1.7000000    3.2367413802e-03    2.1916852460e-04
   1.7500000    3.2366439447e-03    2.1603664474e-04
   1.8000000    3.2365558807e-03    2.1299825923e-04
   1.8500000    3.2364862624e-03    2.1005652119e-04
   1.9000000    3.2364457251e-03    2.0721446282e-04
   1.9500000    3.2364444037e-03    2.0447485913e-04
   2.0000000    3.2364900383e-03    2.0183993844e-04
   2.0500000    3.2365864797e-03    1.9931100201e-04
   2.1000000    3.2367327887e-03    1.9688802176e-04
   2.1500000    3.2369230554e-03    1.9456927875e-04
   2.2000000    3.2371469694e-03    1.9235109444e-04
   2.2500000    3.2373910647e-03    1.9022769647e-04
   2.3000000    3.2376404553e-03    1.8819124992e-04
   2.3500000    3.2378807917e-03    1.8623206881e-04
   2.4000000    3.2381001305e-03    1.8433899664e-04
   2.4500000    3.2382904223e-03    1.8249991880e-04
   2.5000000    3.2384483924e-03    1.8070236212e-04
   2.5500000    3.2385757014e-03    1.7893414234e-04
   2.6000000    3.2386784006e-03    1.7718401574e-04
   2.6500000    3.2387658184e-03    1.7544227639e-04
   2.7000000    3.2388491002e-03    1.7370124603e-04
   2.7500000    3.2389396611e-03    1.7195562913e-04
   2.8000000    3.2390477957e-03    1.7020272157e-04
   2.8500000    3.2391816346e-03    1.6844246221e-04
   2.9000000    3.2393465558e-03    1.6667732577e-04
   2.9500000    3.2395450708e-03    1.6491207500e-04
   3.0000000    3.2397771285e-03    1.6315340036e-04
   3.0500000    3.2400407262e-03    1.6140947606e-04
   3.1000000    3.2403326883e-03    1.5968946632e-04
   3.1500000    3.2406494735e-03    1.5800301965e-04
   3.2000000    3.2409878949e-03    1.5635978747e-04
   3.2500000    3.2413456688e-03    1.5476899846e-04
   3.3000000    3.2417217529e-03    1.5323911414e-04
   3.3500000    3.2421164720e-03    1.5177758009e-04
   3.4000000    3.2425314592e-03    1.5039067425e-04
   3.4500000    3.2429694635e-03    1.4908344602e-04
   3.5000000    3.2434340808e-03    1.4785973366e-04
   3.5500000    3.2439294619e-03    1.4672224086e-04
   3.6000000    3.2444600429e-03    1.4567265179e-04
   3.6500000    3.2450303267e-03    1.4471176496e-04
   3.7000000    3.2456447322e-03    1.4383962593e-04
   3.7500000    3.2463075101e-03    1.4305563910e-04
   3.8000000    3.2470227190e-03    1.4235864876e-04
   3.8500000    3.2477942472e-03    1.4174699019e-04
   3.9000000    3.2486258655e-03    1.4121851366e-04
   3.9500000    3.2495212946e-03    1.4077058363e-04
   4.0000000    3.2504842738e-03    1.4040006070e-04
   4.0500000    3.2515186212e-03    1.4010327921e-04
   4.1000000    3.2526282809e-03    1.3987603129e-04
   4.1500000    3.2538173569e-03    1.3971356366e-04
   4.2000000    3.2550901337e-03    1.3961059413e-04
   4.2500000    3.2564510861e-03    1.3956135367e-04
   4.3000000    3.2579048796e-03    1.3955965660e-04
   4.3500000    3.2594563648e-03    1.3959899761e-04
   4.4000000    3.2611105663e-03    1.3967267125e-04
   4.4500000    3.2628726708e-03    1.3977390719e-04
   4.5000000    3.2647480152e-03    1.3989601457e-04
   4.5500000    3.2667420766e-03    1.4003252880e-04
   4.6000000    3.2688604630e-03    1.4017735241e-04
   4.6500000    3.2711089043e-03    1.4032488208e-04
   4.7000000    3.2734932400e-03    1.4047011645e-04
   4.7500000    3.2760194083e-03    1.4060874095e-04
   4.8000000    3.2786934378e-03    1.4073718580e-04
   4.8500000    3.2815214419e-03    1.4085265463e-04
   4.9000000    3.2845096162e-03    1.4095312357e-04
   4.9500000    3.2876642360e-03    1.4103731275e-04
   5.0000000    3.2909916544e-03    1.4110463400e-04
   5.0500000    3.2944982996e-03    1.4115511821e-04
   5.1000000    3.2981906736e-03    1.4118932608e-04
   5.1500000    3.3020753514e-03    1.4120824689e-04
   5.2000000    3.3061589805e-03    1.4121319213e-04
   5.2500000    3.3104482788e-03    1.4120569039e-04
   5.3000000    3.3149500277e-03    1.4118738775e-04
   5.3500000    3.3196710614e-03    1.4115995540e-04
   5.4000000    3.3246182515e-03    1.4112500681e-04
   5.4500000    3.3297984873e-03    1.4108402832e-04
