# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -2.3527640909e-03   -3.7997890474e-08   -3.4629735404e-04   -8.7858654342e-11   -7.9822086455e-05   -4.5409957234e-11
   0.0600000   -2.3480223307e-03   -3.1749666090e-08   -3.4570539815e-04    1.5633223591e-11   -7.9728905839e-05   -1.0989668371e-10
   0.1100000   -2.3429226691e-03   -3.3913613119e-09   -3.4513461482e-04    9.1626781175e-11   -7.9631900953e-05   -4.4084097779e-11
   0.1600000   -2.3376155208e-03    3.4819435881e-08   -3.4451695248e-04    1.4724809813e-10   -7.9541623634e-05    2.9924647342e-10
   0.2100000   -2.3327718841e-03    3.4838274103e-08   -3.4382154208e-04    1.9157194241e-10   -7.9458990342e-05    5.8907695071e-10
   0.2600000   -2.3282162141e-03    8.0592541746e-09   -3.4307280879e-04    2.5351955858e-10   -7.9373088657e-05    3.2360011083e-10
   0.3100000   -2.3232614077e-03    4.8178521193e-09   -3.4233066405e-04    3.5726466535e-10   -7.9270917774e-05   -4.8255265419e-10
   0.3600000   -2.3179904380e-03    2.5142827708e-08   -3.4166101631e-04    4.6788920047e-10   -7.9150608630e-05   -1.0910465194e-09
   0.4100000   -2.3128191533e-03    3.6568439327e-08   -3.4110644622e-04    4.9457718123e-10   -7.9025519037e-05   -7.0903500840e-10
   0.4600000   -2.3075598943e-03    4.0198898373e-08   -3.4065589451e-04    3.7270898972e-10   -7.8914108731e-05    5.9056119745e-10
   0.5100000   -2.3020385787e-03    5.4205414739e-08   -3.4023113812e-04    1.3395162017e-10   -7.8823686944e-05    1.7395444255e-09
   0.5600000   -2.2966253578e-03    7.1224960537e-08   -3.3972080176e-04   -1.1657143773e-10   -7.8742829234e-05    1.6312153688e-09
   0.6100000   -2.2914492013e-03    7.2424191624e-08   -3.3905828245e-04   -2.8163680197e-10   -7.8650349123e-05    2.6785666831e-10
   0.6600000   -2.2861707367e-03    6.0547597110e-08   -3.3828229979e-04   -3.2268053229e-10   -7.8533616475e-05   -1.1332360501e-09
   0.7100000   -2.2806036150e-03    5.6106880215e-08   -3.3751268138e-04   -2.5015614877e-10   -7.8399648777e-05   -1.2960569549e-09
   0.7600000   -2.2748296824e-03    6.6012464604e-08   -3.3684866556e-04   -9.3529141222e-11   -7.8268371783e-05   -1.5395294352e-10
   0.8100000   -2.2689388570e-03    8.3447963330e-08   -3.3628129413e-04    1.1520932384e-10   -7.8154228877e-05    1.1103054028e-09
   0.8600000   -2.2630293987e-03    1.0308705559e-07   -3.3570678199e-04    3.4713023023e-10   -7.8054132530e-05    1.2866794440e-09
