# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1953988260e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1953988260e-07    4.0000000000e+00
   0.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660221558e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660221558e-07    4.0000000000e+00
   0.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5354642851e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5354642851e-07    4.0000000000e+00
   0.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7037610240e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7037610240e-07    4.0000000000e+00
   0.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8709466291e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8709466291e-07    4.0000000000e+00
   0.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0370536604e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0370536604e-07    4.0000000000e+00
   0.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2021130004e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2021130004e-07    4.0000000000e+00
   0.3500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3661539080e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3661539080e-07    4.0000000000e+00
   0.4000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5292039427e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5292039427e-07    4.0000000000e+00
   0.4500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6912888788e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6912888788e-07    4.0000000000e+00
   0.5000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8524327173e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8524327173e-07    4.0000000000e+00
   0.5500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0126572220e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0126572220e-07    4.0000000000e+00
   0.6000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1719817310e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1719817310e-07    4.0000000000e+00
   0.6500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3304229550e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3304229550e-07    4.0000000000e+00
   0.7000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4879947167e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4879947167e-07    4.0000000000e+00
   0.7500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6447076804e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6447076804e-07    4.0000000000e+00
   0.8000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8005690818e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8005690818e-07    4.0000000000e+00
   0.8500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9555824436e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9555824436e-07    4.0000000000e+00
   0.9000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1097472850e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1097472850e-07    4.0000000000e+00
   0.9500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2630588762e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2630588762e-07    4.0000000000e+00
   1.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4155081189e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4155081189e-07    4.0000000000e+00
   1.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5670816708e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5670816708e-07    4.0000000000e+00
   1.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7177624629e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7177624629e-07    4.0000000000e+00
   1.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8675307343e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8675307343e-07    4.0000000000e+00
   1.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0163656314e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0163656314e-07    4.0000000000e+00
   1.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1642472887e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1642472887e-07    4.0000000000e+00
   1.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3111591581e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3111591581e-07    4.0000000000e+00
   1.3500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.4570901983e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.4570901983e-07    4.0000000000e+00
   1.4000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.6020364500e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.6020364500e-07    4.0000000000e+00
   1.4500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7460149323e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7460149323e-07    4.0000000000e+00
   1.5000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8890782938e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8890782938e-07    4.0000000000e+00
   1.5500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0312522064e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0312522064e-07    4.0000000000e+00
