# time  Re_m-2(R=10)  Im_m-2(R=10)  Re_m-1(R=10)  Im_m-1(R=10)  Re_m0(R=10)  Im_m0(R=10)  Re_m1(R=10)  Im_m1(R=10)  Re_m2(R=10)  Im_m2(R=10)  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=18)  Im_m-2(R=18)  Re_m-1(R=18)  Im_m-1(R=18)  Re_m0(R=18)  Im_m0(R=18)  Re_m1(R=18)  Im_m1(R=18)  Re_m2(R=18)  Im_m2(R=18)
2.3000000000000799e+01  -1.4117870268709115e-02  -5.8490664048113724e-08  -4.2199232937507725e-06  5.4690672244253219e-06  1.0845435325276407e-02  -1.1432227324258528e-13  -4.2172845930456379e-06  -5.4639713111323289e-06  -1.4108792602070609e-02  5.8490569425971634e-08  4.7059301185102022e-03  1.1675017422683710e-06  1.6460046185037602e-06  -1.4704838242647790e-06  -3.9262997433339832e-03  -2.9091883115881472e-15  1.6460045529206001e-06  1.4704838228851485e-06  4.7059301184873108e-03  -1.1675018141280147e-06  1.0584171030170723e-02  3.1312609553768550e-06  1.5725782007100392e-06  -3.8076252441502419e-06  -8.6331002229562415e-03  -6.8202037483394205e-14  1.5725783525460360e-06  3.8076249964366046e-06  1.0584171030310395e-02  -3.1312610436786960e-06
2.4000000000000998e+01  -1.9002781302215430e-02  -9.0601666082943967e-08  -5.9286326444403670e-06  6.9316856974396772e-06  1.4784065863551969e-02  2.5121139500255652e-14  -5.9233902922723760e-06  -6.9275992542948678e-06  -1.8996070524708607e-02  9.0601675035651926e-08  7.6413195511097667e-04  3.6073460482296731e-07  5.1276278390543574e-07  4.9370184536283975e-07  -7.5008996462939688e-04  -4.7522709390319636e-15  5.1276272889275493e-07  -4.9370190147299055e-07  7.6413195511552717e-04  -3.6073464315062139e-07  1.0178628712464928e-02  3.0791038378364371e-06  1.5434468315204671e-06  -3.5161617996547513e-06  -8.3036631203052148e-03  -1.2214390027592487e-13  1.5434470146790771e-06  3.5161618105484111e-06  1.0178628712573252e-02  -3.0791037891664085e-06
2.5000000000001101e+01  -2.3181661506268752e-02  -1.1138093863988040e-07  -7.4374935170440496e-06  7.9961212295231134e-06  1.8185829207538064e-02  -6.6878864830410491e-14  -7.4422534195269303e-06  -7.9978271019644985e-06  -2.3177854034076247e-02  1.1138094010893569e-07  -3.5636890011818308e-03  -5.1666414035661538e-07  -7.5251301297490716e-07  2.5776942648453480e-06  2.7438234291462982e-03  4.7793554792649099e-15  -7.5251297012910998e-07  -2.5776943076524251e-06  -3.5636890013032978e-03  5.1666408062822231e-07  9.0515544338584178e-03  2.8100243606633971e-06  1.4048088991240519e-06  -2.9615627874054136e-06  -7.3827721732445169e-03  -2.4199990442197661e-14  1.4048088187682715e-06  2.9615628651494010e-06  9.0515544338704585e-03  -2.8100243318030246e-06
2.6000000000001300e+01  -2.6406927595881563e-02  -1.3645584230257022e-07  -8.7442774386870106e-06  8.6610108093425032e-06  2.0836543397377796e-02  2.9947805409219410e-15  -8.7500339396102225e-06  -8.6653213550662866e-06  -2.6406200141973205e-02  1.3645592620898504e-07  -8.0468258062242337e-03  -1.4464516599116676e-06  -2.0991572650305792e-06  4.6550004910223690e-06  6.3402574135324073e-03  3.8024134727020217e-14  -2.0991574457260473e-06  -4.6550004915050981e-06  -8.0468258063481225e-03  1.4464515642441705e-06  7.1669714802549307e-03  2.3038664941666316e-06  1.1510796434425428e-06  -2.1859236916632393e-06  -5.8562443647158565e-03  -8.9768468899600597e-15  1.1510795330406178e-06  2.1859233736635691e-06  7.1669714800166526e-03  -2.3038665417286010e-06
2.7000000000001400e+01  -2.8474847738968530e-02  -1.4970347930435987e-07  -9.7148210790955585e-06  8.8117099702415029e-06  2.2569208929863714e-02  -1.1293252587120763e-14  -9.7187980462224477e-06  -8.8220623747714461e-06  -2.8477208966382565e-02  1.4970341344895249e-07  -1.2432002570563708e-02  -2.4125287185433826e-06  -3.4322896319408998e-06  6.6051781735665839e-06  9.8848612256599629e-03  9.3772125396525191e-14  -3.4322897572158441e-06  -6.6051781360755140e-06  -1.2432002570492883e-02  2.4125287102839262e-06  4.5711407071080809e-03  1.5758099484290469e-06  7.8267578561419680e-07  -1.1672734599381633e-06  -3.7411346707293285e-03  4.8593814871723592e-14  7.8267575381394685e-07  1.1672733992472982e-06  4.5711407068903948e-03  -1.5758099281016057e-06
2.8000000000001599e+01  -2.9264816929592527e-02  -1.5352880514010293e-07  -1.0270933107870419e-05  8.5757500285688679e-06  2.3276535139314502e-02  9.9889149888861141e-14  -1.0273601303923626e-05  -8.5877354378747848e-06  -2.9270107581466868e-02  1.5352880192734005e-07  -1.6477371712090585e-02  -3.3185678307580232e-06  -4.7162632541166186e-06  8.3234157271090739e-06  1.3145164864568869e-02  3.5596905780139603e-14  -4.7162631181543026e-06  -8.3234160519560144e-06  -1.6477371712304227e-02  3.3185677656872560e-06  1.3758585891948394e-03  6.4399114928404135e-07  3.1784095102592953e-07  6.3816913196044118e-08  -1.1484663699908677e-03  7.6994964364043125e-15  3.1784106412201450e-07  -6.3816531518704409e-08  1.3758585894842914e-03  -6.4399092089673270e-07
2.9000000000001702e+01  -2.8704603242573935e-02  -1.5121753303530311e-07  -1.0377691125967395e-05  7.9912436267693849e-06  2.2910357166981764e-02  5.6281827136167357e-14  -1.0380202762655047e-05  -8.0049602682905263e-06  -2.8712476866371888e-02  1.5121753018493838e-07  -1.9963803223167244e-02  -4.1395041147657265e-06  -5.8649229909548273e-06  9.5045577173587331e-06  1.5951387418013160e-02  4.2607547662783566e-15  -5.8649229253594990e-06  -9.5045577275279854e-06  -1.9963803223315063e-02  4.1395040541088128e-06  -2.2542967683694807e-03  -4.1754441963324036e-07  -2.2098426330715605e-07  1.3391679698498447e-06  1.7879565199184334e-03  -1.3196146598544326e-13  -2.2098401497384772e-07  -1.3391678878279458e-06  -2.2542967683403768e-03  4.1754467294048384e-07
3.0000000000001901e+01  -2.6832192199863963e-02  -1.4121359890765801e-07  -9.9659040343531219e-06  7.0768161378869554e-06  2.1473439688493957e-02  -3.2394838595211761e-14  -9.9709197452669649e-06  -7.0907264465480093e-06  -2.6842110118536436e-02  1.4121352688943281e-07  -2.2702786234136550e-02  -4.8005942263700766e-06  -6.8433750968270479e-06  1.0448104755126950e-05  1.8180218306961704e-02  -8.4273967817542956e-14  -6.8433748425541624e-06  -1.0448104945238767e-05  -2.2702786234181701e-02  4.8005943024670981e-06  -6.1224950810309644e-03  -1.5664620144076850e-06  -7.9731937997150472e-07  2.7244726566027027e-06  4.9261414428613702e-03  3.0178339666556093e-14  -7.9731936790707385e-07  -2.7244727169757426e-06  -6.1224950815367846e-03  1.5664619071996325e-06
3.1000000000002000e+01  -2.3751088049505903e-02  -1.3691027265010224e-07  -9.0914046770849801e-06  5.9685260376215867e-06  1.9048815403801128e-02  -1.0167214114029054e-13  -9.1000280213743047e-06  -5.9776201678882548e-06  -2.3762434284067969e-02  1.3691025850614423e-07  -2.4546775470982010e-02  -5.3130942960855135e-06  -7.5675397029947455e-06  1.0830951536618162e-05  1.9675090137579575e-02  -6.5230241049147111e-14  -7.5675396140247476e-06  -1.0830951516417788e-05  -2.4546775470762797e-02  5.3130941810366079e-06  -1.0012001008419699e-02  -2.7771676202536196e-06  -1.3886292187950485e-06  4.0087746273738033e-06  8.0642227829202402e-03  2.3652947305166462e-13  -1.3886294007136444e-06  -4.0087749075566745e-06  -1.0012001008165220e-02  2.7771671919669482e-06
3.2000000000002203e+01  -1.9652141595857299e-02  -1.0956263939443737e-07  -7.7909577696766735e-06  4.6705409600265561e-06  1.5785100612446354e-02  1.0314827558216131e-13  -7.8010770730528115e-06  -4.6833202034984453e-06  -1.9664201252612038e-02  1.0956264853639021e-07  -2.5370726099773384e-02  -5.6041258187142848e-06  -7.9949196458784370e-06  1.0766638124222847e-05  2.0358856643288327e-02  6.6913811993680994e-14  -7.9949197188792075e-06  -1.0766638075327213e-05  -2.5370726099898325e-02  5.6041257469299061e-06  -1.3700771659732313e-02  -3.9310960440318433e-06  -1.9609265514819410e-06  5.2224594732469171e-06  1.1051056790261783e-02  -9.3858813924720748e-14  -1.9609263118401923e-06  -5.2224595666165295e-06  -1.3700771659886254e-02  3.9310961570843322e-06
