# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -3.9794909357e-08   -2.3577175652e-08    4.8233326862e-10   -5.8858178558e-10   -2.7039002918e-11   -3.4958722971e-11
   0.0600000   -3.3172119791e-08   -2.0905861692e-08    4.1267395271e-10   -4.9918826847e-10   -1.4601821280e-10   -1.8241077777e-12
   0.1100000   -3.2720141651e-09   -4.8948822179e-09    4.9453052055e-10   -4.6219930511e-10   -2.3538167105e-11   -3.5371030713e-11
   0.1600000    3.6961671043e-08    1.7003915880e-08    5.0747884267e-10   -4.1761302134e-10    6.1041224956e-10   -2.1098274419e-10
   0.2100000    3.6992284749e-08    1.5578317974e-08    2.7460803998e-10   -3.1341203768e-10    1.1402033256e-09   -3.5929593467e-10
   0.2600000    8.7888685281e-09   -2.1877620293e-09   -1.9500328770e-10   -1.1407262335e-10    6.3903212919e-10   -2.2348821373e-10
   0.3100000    5.3539289462e-09   -5.5969157814e-09   -7.0556137302e-10    1.6712725793e-10   -8.5541190515e-10    1.8915778942e-10
   0.3600000    2.6773723975e-08    5.4226208735e-09   -1.0188058504e-09    4.2942937278e-10   -1.9650191969e-09    5.0111591970e-10
   0.4100000    3.8821078630e-08    1.1129929640e-08   -1.0004649902e-09    5.1997041139e-10   -1.2276543811e-09    3.0663391357e-10
   0.4600000    4.2648287552e-08    1.2178363531e-08   -6.5987984643e-10    3.4836190725e-10    1.1952297978e-09   -3.5772543701e-10
   0.5100000    5.7407304915e-08    1.9602639085e-08   -1.1058125097e-10   -2.9057931078e-11    3.3033195200e-09   -9.4631774378e-10
   0.5600000    7.5344044811e-08    2.8908072184e-08    4.7694302542e-10   -4.4567900096e-10    3.0511387227e-09   -8.9268632504e-10
   0.6100000    7.6609318166e-08    2.8615672628e-08    9.2118293616e-10   -7.3939076708e-10    4.6344757451e-10   -1.9631644400e-10
   0.6600000    6.4084355321e-08    2.0368909448e-08    1.0927235612e-09   -8.3413651327e-10   -2.1726532346e-09    5.2154237063e-10
   0.7100000    5.9407546896e-08    1.6631470960e-08    9.6445071129e-10   -7.3964657478e-10   -2.4311719630e-09    6.0776802546e-10
   0.7600000    6.9858693289e-08    2.1609040508e-08    6.0004108582e-10   -5.0787088587e-10   -1.5057317843e-10    2.6332393574e-11
   0.8100000    8.8233113059e-08    3.1159655316e-08    9.2743301788e-11   -1.9686304403e-10    2.3536955592e-09   -6.2010453348e-10
   0.8600000    1.0892172221e-07    4.2036803715e-08   -4.8049431776e-10    1.4529328763e-10    2.5953496215e-09   -7.1457186828e-10
   0.9100000    1.1583591664e-07    4.4935233939e-08   -1.0560573936e-09    4.8216085585e-10    4.5555888000e-10   -2.2543115432e-10
   0.9600000    1.0153905943e-07    3.5580387267e-08   -1.5631221497e-09    7.7939369957e-10   -1.6859529106e-09    3.1152727231e-10
   1.0100000    9.0885634982e-08    2.8362744471e-08   -1.9251091299e-09    9.9495681729e-10   -1.4370365692e-09    3.3720222819e-10
   1.0600000    1.0125437241e-07    3.3255379582e-08   -2.0847466644e-09    1.0879474612e-09    1.0697148352e-09   -2.1163323027e-10
   1.1100000    1.2062189396e-07    4.3116757556e-08   -2.0322840855e-09    1.0458058100e-09    3.2832855441e-09   -8.2986961846e-10
   1.1600000    1.3388278528e-07    4.9156446802e-08   -1.8192309219e-09    9.0260597505e-10    2.8900388061e-09   -8.6879787559e-10
   1.2100000    1.3678989454e-07    4.9374364045e-08   -1.5443389392e-09    7.2608649756e-10    2.0134911120e-10   -1.7642093206e-10
   1.2600000    1.3303290545e-07    4.6671929606e-08   -1.3097134455e-09    5.8280723085e-10   -2.2079333189e-09    6.1564475008e-10
   1.3100000    1.2937625119e-07    4.4922103788e-08   -1.1745119630e-09    5.0954357654e-10   -2.1227195136e-09    6.3244938542e-10
   1.3600000    1.3252117608e-07    4.6354217431e-08   -1.1451356773e-09    5.0701543977e-10    1.9697642985e-10   -2.4333568218e-10
   1.4100000    1.4478499606e-07    5.0451607195e-08   -1.2014115587e-09    5.5280209685e-10    2.4420812055e-09   -1.0875865573e-09
   1.4600000    1.5971396549e-07    5.4337523217e-08   -1.3168598625e-09    6.2131024113e-10    2.5902006351e-09   -9.3878190247e-10
   1.5100000    1.6777642233e-07    5.6334356467e-08   -1.4532978101e-09    6.9644755100e-10    7.8092502489e-10    2.2630562526e-11
   1.5600000    1.6560714003e-07    5.6770248097e-08   -1.5619271528e-09    7.6766792484e-10   -9.8457322429e-10    6.7825975261e-10
