# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.8827157680e-03    0.0000000000e+00
   0.0500000    3.2339586360e-03    4.4891462081e-06
   0.1000000    3.2338647961e-03    8.2552421405e-06
   0.1500000    3.2337857681e-03    1.1425459149e-05
   0.2000000    3.2337290469e-03    1.4099985956e-05
   0.2500000    3.2337028168e-03    1.6360354322e-05
   0.3000000    3.2337149774e-03    1.8274142601e-05
   0.3500000    3.2337725850e-03    1.9897926153e-05
   0.4000000    3.2338815786e-03    2.1279337669e-05
   0.4500000    3.2340466830e-03    2.2458609959e-05
   0.5000000    3.2342714164e-03    2.3469771811e-05
   0.5500000    3.2345581564e-03    2.4341612306e-05
   0.6000000    3.2349082361e-03    2.5098489084e-05
   0.6500000    3.2353220554e-03    2.5761006209e-05
   0.7000000    3.2357991952e-03    2.6346573056e-05
   0.7500000    3.2363385285e-03    2.6869871652e-05
   0.8000000    3.2369383218e-03    2.7343262144e-05
   0.8500000    3.2375963246e-03    2.7777133543e-05
   0.9000000    3.2383098479e-03    2.8180196791e-05
   0.9500000    3.2390758371e-03    2.8559727478e-05
   1.0000000    3.2398909412e-03    2.8921775642e-05
   1.0500000    3.2407515767e-03    2.9271353256e-05
   1.1000000    3.2416539852e-03    2.9612596223e-05
   1.1500000    3.2425942826e-03    2.9948897666e-05
   1.2000000    3.2435685046e-03    3.0283020079e-05
   1.2500000    3.2445726492e-03    3.0617194887e-05
   1.3000000    3.2456027169e-03    3.0953209125e-05
   1.3500000    3.2466547470e-03    3.1292476777e-05
   1.4000000    3.2477248485e-03    3.1636099562e-05
   1.4500000    3.2488092254e-03    3.1984922216e-05
   1.5000000    3.2499041986e-03    3.2339579763e-05
   1.5500000    3.2510062264e-03    3.2700533235e-05
   1.6000000    3.2521119209e-03    3.3068097135e-05
   1.6500000    3.2532180612e-03    3.3442465201e-05
   1.7000000    3.2543216049e-03    3.3823736078e-05
   1.7500000    3.2554196970e-03    3.4211934796e-05
   1.8000000    3.2565096765e-03    3.4607026862e-05
   1.8500000    3.2575890823e-03    3.5008927507e-05
   1.9000000    3.2586556576e-03    3.5417510966e-05
   1.9500000    3.2597073537e-03    3.5832620715e-05
   2.0000000    3.2607423330e-03    3.6254077749e-05
   2.0500000    3.2617589699e-03    3.6681685869e-05
   2.1000000    3.2627558527e-03    3.7115235891e-05
   2.1500000    3.2637317827e-03    3.7554509891e-05
   2.2000000    3.2646857745e-03    3.7999284687e-05
   2.2500000    3.2656170541e-03    3.8449333779e-05
   2.3000000    3.2665250574e-03    3.8904428758e-05
   2.3500000    3.2674094272e-03    3.9364341495e-05
   2.4000000    3.2682700111e-03    3.9828846779e-05
   2.4500000    3.2691068571e-03    4.0297723802e-05
   2.5000000    3.2699202103e-03    4.0770755924e-05
   2.5500000    3.2707105087e-03    4.1247729717e-05
   2.6000000    3.2714783789e-03    4.1728434936e-05
