# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  3.7010998728688475e-05  2.7673619454491829e-05  7.4893475230732742e-01  3.9957390092293097e+00  6.5123202071307396e-01
1.0000000000000000e+00  3.0801401641199898e-05  2.3022454370112899e-05  7.4899150297265704e-01  3.9959660118906282e+00  6.3590696014170256e-01
2.0000000000000000e+00  2.3695901595449607e-05  1.7699226727271172e-05  7.4883823946895844e-01  3.9953529578758338e+00  6.1113641702902577e-01
2.9999999999999800e+00  1.6008217074661004e-05  1.1941223321011739e-05  7.4851651690054366e-01  3.9940660676021746e+00  5.6862436298797914e-01
3.9999999999999600e+00  8.4780855885772453e-06  6.3060062299872947e-06  7.4769855198260327e-01  3.9907942079304131e+00  4.8612709498500001e-01
4.9999999999999396e+00  2.4863370281325872e-06  1.8338034827807993e-06  7.4442509782680444e-01  3.9777003913072178e+00  2.7623973397813967e-01
5.9999999999999201e+00  2.7586451707935742e-07  2.1332149759019012e-07  7.7784374338577222e-01  4.1113749735430893e+00  2.4397484830788188e-01
6.9999999999998996e+00  5.0165996214729592e-06  3.8274698719682712e-06  7.6023088745156786e-01  4.0409235498062710e+00  1.0401600779783335e+00
7.9999999999998703e+00  2.0517763027404624e-05  1.5536493357708356e-05  7.6112511858305609e-01  4.0445004743322244e+00  1.0374765235364332e+00
8.9999999999998508e+00  5.0290863961879748e-05  3.7942683202733187e-05  7.5055414940135312e-01  4.0022165976054129e+00  9.1938494192836551e-01
9.9999999999998295e+00  9.6056724685549054e-05  7.2423759129674575e-05  7.5111662434643722e-01  4.0044664973857493e+00  8.2516184976081142e-01
1.0999999999999799e+01  1.5609416792446436e-04  1.1752970359273464e-04  7.5095932818516486e-01  4.0038373127406590e+00  7.4679908513094073e-01
1.1999999999999799e+01  2.2400711623501521e-04  1.6854850847268166e-04  7.5161488350488559e-01  4.0064595340195428e+00  6.7022288358083437e-01
1.2999999999999799e+01  2.8962417417713679e-04  2.1775260159976391e-04  7.5126509362254279e-01  4.0050603744901707e+00  5.8988106884322722e-01
1.3999999999999700e+01  3.4124112017771971e-04  2.5631253404595489e-04  7.5091780452960466e-01  4.0036712181184182e+00  5.0459979908451347e-01
1.4999999999999700e+01  3.6925453497060862e-04  2.7702303070527089e-04  7.5040435447845921e-01  4.0016174179138364e+00  4.1534289309141842e-01
1.5999999999999700e+01  3.6869629619912058e-04  2.7621349732879027e-04  7.4972143648658240e-01  3.9988857459463296e+00  3.2775104902486352e-01
1.6999999999999901e+01  3.4175628333524060e-04  2.5561437999465015e-04  7.4877015011510173e-01  3.9950806004604069e+00  2.6081582647538171e-01
1.8000000000000000e+01  2.9626794573071077e-04  2.2124547563993975e-04  7.4687544385259486e-01  3.9875017754103794e+00  2.6115976338717406e-01
1.9000000000000199e+01  2.4545923003048246e-04  1.8317134630169108e-04  7.4241266451139831e-01  3.9696506580455933e+00  3.7009164107087000e-01
2.0000000000000298e+01  2.0559589083870262e-04  1.5383314858814353e-04  7.1563609228537395e-01  3.8625443691414958e+00  5.8654611630628262e-01
2.1000000000000501e+01  1.9282964213212270e-04  1.4518600754905212e-04  7.7324199209268174e-01  4.0929679683707274e+00  5.2077839890322042e-01
2.2000000000000600e+01  2.1945899931538900e-04  1.6657014187754931e-04  7.5977417846753392e-01  4.0390967138701352e+00  3.2940424642726551e-01
2.3000000000000799e+01  2.9141781193026421e-04  2.2223228292475532e-04  7.5476111803854640e-01  4.0190444721541851e+00  3.8628587140238535e-01
2.4000000000000998e+01  4.0613383214025230e-04  3.1010305812353365e-04  7.3102335393464790e-01  3.9240934157385916e+00  6.4467648743344197e-01
