# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.0769380245e-06    4.0000000000e+00    5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.0769380245e-06    4.0000000000e+00
   0.0500000   -5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.1248511972e-06    4.0000000000e+00    5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.1248511972e-06    4.0000000000e+00
   0.1000000   -5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.1711280584e-06    4.0000000000e+00    5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.1711280584e-06    4.0000000000e+00
   0.1500000   -5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.2157896047e-06    4.0000000000e+00    5.9375000000e+00    0.0000000000e+00    0.0000000000e+00    6.2157896047e-06    4.0000000000e+00
   0.2000000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.2588559715e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.2588559715e-06    2.0000000000e+00
   0.2500000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.3003466319e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.3003466319e-06    2.0000000000e+00
   0.3000000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.3402792964e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.3402792964e-06    2.0000000000e+00
   0.3500000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.3786679310e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.3786679310e-06    2.0000000000e+00
   0.4000000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.4155206815e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.4155206815e-06    2.0000000000e+00
   0.4500000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.4508381871e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.4508381871e-06    2.0000000000e+00
   0.5000000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.4846123279e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.4846123279e-06    2.0000000000e+00
   0.5500000   -5.9375000000e+00    6.2500000000e-02    0.0000000000e+00    6.5168252384e-06    2.0000000000e+00    5.9375000000e+00   -6.2500000000e-02    0.0000000000e+00    6.5168252384e-06    2.0000000000e+00
