# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.5300666020e-03    1.4443919956e-06
   0.0560000    2.6894933353e-03    3.1471756948e-06
   0.1120000    2.6894827688e-03    5.2771172509e-06
   0.1680000    2.6895510438e-03    7.2998253094e-06
   0.2240000    2.6897074282e-03    9.1497707799e-06
   0.2800000    2.6899700083e-03    1.0814992786e-05
   0.3360000    2.6903574635e-03    1.2297776281e-05
   0.3920000    2.6908853067e-03    1.3607476101e-05
   0.4480000    2.6915644976e-03    1.4756902501e-05
   0.5040000    2.6924012271e-03    1.5760152120e-05
   0.5600000    2.6933972423e-03    1.6631364796e-05
   0.6160000    2.6945503921e-03    1.7384085472e-05
   0.6720000    2.6958552343e-03    1.8031002328e-05
   0.7280000    2.6973036273e-03    1.8583866029e-05
   0.7840000    2.6988852788e-03    1.9053505815e-05
   0.8400000    2.7005882432e-03    1.9449866382e-05
   0.8960000    2.7023993647e-03    1.9781998763e-05
   0.9520000    2.7043046657e-03    2.0058086406e-05
   1.0080000    2.7062896870e-03    2.0285584705e-05
   1.0640000    2.7083397850e-03    2.0471368107e-05
   1.1200000    2.7104403896e-03    2.0621799406e-05
   1.1760000    2.7125772229e-03    2.0742717449e-05
   1.2320000    2.7147364829e-03    2.0839394333e-05
   1.2880000    2.7169049957e-03    2.0916566499e-05
   1.3440000    2.7190703394e-03    2.0978509356e-05
   1.4000000    2.7212209406e-03    2.1029078412e-05
   1.4560000    2.7233461479e-03    2.1071743009e-05
   1.5120000    2.7254362826e-03    2.1109610405e-05
   1.5680000    2.7274826715e-03    2.1145439704e-05
   1.6240000    2.7294776617e-03    2.1181664720e-05
   1.6800000    2.7314146205e-03    2.1220411850e-05
   1.7360000    2.7332879222e-03    2.1263524505e-05
   1.7920000    2.7350929241e-03    2.1312595874e-05
   1.8480000    2.7368259327e-03    2.1368979193e-05
   1.9040000    2.7384841627e-03    2.1433795863e-05
   1.9600000    2.7400656895e-03    2.1507963930e-05
   2.0160000    2.7415693970e-03    2.1592218734e-05
   2.0720000    2.7429949224e-03    2.1687119928e-05
   2.1280000    2.7443425978e-03    2.1793061550e-05
   2.1840000    2.7456133914e-03    2.1910287692e-05
   2.2400000    2.7468088479e-03    2.2038910626e-05
   2.2960000    2.7479310295e-03    2.2178925287e-05
   2.3520000    2.7489824581e-03    2.2330216938e-05
   2.4080000    2.7499660591e-03    2.2492572594e-05
   2.4640000    2.7508851077e-03    2.2665697818e-05
   2.5200000    2.7517431781e-03    2.2849228593e-05
   2.5760000    2.7525440948e-03    2.3042741516e-05
   2.6320000    2.7532918883e-03    2.3245767281e-05
   2.6880000    2.7539907536e-03    2.3457803477e-05
   2.7440000    2.7546450123e-03    2.3678323613e-05
   2.8000000    2.7552590784e-03    2.3906784607e-05
   2.8560000    2.7558374277e-03    2.4142633950e-05
   2.9120000    2.7563845709e-03    2.4385320604e-05
   2.9680000    2.7569050308e-03    2.4634306505e-05
   3.0240000    2.7574033222e-03    2.4889070184e-05
   3.0800000    2.7578839358e-03    2.5149107972e-05
   3.1360000    2.7583513254e-03    2.5413940483e-05
   3.1920000    2.7588098984e-03    2.5683117372e-05
   3.2480000    2.7592640094e-03    2.5956215833e-05
   3.3040000    2.7597179573e-03    2.6232840073e-05
   3.3600000    2.7601759854e-03    2.6512624417e-05
   3.4160000    2.7606422834e-03    2.6795235309e-05
   3.4720000    2.7611209928e-03    2.7080370720e-05
   3.5280000    2.7616162142e-03    2.7367756730e-05
   3.5840000    2.7621320188e-03    2.7657144203e-05
   3.6400000    2.7626724611e-03    2.7948308797e-05
   3.6960000    2.7632415945e-03    2.8241050667e-05
   3.7520000    2.7638434889e-03    2.8535191768e-05
   3.8080000    2.7644822515e-03    2.8830574245e-05
   3.8640000    2.7651620502e-03    2.9127060249e-05
   3.9200000    2.7658871385e-03    2.9424529891e-05
   3.9760000    2.7666618844e-03    2.9722877847e-05
   4.0320000    2.7674908015e-03    3.0022010544e-05
