# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    3.2787504944e-12   -2.4215959642e-04    1.4378102339e-07   -5.7734256589e-05   -1.3042310261e-13   -1.8325403775e-05    3.8891922107e-13   -9.6639523847e-06
   0.0600000    3.2700328782e-12   -2.4544517674e-04    1.4404100522e-07   -5.7611786120e-05    2.7641554046e-13   -1.8337943478e-05    3.9241875487e-13   -9.8650946896e-06
   0.1100000    3.2616737449e-12   -2.5020512764e-04    1.3369585089e-07   -5.7474469758e-05    8.3103607437e-13   -1.8552536005e-05    3.9654308938e-13   -1.0063932668e-05
   0.1600000    3.2546305362e-12   -2.5470842504e-04    8.1811053317e-08   -5.7410729543e-05    1.3993019786e-12   -1.8933367310e-05    4.0588091309e-13   -1.0216477485e-05
   0.2100000    3.2334837950e-12   -2.5754412792e-04   -3.1725360159e-09   -5.7520589684e-05    1.8102873607e-12   -1.9428761989e-05    4.2918385375e-13   -1.0302106420e-05
   0.2600000    3.2308715682e-12   -2.5806146834e-04   -7.0725328290e-08   -5.7832970200e-05    1.8077870494e-12   -1.9978084932e-05    4.6356836287e-13   -1.0318115952e-05
   0.3100000    3.2277754398e-12   -2.5647079124e-04   -7.2355680600e-08   -5.8266347451e-05    1.1606583427e-12   -2.0519234259e-05    5.0740093361e-13   -1.0273491900e-05
   0.3600000    3.2170249532e-12   -2.5362058407e-04   -8.7189200383e-09   -5.8655196858e-05   -1.2237428624e-13   -2.0995805350e-05    5.5474170637e-13   -1.0183173142e-05
   0.4100000    3.2070535079e-12   -2.5058642464e-04    6.7501763696e-08   -5.8828209602e-05   -1.6583183819e-12   -2.1363102004e-05    5.9601473528e-13   -1.0063474606e-05
   0.4600000    3.1947932671e-12   -2.4825561023e-04    9.6446656836e-08   -5.8697004647e-05   -2.8050929338e-12   -2.1592353979e-05    6.0751328735e-13   -9.9289059949e-06
   0.5100000    3.1790362898e-12   -2.4705953527e-04    6.1150650765e-08   -5.8308786359e-05   -2.9716395164e-12   -2.1672751949e-05    5.8671043225e-13   -9.7903407383e-06
   0.5600000    3.1738708500e-12   -2.4692126924e-04   -3.0552405462e-09   -5.7834471204e-05   -1.9647795255e-12   -2.1611196631e-05    5.3370100423e-13   -9.6543236013e-06
   0.6100000    3.1741432172e-12   -2.4739234702e-04   -4.5309463484e-08   -5.7495674386e-05   -1.5338503123e-13   -2.1429946510e-05    4.7330152321e-13   -9.5232284476e-06
   0.6600000    3.1504840712e-12   -2.4788956468e-04   -4.4650366243e-08   -5.7464202358e-05    1.6410559202e-12   -2.1162598170e-05    4.3744943137e-13   -9.3959651381e-06
   0.7100000    3.1453585007e-12   -2.4792714467e-04   -2.2102028426e-08   -5.7781867426e-05    2.5616800622e-12   -2.0849016756e-05    4.4661056490e-13   -9.2689658762e-06
   0.7600000    3.1614346249e-12   -2.4726576369e-04   -1.2872503068e-08   -5.8339300852e-05    2.1578357579e-12   -2.0529925986e-05    5.4014197372e-13   -9.1372358548e-06
   0.8100000    3.1344169886e-12   -2.4594711117e-04   -3.0378033404e-08   -5.8923952172e-05    6.3247181052e-13   -2.0241861879e-05    7.2446961865e-13   -8.9953170677e-06
   0.8600000    3.1295833821e-12   -2.4422857385e-04   -5.7556579319e-08   -5.9313802624e-05   -1.2612218203e-12   -2.0013094246e-05    1.0144425149e-12   -8.8380746441e-06
   0.9100000    3.0260700462e-12   -2.4246183434e-04   -6.9718605750e-08   -5.9371837043e-05   -2.5901014363e-12   -1.9860946365e-05    1.4065800914e-12   -8.6612662744e-06
   0.9600000    2.8414799098e-12   -2.4096629398e-04   -6.1524704849e-08   -5.9097756642e-05   -2.7317729883e-12   -1.9790725349e-05    1.9163472777e-12   -8.4618932393e-06
   1.0100000    2.7081251441e-12   -2.3993725953e-04   -5.0325224700e-08   -5.8615947421e-05   -1.6938407244e-12   -1.9796247492e-05    2.5369045583e-12   -8.2383557939e-06
   1.0600000    2.8671502718e-12   -2.3940889473e-04   -5.5627522855e-08   -5.8109773653e-05   -4.6734844767e-14   -1.9861738236e-05    3.2410754665e-12   -7.9904494593e-06
   1.1100000    3.5485077714e-12   -2.3927188284e-04   -7.8513518696e-08   -5.7736160783e-05    1.3429317806e-12   -1.9964732308e-05    3.9725834541e-12   -7.7192425816e-06
   1.1600000    4.2403293566e-12   -2.3933072459e-04   -1.0174960060e-07   -5.7560532285e-05    1.8387671578e-12   -2.0079512323e-05    4.6262766912e-12   -7.4268747489e-06
   1.2100000    3.4584444772e-12   -2.3937727767e-04   -1.0804170348e-07   -5.7539377824e-05    1.3105374760e-12   -2.0180607914e-05    5.1078982970e-12   -7.1163106894e-06
   1.2600000    1.5309880530e-13   -2.3925577520e-04   -9.6325605738e-08   -5.7553830434e-05    1.9787774610e-13   -2.0245924941e-05    5.2770243000e-12   -6.7910775919e-06
   1.3100000   -3.2191616974e-12   -2.3889993391e-04   -8.0653179721e-08   -5.7474491438e-05   -8.3474296259e-13   -2.0259170762e-05    5.0730522933e-12   -6.4550086666e-06
   1.3600000    4.5819609990e-13   -2.3833358173e-04   -7.5567924395e-08   -5.7225400343e-05   -1.2166184152e-12   -2.0211366293e-05    4.4969064493e-12   -6.1120084074e-06
   1.4100000    1.7674801347e-11   -2.3763939493e-04   -8.4603688944e-08   -5.6817829889e-05   -8.5024001968e-13   -2.0101368142e-05    3.6422776853e-12   -5.7658508324e-06
   1.4600000    4.2667744068e-11   -2.3691137700e-04   -1.0226883743e-07   -5.6340316464e-05   -6.3767028742e-14   -1.9935447583e-05    2.6851856067e-12   -5.4200173362e-06
   1.5100000    5.0972817373e-11   -2.3621139491e-04   -1.2344087781e-07   -5.5912621297e-05    5.7884642284e-13   -1.9726073553e-05    1.8529171068e-12   -5.0775767586e-06
   1.5600000    1.3041790283e-11   -2.3554639417e-04   -1.4708948318e-07   -5.5628203671e-05    6.3186617423e-13   -1.9490116599e-05    1.3500996669e-12   -4.7411076854e-06
