time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  5.1724149847758550e-06
5.0000000000000000e-01  -5.9672939800762632e-07  6.0178466433907085e-06
1.0000000000000000e+00  7.8471132346513880e-07  5.7408156500281359e-06
1.5000000000000000e+00  9.0892631624924289e-06  4.9412789655058238e-06
2.0000000000000000e+00  2.1286077368693204e-05  4.9460309856802079e-06
2.4999999999999898e+00  3.4271042183652985e-05  5.0607681374795136e-06
2.9999999999999800e+00  4.7130788506889988e-05  5.0132689790137949e-06
3.4999999999999698e+00  5.8795917192471382e-05  4.9580912509267754e-06
3.9999999999999600e+00  6.8517162340691015e-05  4.9352794792498169e-06
4.4999999999999503e+00  7.6812124266899311e-05  4.8991213204279851e-06
4.9999999999999396e+00  8.5029598898503451e-05  4.8209756330519258e-06
5.4999999999999298e+00  9.3874464789152833e-05  4.7230341721080638e-06
5.9999999999999201e+00  1.0280641006858771e-04  4.6357202206491030e-06
6.4999999999999103e+00  1.1108844698799363e-04  4.5566734675952417e-06
6.9999999999998996e+00  1.1880556762206232e-04  4.4684389801411714e-06
7.4999999999998801e+00  1.2666714799535546e-04  4.3602253997484600e-06
