# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.2627253101572695e-05  1.7436046228542641e-05  8.2076759424746659e-01  4.2830703769898664e+00  7.4573435329448745e-01
5.0000000000000000e-01  2.1596849178425820e-05  1.6639092759270328e-05  8.2500894814799608e-01  4.3000357925919843e+00  7.3338032994274116e-01
1.0000000000000000e+00  2.0460407485045151e-05  1.5755683963088278e-05  8.2442132071431073e-01  4.2976852828572429e+00  7.2952205575656837e-01
1.5000000000000000e+00  1.9210532127151198e-05  1.4779058447144496e-05  8.2366220630412701e-01  4.2946488252165080e+00  7.2499657474086299e-01
2.0000000000000000e+00  1.7859551311307543e-05  1.3720645675702858e-05  8.2251960221606368e-01  4.2900784088642547e+00  7.1997105992577015e-01
2.4999999999999898e+00  1.6404713540364846e-05  1.2580544354798764e-05  8.2101485120047302e-01  4.2840594048018925e+00  7.1405996340964784e-01
2.9999999999999800e+00  1.4848880978148158e-05  1.1358891480681654e-05  8.2027691815014347e-01  4.2811076726005739e+00  7.0430440041736520e-01
3.4999999999999698e+00  1.3202406387392274e-05  1.0066915146783332e-05  8.2022761511871267e-01  4.2809104604748507e+00  6.9005541974150408e-01
3.9999999999999600e+00  1.1485197572954834e-05  8.7211328986572196e-06  8.1995352172450775e-01  4.2798140868980310e+00  6.7217391074111055e-01
4.4999999999999503e+00  9.7088116351055658e-06  7.3303671396973932e-06  8.1867395116205688e-01  4.2746958046482275e+00  6.5067261201351412e-01
4.9999999999999396e+00  7.9255212890471554e-06  5.9416307534676825e-06  8.1643625203496406e-01  4.2657450081398558e+00  6.2422084570803216e-01
5.4999999999999298e+00  6.1626532699969282e-06  4.5760777189948351e-06  8.1308165361410434e-01  4.2523266144564174e+00  5.8914719250007574e-01
5.9999999999999201e+00  4.4895219556814500e-06  3.2903845734909396e-06  8.0837824371049039e-01  4.2335129748419611e+00  5.4036759651846467e-01
6.4999999999999103e+00  2.9893098834478664e-06  2.1569133390236393e-06  8.0256441466520201e-01  4.2102576586608080e+00  4.7003341049718539e-01
6.9999999999998996e+00  1.7525221331856051e-06  1.2478216130097808e-06  7.9678368215620410e-01  4.1871347286248159e+00  3.6478821062624484e-01
7.4999999999998801e+00  8.9671437067872015e-07  6.5862481271548729e-07  8.0586209306476442e-01  4.2234483722590577e+00  2.1293210907535987e-01
