# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  3.2345654611142640e-03  -3.4982460721602604e-17  1.6420022795388134e-04  -2.6542571495601552e-17
5.0000000000000000e-01  3.1663833466319649e-03  -5.1394333938376696e-15  1.6365465947195437e-04  5.7878449500155986e-16
1.0000000000000000e+00  3.0908085921424137e-03  -8.3798290843265649e-15  1.6260387289151107e-04  8.7967878818156315e-16
1.5000000000000000e+00  3.0070302081043349e-03  -8.8279840523234482e-15  1.6123617103913049e-04  -1.5603458619167484e-15
2.0000000000000000e+00  2.9146164056341132e-03  4.0065471556757770e-15  1.5966110939601131e-04  -1.9644560166289144e-15
2.4999999999999898e+00  2.8115889515348195e-03  4.6058263539899835e-15  1.5793824873813099e-04  -9.4995486188398631e-16
2.9999999999999800e+00  2.6976454331825521e-03  1.9355997111104167e-14  1.5607489768648002e-04  -1.6820676728107435e-15
3.4999999999999698e+00  2.5706953440005104e-03  1.8687274763642264e-14  1.5410813738800765e-04  -8.3823862767943257e-16
3.9999999999999600e+00  2.4297888884847112e-03  1.4445526887304702e-14  1.5199267927832431e-04  -3.9407678475414289e-16
4.4999999999999503e+00  2.2729505847821378e-03  -2.3392356438391507e-14  1.4969626205792630e-04  1.2062580319980730e-15
4.9999999999999396e+00  2.0984711432303496e-03  1.3619181872754141e-14  1.4721350935161648e-04  8.3793846037874932e-16
5.4999999999999298e+00  1.9036880674718230e-03  3.1817793164730032e-15  1.4453813178068141e-04  -3.6567365245033807e-16
5.9999999999999201e+00  1.6877928069877813e-03  3.6492754347874912e-15  1.4164037689623873e-04  1.5789721164268704e-15
6.4999999999999103e+00  1.4471949445631202e-03  -8.8599781808071376e-15  1.3847028273939772e-04  -9.3934895059317840e-17
6.9999999999998996e+00  1.1795975960596915e-03  -1.3188767162804552e-14  1.3502606153069062e-04  2.1059991925820483e-15
7.4999999999998801e+00  8.8185368041815448e-04  -1.5596473561967951e-14  1.3129688103389277e-04  2.9779931420007488e-16
7.9999999999998703e+00  5.5170874549345422e-04  1.1117509026554138e-14  1.2723003862675806e-04  -1.4376695507703160e-15
8.4999999999998597e+00  1.8578656304725215e-04  3.4609002201092288e-14  1.2276830329623509e-04  -1.2995147713039954e-15
8.9999999999998508e+00  -2.1710236806811488e-04  1.9756967261741303e-14  1.1789777991469695e-04  -1.3091852405836793e-15
9.4999999999998401e+00  -6.6275117110078702e-04  -3.4752750468504921e-14  1.1262787507119719e-04  1.5977317786261850e-15
9.9999999999998295e+00  -1.1482492499852864e-03  5.3990186683916010e-14  1.0686207739550811e-04  -1.4290981067396945e-16
1.0499999999999799e+01  -1.6784074424723036e-03  5.4533742972762145e-14  1.0051500983703448e-04  3.8775897775880988e-16
1.0999999999999799e+01  -2.2485103958524554e-03  1.2633506572693257e-14  9.3531987410109348e-05  -7.4488659716694409e-16
1.1499999999999799e+01  -2.8597012807372851e-03  -3.6717685641084186e-14  8.5904063603293161e-05  2.8801862475812947e-15
1.1999999999999799e+01  -3.5051894428370124e-03  1.3186822375157656e-14  7.7550075802477008e-05  -3.2287995976827471e-16
1.2499999999999799e+01  -4.1816513636539687e-03  8.2446070505609939e-15  6.8334999804066103e-05  2.5037764525245084e-15
1.2999999999999799e+01  -4.8784238224899128e-03  7.1281934009375346e-14  5.8190585919000801e-05  -3.0144245584577483e-15
1.3499999999999799e+01  -5.5869651744635696e-03  -2.2379003489746141e-14  4.7027849817263877e-05  5.9086297307116937e-15
1.3999999999999700e+01  -6.2995673297073559e-03  4.4046582313027501e-14  3.4762699365889985e-05  1.2924663983916555e-17
1.4499999999999700e+01  -6.9963597612544299e-03  -1.2864414530378357e-14  2.1186431009359940e-05  1.9630060021023335e-15
1.4999999999999700e+01  -7.6705732824566587e-03  3.6473377622173522e-14  6.1886426965623310e-06  -9.6634018485302871e-16
1.5499999999999700e+01  -8.2994316844120803e-03  5.9661223037648162e-14  -1.0349965359048234e-05  1.7510473890571736e-16
1.5999999999999700e+01  -8.8808944698933259e-03  1.5613211780038643e-14  -2.8678278396724658e-05  -3.5584452331172156e-15
1.6499999999999801e+01  -9.3944033279234462e-03  -3.2837660114377139e-14  -4.9018344539094524e-05  1.2790914834567141e-15
1.6999999999999901e+01  -9.8274188057677417e-03  3.5434078360287863e-14  -7.1626552171257876e-05  5.5163285387732327e-16
1.7499999999999901e+01  -1.0176267458448967e-02  2.7100746302567875e-14  -9.6730410856364545e-05  8.5684264757468920e-16
1.8000000000000000e+01  -1.0419232985884461e-02  1.9915348870350701e-14  -1.2459829047372324e-04  1.8446630585744949e-15
1.8500000000000099e+01  -1.0553831868649100e-02  -5.5924574460285495e-14  -1.5554842715354158e-04  6.3676919419703706e-16
1.9000000000000199e+01  -1.0574820994617894e-02  1.2187154090808131e-14  -1.9000101602641565e-04  -1.5965041102482583e-15
1.9500000000000199e+01  -1.0476803173978621e-02  1.4236746818333673e-14  -2.2842509568211025e-04  9.4336309266977573e-17
2.0000000000000298e+01  -1.0265206335503138e-02  -7.9665759395147057e-14  -2.7138807069588026e-04  2.7079505680866053e-15
2.0500000000000401e+01  -9.9247841536147137e-03  -9.9199111652879118e-14  -3.1930062676039468e-04  1.3563917102231416e-15
2.1000000000000501e+01  -9.4769544543957616e-03  -8.8420434439951540e-14  -3.7265083547325084e-04  5.5244064537631805e-15
2.1500000000000600e+01  -8.9125733163581359e-03  -1.8155304191448673e-15  -4.3210781274619141e-04  3.1186433599390194e-15
2.2000000000000600e+01  -8.2559060508223571e-03  -7.2016909579905586e-14  -4.9841732337004799e-04  4.6658592847310400e-15
2.2500000000000700e+01  -7.5066971087338844e-03  -6.1294963245653311e-14  -5.7227953030596003e-04  -1.2199958476113537e-15
2.3000000000000799e+01  -6.6782696210670222e-03  -1.1108911642139507e-14  -6.5464977501278332e-04  -1.8661512256551525e-15
2.3500000000000899e+01  -5.7679121442243608e-03  1.3358993002521996e-13  -7.4635728846921153e-04  -2.6157531493603428e-15
2.4000000000000998e+01  -4.7937408338914207e-03  7.3083222416545079e-14  -8.4891325741263783e-04  4.8670444327805133e-15
2.4500000000000998e+01  -3.7766384932743729e-03  -9.4631184941081081e-14  -9.6316279219020172e-04  3.8355266508230423e-15
2.5000000000001101e+01  -2.7204678358635735e-03  -2.8080836267374565e-16  -1.0886769210266239e-03  -6.4263595614795716e-16
2.5500000000001201e+01  -1.6411385315864295e-03  4.7213752005226262e-15  -1.2298461844500543e-03  3.7511335819145441e-15
2.6000000000001300e+01  -5.3364686377357950e-04  -1.0325304521975609e-14  -1.3860642486917636e-03  1.6932723305161418e-15
2.6500000000001300e+01  5.8719107296328465e-04  7.0615618929549540e-14  -1.5585184112205345e-03  3.2023229359383538e-15
2.7000000000001400e+01  1.7062120916030419e-03  1.7301969319066801e-14  -1.7495473147162910e-03  3.2312994036683314e-15
2.7500000000001499e+01  2.8104874393400127e-03  3.9657445621670007e-14  -1.9600255397003541e-03  7.3200957878631059e-15
2.8000000000001599e+01  3.8964534539316833e-03  6.7403493810708204e-17  -2.1900542330626602e-03  4.0342723439844232e-15
2.8500000000001702e+01  4.9772044078404366e-03  -9.7698589398686336e-14  -2.4412251469864395e-03  4.1040969755957394e-15
2.9000000000001702e+01  6.0707449165732300e-03  -2.8593785867704613e-14  -2.7136807940681255e-03  4.5314399205621109e-15
2.9500000000001801e+01  7.1324795405460651e-03  2.8381163657284839e-14  -3.0063760242491273e-03  4.5895612038203328e-15
3.0000000000001901e+01  8.1364518261251729e-03  5.1675924959493705e-14  -3.3181611782918483e-03  4.9740739278087906e-15
3.0500000000002000e+01  9.1032707572187010e-03  4.1646228159846269e-14  -3.6477422078001246e-03  6.3552373812721802e-15
3.1000000000002000e+01  1.0018017484021487e-02  1.6402576776068092e-13  -3.9921180520857344e-03  5.8581222148581039e-16
3.1500000000002100e+01  1.0873121940444057e-02  -2.1648273248347540e-14  -4.3463187595449600e-03  3.1049940857385064e-15
3.2000000000002203e+01  1.1698382280980402e-02  1.3281279762490487e-13  -4.7033265194882969e-03  4.9989766964580670e-17
3.2500000000002103e+01  1.2491499235296889e-02  1.0700809812899670e-13  -5.0557077532013030e-03  -4.8807393673508392e-15
3.3000000000001997e+01  1.3221934900534671e-02  -3.0007883656223144e-14  -5.3940833543780799e-03  -7.9855873399059443e-15
