# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    1.9389071244e-01    1.0000000000e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2988671046e-01    9.2988671046e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    1.9394044894e-01    1.0000000000e-08    1.8365543807e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2972265707e-01    9.2972265707e-01   -4.8550718452e-06    4.8550718452e-06
   0.1000000    1.9398499909e-01    1.0000000000e-08    3.4802607405e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2957571131e-01    9.2957571131e-01   -9.6622596052e-06    9.6622596074e-06
   0.1500000    1.9402525631e-01    1.0000000000e-08    4.9662309146e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2944292448e-01    9.2944292448e-01   -1.4443936923e-05    1.4443936923e-05
   0.2000000    1.9406192182e-01    1.0000000000e-08    6.3140923623e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2932198151e-01    9.2932198151e-01   -1.9263791391e-05    1.9263791391e-05
   0.2500000    1.9409555078e-01    1.0000000000e-08    7.5364191239e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2921104879e-01    9.2921104879e-01   -2.4235886156e-05    2.4235886155e-05
   0.3000000    1.9412658513e-01    1.0000000000e-08    8.6498680966e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2910866570e-01    9.2910866570e-01   -2.9280241034e-05    2.9280241033e-05
   0.3500000    1.9415537696e-01    1.0000000000e-08    9.6708146219e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2901366740e-01    9.2901366740e-01   -3.4471865524e-05    3.4471865521e-05
   0.4000000    1.9418220493e-01    1.0000000000e-08    1.0611938156e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2892512996e-01    9.2892512996e-01   -3.9800753010e-05    3.9800753009e-05
   0.4500000    1.9420728602e-01    1.0000000000e-08    1.1484359421e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2884233119e-01    9.2884233119e-01   -4.5229790483e-05    4.5229790484e-05
   0.5000000    1.9423078389e-01    1.0000000000e-08    1.2297288052e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2876472206e-01    9.2876472206e-01   -5.0756134377e-05    5.0756134378e-05
   0.5500000    1.9425281531e-01    1.0000000000e-08    1.3058480162e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2869190489e-01    9.2869190489e-01   -5.6396501538e-05    5.6396501536e-05
   0.6000000    1.9427345534e-01    1.0000000000e-08    1.3775011528e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2862361503e-01    9.2862361503e-01   -6.2212003542e-05    6.2212003543e-05
   0.6500000    1.9429274219e-01    1.0000000000e-08    1.4453033631e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2855970404e-01    9.2855970404e-01   -6.8192930746e-05    6.8192930750e-05
   0.7000000    1.9431068216e-01    1.0000000000e-08    1.5097791959e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2850012267e-01    9.2850012267e-01   -7.4337480514e-05    7.4337480512e-05
   0.7500000    1.9432725487e-01    1.0000000000e-08    1.5713804538e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2844490271e-01    9.2844490271e-01   -8.0619947491e-05    8.0619947491e-05
   0.8000000    1.9434241908e-01    1.0000000000e-08    1.6305034847e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2839413747e-01    9.2839413747e-01   -8.7083084052e-05    8.7083084052e-05
   0.8500000    1.9435611898e-01    1.0000000000e-08    1.6874822702e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2834796072e-01    9.2834796072e-01   -9.3715066187e-05    9.3715066180e-05
   0.9000000    1.9436829086e-01    1.0000000000e-08    1.7426111670e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2830652450e-01    9.2830652450e-01   -1.0050188129e-04    1.0050188129e-04
   0.9500000    1.9437887014e-01    1.0000000000e-08    1.7961435638e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2826997634e-01    9.2826997634e-01   -1.0746652630e-04    1.0746652630e-04
   1.0000000    1.9438779837e-01    1.0000000000e-08    1.8483189646e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2823843638e-01    9.2823843638e-01   -1.1462827592e-04    1.1462827592e-04
   1.0500000    1.9439503013e-01    1.0000000000e-08    1.8992980777e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2821197527e-01    9.2821197527e-01   -1.2200164973e-04    1.2200164973e-04
   1.1000000    1.9440053958e-01    1.0000000000e-08    1.9492360680e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2819059326e-01    9.2819059326e-01   -1.2959461834e-04    1.2959461833e-04
   1.1500000    1.9440432650e-01    1.0000000000e-08    1.9982651420e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2817420119e-01    9.2817420119e-01   -1.3738006985e-04    1.3738006985e-04
   1.2000000    1.9440642159e-01    1.0000000000e-08    2.0464965610e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2816260380e-01    9.2816260380e-01   -1.4535892058e-04    1.4535892058e-04
   1.2500000    1.9440689108e-01    1.0000000000e-08    2.0940248923e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2815548573e-01    9.2815548573e-01   -1.5353347981e-04    1.5353347981e-04
   1.3000000    1.9440584034e-01    1.0000000000e-08    2.1409255720e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2815240055e-01    9.2815240055e-01   -1.6189817846e-04    1.6189817846e-04
   1.3500000    1.9440341657e-01    1.0000000000e-08    2.1872612821e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2815276291e-01    9.2815276291e-01   -1.7045744557e-04    1.7045744557e-04
   1.4000000    1.9439981086e-01    1.0000000000e-08    2.2330913945e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2815584304e-01    9.2815584304e-01   -1.7927887166e-04    1.7927887165e-04
   1.4500000    1.9439525921e-01    1.0000000000e-08    2.2784528795e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2816076436e-01    9.2816076436e-01   -1.8833916135e-04    1.8833916135e-04
   1.5000000    1.9439004269e-01    1.0000000000e-08    2.3233793821e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2816650429e-01    9.2816650429e-01   -1.9755451347e-04    1.9755451347e-04
