# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.6513550792221042e-05  2.1199743307105216e-05  8.6419211932761997e-01  4.4567684773104794e+00  6.8938113336222562e-01
5.0000000000000000e-01  2.5448558981096827e-05  2.0333284971402599e-05  8.6724486725954786e-01  4.4689794690381914e+00  6.7046226922090335e-01
1.0000000000000000e+00  2.4239001117685608e-05  1.9338797155337847e-05  8.6628634549603190e-01  4.4651453819841276e+00  6.6676596022524315e-01
1.5000000000000000e+00  2.2868464554873782e-05  1.8200676302055342e-05  8.6492227103629959e-01  4.4596890841451984e+00  6.6224214067415133e-01
2.0000000000000000e+00  2.1376131901766710e-05  1.6957321401359947e-05  8.6305820402690436e-01  4.4522328161076175e+00  6.5744845310378641e-01
2.4999999999999898e+00  1.9751608742523977e-05  1.5601821042780064e-05  8.6062104707989695e-01  4.4424841883195878e+00  6.5192545619497455e-01
2.9999999999999800e+00  1.7998282239069419e-05  1.4135327553671657e-05  8.5838109679258934e-01  4.4335243871703574e+00  6.4091408210944290e-01
3.4999999999999698e+00  1.6129402278767525e-05  1.2573602754021679e-05  8.5618871311307299e-01  4.4247548524522919e+00  6.2376242066727372e-01
3.9999999999999600e+00  1.4177308643289601e-05  1.0947171190346152e-05  8.5324460756111797e-01  4.4129784302444719e+00  6.0262147397193988e-01
4.4999999999999503e+00  1.2139489784258479e-05  9.2536922139814465e-06  8.4864330260853915e-01  4.3945732104341566e+00  5.7824207036862274e-01
4.9999999999999396e+00  1.0110704048402367e-05  7.5855822769182925e-06  8.4254836185301463e-01  4.3701934474120581e+00  5.5007048733719277e-01
5.4999999999999298e+00  8.0960617128318731e-06  5.9461830218224326e-06  8.3425152897850796e-01  4.3370061159140318e+00  5.1432846928412945e-01
5.9999999999999201e+00  6.1927540130896451e-06  4.4249016939078743e-06  8.2357345584094221e-01  4.2942938233637689e+00  4.6769903483563330e-01
6.4999999999999103e+00  4.5164776854925879e-06  3.1317102644643129e-06  8.1177948742847006e-01  4.2471179497138802e+00  4.0795839569477244e-01
6.9999999999998996e+00  3.1633339668330006e-06  2.1516681124700140e-06  8.0321497322759638e-01  4.2128598929103855e+00  3.3512787955832435e-01
7.4999999999998801e+00  2.2705865346012786e-06  1.6072290277827618e-06  8.1576624843741385e-01  4.2630649937496550e+00  2.6409469385228096e-01
7.9999999999998703e+00  1.9916794176594055e-06  1.6304017142863210e-06  8.7505867546101679e-01  4.5002347018440672e+00  2.4200346290163219e-01
8.4999999999998597e+00  2.5343499585309179e-06  2.4014666642699735e-06  9.4502945570730301e-01  4.7801178228292116e+00  3.1338318800743492e-01
8.9999999999998508e+00  4.0958754997609992e-06  4.0809972238006267e-06  9.7058112114026907e-01  4.8823244845610763e+00  4.3321989710110531e-01
9.4999999999998401e+00  6.9115521485779692e-06  6.8582947062665605e-06  9.6849456545080370e-01  4.8739782618032148e+00  5.4680176134202685e-01
9.9999999999998295e+00  1.1228146265552528e-05  1.0925156957069716e-05  9.5896451163938967e-01  4.8358580465575587e+00  6.3813579040611335e-01
1.0499999999999799e+01  1.7291039935343638e-05  1.6460854581021313e-05  9.4879785087182578e-01  4.7951914034873031e+00  7.0870914118466044e-01
1.0999999999999799e+01  2.5338478411437175e-05  2.3633339254807852e-05  9.3969037675606537e-01  4.7587615070242615e+00  7.6334957489093824e-01
1.1499999999999799e+01  3.5559710064334217e-05  3.2557295306565808e-05  9.3176319182987810e-01  4.7270527673195124e+00  8.0636049422445166e-01
1.1999999999999799e+01  4.8125207685747903e-05  4.3336061850142514e-05  9.2499921405510055e-01  4.6999968562204018e+00  8.4089425108684179e-01
1.2499999999999799e+01  6.3082546309939469e-05  5.5955405131005473e-05  9.1935999506049804e-01  4.6774399802419921e+00  8.6884791840568831e-01
1.2999999999999799e+01  8.0415229271397245e-05  7.0370735131064413e-05  9.1508615421766315e-01  4.6603446168706526e+00  8.9144810991204171e-01
1.3499999999999799e+01  9.9939965748678991e-05  8.6373758974542714e-05  9.1217168580236496e-01  4.6486867432094598e+00  9.0977011421540110e-01
1.3999999999999700e+01  1.2131196814412453e-04  1.0366752485200419e-04  9.1078505980114999e-01  4.6431402392046000e+00  9.2472050193970456e-01
1.4499999999999700e+01  1.4408955001662320e-04  1.2191474005535170e-04  9.1124259541122932e-01  4.6449703816449173e+00  9.3659478767679372e-01
1.4999999999999700e+01  1.6768610561169691e-04  1.4062960996263780e-04  9.1313395361851701e-01  4.6525358144740681e+00  9.4499747075703555e-01
1.5499999999999700e+01  1.9134121258911684e-04  1.5920028302507589e-04  9.1459415648244491e-01  4.6583766259297796e+00  9.4934863233530853e-01
1.5999999999999700e+01  2.1420167345595961e-04  1.7703213259891146e-04  9.1313943376843754e-01  4.6525577350737501e+00  9.4934652913580342e-01
1.6499999999999801e+01  2.3528238242784800e-04  1.9326847743039404e-04  9.0801804711200251e-01  4.6320721884480101e+00  9.4527665172087427e-01
1.6999999999999901e+01  2.5373937202235666e-04  2.0732616606795244e-04  9.0134774731603995e-01  4.6053909892641602e+00  9.3778897851262066e-01
1.7499999999999901e+01  2.6866311198169181e-04  2.1855238308514683e-04  8.9505780042607308e-01  4.5802312017042919e+00  9.2746354470966164e-01
1.8000000000000000e+01  2.7928441387084854e-04  2.2638975421656492e-04  8.8987375266373125e-01  4.5594950106549250e+00  9.1463242724775051e-01
1.8500000000000099e+01  2.8510860172253503e-04  2.3050386001560562e-04  8.8584213758128472e-01  4.5433685503251393e+00  8.9938426129859794e-01
1.9000000000000199e+01  2.8571825642815103e-04  2.3059349459992961e-04  8.8276302788115713e-01  4.5310521115246285e+00  8.8154740086032191e-01
1.9500000000000199e+01  2.8109865657917230e-04  2.2668359070029294e-04  8.8047183447217203e-01  4.5218873378886881e+00  8.6073899765869299e-01
2.0000000000000298e+01  2.7144235183653624e-04  2.1899937830892894e-04  8.7897493966382956e-01  4.5158997586553182e+00  8.3634284829780037e-01
2.0500000000000401e+01  2.5730029873268406e-04  2.0793805498642542e-04  8.7819015330529016e-01  4.5127606132211611e+00  8.0765217072724171e-01
2.1000000000000501e+01  2.3938869767424430e-04  1.9416977642417246e-04  8.7836737050078617e-01  4.5134694820031447e+00  7.7391092021178942e-01
2.1500000000000600e+01  2.1862608712464336e-04  1.7833953198683839e-04  8.7943324710216764e-01  4.5177329884086710e+00  7.3436028089031435e-01
2.2000000000000600e+01  1.9638627720214061e-04  1.6153016057527880e-04  8.8157692342505900e-01  4.5263076937002360e+00  6.8831564963866576e-01
2.2500000000000700e+01  1.7378859000979576e-04  1.4467737240489017e-04  8.8532103867051060e-01  4.5412841546820424e+00  6.3488253300009623e-01
