# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    8.4312467298e-04    3.7813475436e-06
   0.0500000    1.0202361971e-03    4.6480100953e-06
   0.1000000    1.0202355844e-03    4.8352506109e-06
   0.1500000    1.0202355265e-03    5.0648272042e-06
   0.2000000    1.0202361273e-03    5.3048984392e-06
   0.2500000    1.0202376519e-03    5.5404230727e-06
   0.3000000    1.0202404346e-03    5.7647898911e-06
   0.3500000    1.0202448202e-03    5.9756271694e-06
   0.4000000    1.0202511303e-03    6.1727282019e-06
   0.4500000    1.0202596530e-03    6.3568571536e-06
   0.5000000    1.0202706354e-03    6.5290769560e-06
   0.5500000    1.0202842774e-03    6.6904421866e-06
   0.6000000    1.0203007325e-03    6.8418573564e-06
   0.6500000    1.0203201119e-03    6.9840294417e-06
   0.7000000    1.0203424924e-03    7.1175025707e-06
   0.7500000    1.0203679254e-03    7.2427363148e-06
   0.8000000    1.0203964456e-03    7.3601684193e-06
   0.8500000    1.0204280865e-03    7.4702480646e-06
   0.9000000    1.0204628946e-03    7.5734585194e-06
   0.9500000    1.0205009544e-03    7.6703238645e-06
   1.0000000    1.0205424033e-03    7.7613803165e-06
   1.0500000    1.0205874653e-03    7.8471190932e-06
   1.1000000    1.0206364878e-03    7.9279438952e-06
   1.1500000    1.0206899731e-03    8.0041852451e-06
   1.2000000    1.0207486091e-03    8.0761659523e-06
   1.2500000    1.0208133042e-03    8.1442636388e-06
   1.3000000    1.0208852240e-03    8.2089338028e-06
   1.3500000    1.0209658190e-03    8.2706914056e-06
   1.4000000    1.0210568470e-03    8.3300626541e-06
   1.4500000    1.0211603891e-03    8.3875250344e-06
   1.5000000    1.0212788619e-03    8.4434707143e-06
   1.5500000    1.0214150242e-03    8.4982193380e-06
   1.6000000    1.0215719685e-03    8.5520484803e-06
   1.6500000    1.0217531091e-03    8.6052163775e-06
   1.7000000    1.0219621821e-03    8.6579722709e-06
   1.7500000    1.0222032335e-03    8.7105564200e-06
   1.8000000    1.0224805849e-03    8.7631984941e-06
   1.8500000    1.0227988122e-03    8.8161137229e-06
   1.9000000    1.0231627362e-03    8.8694991050e-06
   1.9500000    1.0235773951e-03    8.9235338495e-06
   2.0000000    1.0240480340e-03    8.9783805064e-06
   2.0500000    1.0245800742e-03    9.0341843275e-06
   2.1000000    1.0251790924e-03    9.0910740684e-06
   2.1500000    1.0258508035e-03    9.1491642213e-06
   2.2000000    1.0266010337e-03    9.2085565762e-06
   2.2500000    1.0274356977e-03    9.2693412858e-06
   2.3000000    1.0283608058e-03    9.3315987773e-06
   2.3500000    1.0293824349e-03    9.3954020047e-06
   2.4000000    1.0305066923e-03    9.4608179843e-06
   2.4500000    1.0317397170e-03    9.5279067031e-06
   2.5000000    1.0330876642e-03    9.5967184416e-06
   2.5500000    1.0345566953e-03    9.6672935055e-06
   2.6000000    1.0361529667e-03    9.7396647681e-06
   2.6500000    1.0378826206e-03    9.8138601048e-06
   2.7000000    1.0397517783e-03    9.8899036917e-06
   2.7500000    1.0417665321e-03    9.9678167245e-06
   2.8000000    1.0439329389e-03    1.0047617583e-05
   2.8500000    1.0462570196e-03    1.0129321177e-05
   2.9000000    1.0487447570e-03    1.0212938484e-05
   2.9500000    1.0514020993e-03    1.0298476421e-05
   3.0000000    1.0542349535e-03    1.0385938107e-05
   3.0500000    1.0572491807e-03    1.0475323748e-05
   3.1000000    1.0604506118e-03    1.0566630681e-05
   3.1500000    1.0638450476e-03    1.0659853922e-05
   3.2000000    1.0674382741e-03    1.0754988055e-05
   3.2500000    1.0712360819e-03    1.0852028485e-05
   3.3000000    1.0752442765e-03    1.0951263707e-05
   3.3500000    1.0794686529e-03    1.1053063997e-05
   3.4000000    1.0839150155e-03    1.1156031293e-05
   3.4500000    1.0885893148e-03    1.1260423630e-05
   3.5000000    1.0934975453e-03    1.1366495482e-05
   3.5500000    1.0986458619e-03    1.1474393659e-05
