time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.1605793803211434e-05
5.0000000000000000e-01  -5.9673635268805882e-07  1.4899800078703224e-05
1.0000000000000000e+00  7.8468642916950451e-07  1.3967519168784393e-05
1.5000000000000000e+00  9.0892231584340507e-06  1.0981893487350882e-05
2.0000000000000000e+00  2.1286052940181616e-05  1.1110669301763281e-05
2.4999999999999898e+00  3.4271096952591867e-05  1.1677809667665435e-05
2.9999999999999800e+00  4.7131029347896800e-05  1.1611516604510666e-05
3.4999999999999698e+00  5.8796496656975513e-05  1.1523071135011337e-05
3.9999999999999600e+00  6.8518281402335458e-05  1.1566867300265420e-05
4.4999999999999503e+00  7.6814047455102510e-05  1.1569689003121345e-05
4.9999999999999396e+00  8.5032680143569417e-05  1.1424832782857517e-05
5.4999999999999298e+00  9.3879184353534066e-05  1.1217104371121461e-05
5.9999999999999201e+00  1.0281341818809780e-04  1.1062408703990602e-05
6.4999999999999103e+00  1.1109860430184070e-04  1.0954357039761660e-05
6.9999999999998996e+00  1.1881996003377325e-04  1.0827708502750360e-05
7.4999999999998801e+00  1.2668706929199131e-04  1.0642594267024630e-05
7.9999999999998703e+00  1.3512600862949933e-04  1.0420397845892171e-05
8.4999999999998597e+00  1.4367805183920128e-04  1.0196442129921623e-05
8.9999999999998508e+00  1.5137658087129252e-04  9.9635564215861841e-06
9.4999999999998401e+00  1.5775403965179397e-04  9.7065986511332127e-06
9.9999999999998295e+00  1.6326246456085732e-04  9.4326626068019263e-06
1.0499999999999799e+01  1.6859492729974680e-04  9.1353146543605756e-06
1.0999999999999799e+01  1.7386193612632444e-04  8.7857328844230064e-06
1.1499999999999799e+01  1.7859148817417109e-04  8.3322990993232448e-06
1.1999999999999799e+01  1.8229841076432108e-04  7.7868431911094055e-06
1.2499999999999799e+01  1.8490899962083553e-04  7.2554633064689207e-06
1.2999999999999799e+01  1.8686755697628441e-04  6.8117575491686737e-06
1.3499999999999799e+01  1.8904613126093740e-04  6.4296551870341759e-06
1.3999999999999700e+01  1.9235002169877997e-04  6.0661972600866619e-06
1.4499999999999700e+01  1.9701846039541925e-04  5.7289915481276207e-06
1.4999999999999700e+01  2.0222571457408035e-04  5.5167007305056219e-06
1.5499999999999700e+01  2.0653866468980491e-04  5.5323782372418918e-06
1.5999999999999700e+01  2.0884868666219933e-04  5.8244432666299212e-06
1.6499999999999801e+01  2.0896651890908485e-04  6.4299363936109278e-06
1.6999999999999901e+01  2.0759562077778053e-04  7.3514450067459976e-06
1.7499999999999901e+01  2.0588653097523409e-04  8.5648810226688392e-06
1.8000000000000000e+01  2.0481531258649104e-04  1.0050344842057154e-05
1.8500000000000099e+01  2.0464511442449775e-04  1.1778825362922899e-05
1.9000000000000199e+01  2.0479946559188747e-04  1.3728572635950396e-05
1.9500000000000199e+01  2.0426957958692617e-04  1.5923510344380799e-05
2.0000000000000298e+01  2.0226659923079258e-04  1.8408779755303214e-05
2.0500000000000401e+01  1.9867247168918885e-04  2.1191841278895974e-05
2.1000000000000501e+01  1.9406507651241478e-04  2.4234462599872805e-05
2.1500000000000600e+01  1.8938832853483218e-04  2.7535021601743692e-05
2.2000000000000600e+01  1.8547877358668455e-04  3.1154677308745981e-05
2.2500000000000700e+01  1.8267811705510945e-04  3.5154201705296226e-05
2.3000000000000799e+01  1.8071400734954047e-04  3.9536012662365096e-05
2.3500000000000899e+01  1.7890437398964830e-04  4.4243990969784357e-05
2.4000000000000998e+01  1.7656923415389507e-04  4.9296906076411041e-05
2.4500000000000998e+01  1.7342967971359962e-04  5.4852121782222920e-05
2.5000000000001101e+01  1.6980819334218582e-04  6.1051847670466015e-05
2.5500000000001201e+01  1.6524705739479111e-04  6.7780305576962176e-05
2.6000000000001300e+01  1.6364532246229701e-04  7.4779377315566415e-05
2.6500000000001300e+01  1.6438554319923567e-04  8.1908654800695913e-05
2.7000000000001400e+01  1.6789750225446580e-04  8.9348082842154563e-05
2.7500000000001499e+01  1.7419202933552667e-04  9.7291031366754613e-05
2.8000000000001599e+01  1.8317179592576677e-04  1.0572135073144195e-04
2.8500000000001702e+01  1.9500285401162617e-04  1.1448572328491307e-04
2.9000000000001702e+01  2.1034326208033577e-04  1.2347556276663403e-04
2.9500000000001801e+01  2.3033316036148943e-04  1.3264251581853652e-04
3.0000000000001901e+01  2.5636168477263864e-04  1.4195927167347607e-04
3.0500000000002000e+01  2.8978206329003720e-04  1.5133029214013183e-04
3.1000000000002000e+01  3.3168763522648941e-04  1.6065025680400910e-04
3.1500000000002100e+01  3.8283888979614761e-04  1.6990646759770255e-04
3.2000000000002203e+01  4.4377080032568042e-04  1.7915941381942585e-04
3.2500000000002103e+01  5.1498826622421246e-04  1.8829810338544413e-04
3.3000000000001997e+01  5.9710240549804353e-04  1.9674728261852647e-04
3.3500000000001897e+01  6.9084948513234001e-04  2.0372928253674206e-04
3.4000000000001798e+01  7.9704705480553267e-04  2.0921422817966293e-04
3.4500000000001698e+01  9.1652206595891543e-04  2.1380295251862330e-04
3.5000000000001599e+01  1.0499870036791504e-03  2.1767508496446289e-04
3.5500000000001499e+01  1.1978433478763812e-03  2.2032556356680651e-04
3.6000000000001400e+01  1.3599918129181734e-03  2.2112921022608315e-04
3.6500000000001300e+01  1.5358135635190622e-03  2.2005796371192058e-04
3.7000000000001201e+01  1.7243234229833721e-03  2.1740654820862692e-04
3.7500000000001101e+01  1.9243772291354718e-03  2.1316022658861698e-04
3.8000000000001002e+01  2.1347652543664010e-03  2.0719435544333634e-04
3.8500000000000902e+01  2.3541165140200764e-03  1.9981434270168857e-04
3.9000000000000803e+01  2.5806555966628618e-03  1.9171558879658147e-04
3.9500000000000703e+01  2.8119937595878328e-03  1.8355932898042899e-04
4.0000000000000597e+01  3.0451809546627523e-03  1.7611352661661329e-04
4.0500000000000497e+01  3.2769738561404214e-03  1.7048609410750577e-04
4.1000000000000398e+01  3.5042642351935105e-03  1.6792437520330149e-04
4.1500000000000298e+01  3.7243630822268955e-03  1.6939947759686284e-04
4.2000000000000199e+01  3.9351240756487528e-03  1.7559489898583011e-04
4.2500000000000099e+01  4.1349306925916396e-03  1.8680810011242392e-04
4.3000000000000000e+01  4.3223538967570880e-03  2.0267830871950696e-04
4.3499999999999901e+01  4.4957292621897555e-03  2.2226933716170083e-04
4.3999999999999801e+01  4.6531111965033827e-03  2.4461307670869498e-04
4.4499999999999702e+01  4.7926735670708737e-03  2.6909854838117180e-04
4.4999999999999602e+01  4.9133715487589781e-03  2.9520656375878874e-04
4.5499999999999503e+01  5.0152873314626882e-03  3.2224421831317988e-04
4.5999999999999403e+01  5.0997318049934232e-03  3.4945162900707155e-04
4.6499999999999297e+01  5.1688219872934160e-03  3.7649904782045113e-04
4.6999999999999197e+01  5.2246276978634137e-03  4.0329075895407580e-04
4.7499999999999098e+01  5.2687177350806483e-03  4.2960202026889047e-04
4.7999999999998998e+01  5.3021339489187028e-03  4.5493928876641715e-04
4.8499999999998899e+01  5.3255702052735776e-03  4.7904309644731624e-04
4.8999999999998799e+01  5.3395704097261715e-03  5.0176328509911100e-04
4.9499999999998700e+01  5.3449023401073853e-03  5.2305462765189022e-04
4.9999999999998600e+01  5.3429392665234662e-03  5.4281428137391936e-04
5.0499999999998501e+01  5.3357344487740361e-03  5.6103599314388916e-04
5.0999999999998401e+01  5.3255694177955660e-03  5.7769175086556262e-04
5.1499999999998302e+01  5.3141606392953468e-03  5.9263789554956845e-04
5.1999999999998202e+01  5.3020884729822054e-03  6.0564320480498883e-04
5.2499999999998103e+01  5.2887300102302344e-03  6.1680486635833900e-04
5.2999999999998003e+01  5.2726117370429162e-03  6.2641738199406712e-04
5.3499999999997897e+01  5.2522689096267099e-03  6.3442410157412603e-04
5.3999999999997797e+01  5.2271064987167931e-03  6.4076328502030318e-04
5.4499999999997698e+01  5.1975923503636869e-03  6.4568440264231239e-04
5.4999999999997598e+01  5.1650058588317699e-03  6.4951507925365695e-04
5.5499999999997499e+01  5.1311134944409809e-03  6.5226296615959745e-04
5.5999999999997399e+01  5.0975880483537664e-03  6.5359103169209331e-04
5.6499999999997300e+01  5.0654973927172792e-03  6.5349255314328691e-04
5.6999999999997200e+01  5.0352482437122318e-03  6.5252186506031438e-04
5.7499999999997101e+01  5.0068677272916964e-03  6.5126838854532936e-04
5.7999999999997002e+01  4.9805006465718019e-03  6.4988779300156538e-04
5.8499999999996902e+01  4.9569731805379508e-03  6.4819460966786290e-04
5.8999999999996803e+01  4.9379874438644916e-03  6.4575612616820331e-04
5.9499999999996703e+01  4.9258610975850704e-03  6.4254243911569754e-04
5.9999999999996597e+01  4.9230753487754277e-03  6.3875190293854144e-04
6.0499999999996497e+01  4.9319668023874927e-03  6.3474173085446579e-04
6.0999999999996398e+01  4.9546516261595314e-03  6.3059484867716929e-04
6.1499999999996298e+01  4.9930060116769098e-03  6.2615937761014383e-04
6.1999999999996199e+01  5.0486507564958703e-03  6.2130078158441620e-04
6.2499999999996099e+01  5.1229572479596953e-03  6.1589868029882067e-04
6.2999999999996000e+01  5.2171755122733358e-03  6.0991108053072530e-04
6.3499999999995900e+01  5.3326532479526408e-03  6.0330730955966184e-04
6.3999999999995801e+01  5.4709340862485354e-03  5.9605751286129899e-04
6.4499999999996106e+01  5.6336834925107791e-03  5.8824499980701184e-04
6.4999999999996305e+01  5.8225696502310857e-03  5.7986243272692048e-04
6.5499999999996604e+01  6.0391848136845949e-03  5.7096168824308843e-04
6.5999999999996902e+01  6.2849780291408790e-03  5.6161858856392151e-04
6.6499999999997101e+01  6.5611887642456797e-03  5.5194467285472058e-04
6.6999999999997399e+01  6.8688229008740855e-03  5.4199303719803789e-04
6.7499999999997598e+01  7.2086953591501447e-03  5.3172493459736621e-04
6.7999999999997897e+01  7.5815214311197344e-03  5.2107947041337679e-04
6.8499999999998096e+01  7.9880118295215241e-03  5.1005533457155789e-04
6.8999999999998394e+01  8.4289288640020683e-03  4.9875406475071587e-04
6.9499999999998593e+01  8.9050877665077400e-03  4.8728750980048610e-04
6.9999999999998906e+01  9.4173216459316270e-03  4.7574754419262027e-04
7.0499999999999204e+01  9.9664497627925692e-03  4.6414725825488827e-04
7.0999999999999403e+01  1.0553265758837558e-02  4.5248646369820060e-04
7.1499999999999702e+01  1.1178540004980298e-02  4.4077852549785694e-04
7.1999999999999901e+01  1.1843029986454069e-02  4.2908547931545078e-04
7.2500000000000199e+01  1.2547489718110299e-02  4.1743997765171471e-04
7.3000000000000398e+01  1.3292665554531236e-02  4.0591326458339126e-04
7.3500000000000696e+01  1.4079286746436319e-02  3.9450917249206921e-04
7.4000000000000995e+01  1.4908068395898661e-02  3.8328177171079977e-04
