time  net_outward_flux  psi4_boundary_amp
5.0499999999998501e+01  2.6222078929048868e-03  3.3523341876092632e-04
5.0999999999998401e+01  2.6734838840129188e-03  3.4079316967627681e-04
5.1499999999998302e+01  2.7177962090994649e-03  3.4998881662090726e-04
5.1999999999998202e+01  2.7530948400407524e-03  3.5478152543631011e-04
5.2499999999998103e+01  2.7784277042455568e-03  3.5353454767555516e-04
5.2999999999998003e+01  2.7876247124457004e-03  3.5269128204209733e-04
5.3499999999997897e+01  2.7724700257622664e-03  3.5240648414357586e-04
5.3999999999997797e+01  2.7338652153576655e-03  3.5006145991153624e-04
5.4499999999997698e+01  2.6798462702692328e-03  3.4463770604680643e-04
5.4999999999997598e+01  2.6161220230914847e-03  3.3678146457503060e-04
