# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
5.0199999999998603e+01  1.0413404119947727e-03  8.6286632519258488e-04  8.2040985413234435e-01  4.2816394165293774e+00  2.6908420007880929e-01
5.0399999999998499e+01  1.0780265611748487e-03  8.9119295535316058e-04  8.1846535752333249e-01  4.2738614300933300e+00  2.6325565417399049e-01
5.0599999999998502e+01  1.1144434901326494e-03  9.1938707427806875e-04  8.1672878374536428e-01  4.2669151349814571e+00  2.5761861840954997e-01
5.0799999999998498e+01  1.1514844981345752e-03  9.4797874051845356e-04  8.1507193154624935e-01  4.2602877261849974e+00  2.5270459334546469e-01
5.0999999999998401e+01  1.1887176256493138e-03  9.7671679340133755e-04  8.1356455267373173e-01  4.2542582106949265e+00  2.4839270397511309e-01
5.1199999999998397e+01  1.2251432288354742e-03  1.0049622125847290e-03  8.1228636004770360e-01  4.2491454401908140e+00  2.4414690981607795e-01
5.1399999999998300e+01  1.2597638855752396e-03  1.0317756997206054e-03  8.1111344525119156e-01  4.2444537810047667e+00  2.3953996856041099e-01
5.1599999999998303e+01  1.2919172047643997e-03  1.0566184318915597e-03  8.1003178723731317e-01  4.2401271489492522e+00  2.3452549499498415e-01
5.1799999999998299e+01  1.3220828716875757e-03  1.0800495601244668e-03  8.0913267831991997e-01  4.2365307132796799e+00  2.2912742258024274e-01
5.1999999999998202e+01  1.3505518912722398e-03  1.1020775420816026e-03  8.0827857092469246e-01  4.2331142836987699e+00  2.2359915798831509e-01
5.2199999999998198e+01  1.3776687821028012e-03  1.1229351729583712e-03  8.0744598360209463e-01  4.2297839344083785e+00  2.1814355541550157e-01
5.2399999999998101e+01  1.4031188209190023e-03  1.1427903732766770e-03  8.0686911458728150e-01  4.2274764583491260e+00  2.1299524965085068e-01
5.2599999999998097e+01  1.4274375029064844e-03  1.1616407352311477e-03  8.0629120263110710e-01  4.2251648105244284e+00  2.0802477687739190e-01
5.2799999999998100e+01  1.4501184982690124e-03  1.1790948724864740e-03  8.0572498804112902e-01  4.2228999521645161e+00  2.0328532227906312e-01
5.2999999999998003e+01  1.4705974538657875e-03  1.1951970598846062e-03  8.0542342556240309e-01  4.2216937022496124e+00  1.9879821089826033e-01
5.3199999999997999e+01  1.4899121861835266e-03  1.2102145971788179e-03  8.0507620879947561e-01  4.2203048351979024e+00  1.9420008955765708e-01
5.3399999999997902e+01  1.5066212934390392e-03  1.2230626143207861e-03  8.0473733630567579e-01  4.2189493452227032e+00  1.8974643732680244e-01
5.3599999999997898e+01  1.5214299901198454e-03  1.2346893463483720e-03  8.0458419500108469e-01  4.2183367800043392e+00  1.8520253206170506e-01
5.3799999999997901e+01  1.5336804336590290e-03  1.2443450721221485e-03  8.0451225638481616e-01  4.2180490255392646e+00  1.8068489931242013e-01
5.3999999999997797e+01  1.5436017845308543e-03  1.2521026726449033e-03  8.0446497961989416e-01  4.2178599184795766e+00  1.7612710520331637e-01
5.4199999999997800e+01  1.5512621071134287e-03  1.2581980907131066e-03  8.0452851231056866e-01  4.2181140492422742e+00  1.7152046889611081e-01
5.4399999999997704e+01  1.5561380195345980e-03  1.2622802886405843e-03  8.0473501353453414e-01  4.2189400541381366e+00  1.6698106615038980e-01
5.4599999999997699e+01  1.5591040499274634e-03  1.2647016271323842e-03  8.0491763979159137e-01  4.2196705591663655e+00  1.6231321301495363e-01
5.4799999999997702e+01  1.5595443399293862e-03  1.2651210529090449e-03  8.0515265192727825e-01  4.2206106077091130e+00  1.5765486533945661e-01
