# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
5.0199999999998603e+01  -1.3268664527990338e-02  -6.5498764045953881e-14  1.3449524237616004e-02  -2.4703800609966395e-15
5.0399999999998499e+01  -1.3759631373513366e-02  -5.3433918124597482e-14  1.3577138114949596e-02  6.8161927111679704e-15
5.0599999999998502e+01  -1.4226007700181080e-02  1.3325198759618802e-13  1.3701549301954927e-02  7.4955300755248644e-15
5.0799999999998498e+01  -1.4682152710427571e-02  -1.7656807683704215e-13  1.3836358322988268e-02  -7.9208591996591388e-15
5.0999999999998401e+01  -1.5122665106502491e-02  2.4188691245027438e-13  1.3975175863619958e-02  5.4338857632257875e-15
5.1199999999998397e+01  -1.5539755089794072e-02  -3.8698474390524030e-13  1.4102372749068245e-02  5.7707338256898777e-15
5.1399999999998300e+01  -1.5942993572479511e-02  2.3867191758380774e-13  1.4205498281096754e-02  -1.7192871475460447e-14
5.1599999999998303e+01  -1.6329343789383839e-02  7.7866463209469265e-14  1.4281069256291785e-02  5.5320484114830884e-15
5.1799999999998299e+01  -1.6692556404238865e-02  -3.3650087297637304e-13  1.4332621007644526e-02  7.3798084342709819e-15
5.1999999999998202e+01  -1.7044835062231454e-02  3.5825301152229527e-13  1.4367362990492771e-02  -1.5917239856895471e-14
5.2199999999998198e+01  -1.7388042805667976e-02  -2.9660964520246966e-13  1.4391734161055058e-02  1.6979012596937682e-14
5.2399999999998101e+01  -1.7692470563744758e-02  1.8164560016924853e-13  1.4409446574310116e-02  -3.5488986424060676e-15
5.2599999999998097e+01  -1.7989317245162464e-02  -1.5206879826142094e-13  1.4421400894421023e-02  -1.4363256271203786e-14
5.2799999999998100e+01  -1.8273600183352272e-02  1.1209691961017003e-13  1.4426419611257672e-02  2.2919237715373145e-14
5.2999999999998003e+01  -1.8514492175366454e-02  -1.4985560027310028e-13  1.4422660799559495e-02  -1.7688334927627378e-14
5.3199999999997999e+01  -1.8756352862555430e-02  6.4690633627901076e-15  1.4408096139990809e-02  1.0158652483669220e-14
5.3399999999997902e+01  -1.8981669958612047e-02  2.7623562142667542e-13  1.4380971924079897e-02  6.1494591970662205e-17
5.3599999999997898e+01  -1.9179349419426943e-02  -8.2692999244459407e-13  1.4339897521510554e-02  -1.4057460436586039e-14
5.3799999999997901e+01  -1.9355355664250576e-02  1.2022805541661141e-12  1.4284249284823282e-02  2.4158023400732559e-14
5.3999999999997797e+01  -1.9518056268144783e-02  -1.2338926030279560e-12  1.4214165697663289e-02  -2.4706341708808158e-14
5.4199999999997800e+01  -1.9658927510449287e-02  7.4898914110763104e-13  1.4129878355547678e-02  3.2953986219518006e-15
5.4399999999997704e+01  -1.9769126977791866e-02  -6.8292309199184664e-14  1.4031962270932686e-02  8.4464600840893772e-15
5.4599999999997699e+01  -1.9875134758095131e-02  -4.9727442216068729e-13  1.3920586240298561e-02  -1.2815625432616509e-14
5.4799999999997702e+01  -1.9962776532072582e-02  8.3427775592840453e-13  1.3796123432236570e-02  1.4892668803896669e-14
