# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1355930769e-01    2.4429988965e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2138880726e-01    9.2138880726e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.1361492488e-01    2.6207634445e-08    5.5529122711e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2121989093e-01    9.2121989093e-01   -6.7252039171e-06    6.7252039168e-06
   0.1000000    2.1366744066e-01    2.7968208016e-08    1.0149688160e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2106039121e-01    9.2106039121e-01   -1.3453993191e-05    1.3453993190e-05
   0.1500000    2.1371714486e-01    2.9712743554e-08    1.3967555132e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2090942447e-01    9.2090942447e-01   -2.0188151030e-05    2.0188151030e-05
   0.2000000    2.1376429224e-01    3.1442167766e-08    1.7149505329e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2076621317e-01    9.2076621317e-01   -2.6933493068e-05    2.6933493067e-05
   0.2500000    2.1380910653e-01    3.3157296456e-08    1.9816057289e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2063007349e-01    9.2063007349e-01   -3.3691598932e-05    3.3691598932e-05
   0.3000000    2.1385178329e-01    3.4858819940e-08    2.2056740874e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2050040639e-01    9.2050040639e-01   -4.0462119812e-05    4.0462119812e-05
   0.3500000    2.1389249175e-01    3.6547277672e-08    2.3952840503e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2037669162e-01    9.2037669162e-01   -4.7249482108e-05    4.7249482108e-05
   0.4000000    2.1393137578e-01    3.8223024084e-08    2.5561841795e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2025848406e-01    9.2025848406e-01   -5.4060136706e-05    5.4060136705e-05
   0.4500000    2.1396855422e-01    3.9886189536e-08    2.6941435697e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.2014541172e-01    9.2014541172e-01   -6.0888454771e-05    6.0888454771e-05
