# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    2.9564416062e-12   -1.9593388708e-04    1.4380103635e-07   -4.6187635602e-05   -1.3288941131e-13   -1.4658566212e-05    3.7705845003e-13   -7.7311630466e-06
   0.0600000    2.9581387929e-12   -1.9856997652e-04    1.4415539352e-07   -4.6089668737e-05    2.7355704566e-13   -1.4668578436e-05    3.8190674405e-13   -7.8920749424e-06
   0.1100000    2.9475645778e-12   -2.0239369878e-04    1.3387474558e-07   -4.5979828799e-05    8.3229523960e-13   -1.4840195583e-05    3.8442470749e-13   -8.0511394425e-06
   0.1600000    2.9309179960e-12   -2.0601887229e-04    8.1999958006e-08   -4.5928848054e-05    1.3959744153e-12   -1.5144839197e-05    3.9200860853e-13   -8.1731667159e-06
   0.2100000    2.9137151305e-12   -2.0831572632e-04   -3.0494442650e-09   -4.6016746277e-05    1.8063554733e-12   -1.5541245187e-05    4.1253596630e-13   -8.2416590836e-06
   0.2600000    2.8881333718e-12   -2.0876280091e-04   -7.0756087537e-08   -4.6266668569e-05    1.8040593378e-12   -1.5980950981e-05    4.5046942210e-13   -8.2544575229e-06
   0.3100000    2.8939765948e-12   -2.0752759710e-04   -7.2620653037e-08   -4.6613405039e-05    1.1582731252e-12   -1.6414267052e-05    4.9895933457e-13   -8.2187562379e-06
   0.3600000    2.8811475795e-12   -2.0528817701e-04   -9.2584822933e-09   -4.6924532019e-05   -1.1455474149e-13   -1.6796004292e-05    5.4726040183e-13   -8.1465101215e-06
   0.4100000    2.8477455172e-12   -2.0290436274e-04    6.6721893496e-08   -4.7062980810e-05   -1.6541453834e-12   -1.7090299421e-05    5.8431673577e-13   -8.0507707241e-06
   0.4600000    2.8234877620e-12   -2.0108550566e-04    9.5551680430e-08   -4.6958020093e-05   -2.8030402245e-12   -1.7274020993e-05    5.9928236938e-13   -7.9431411473e-06
   0.5100000    2.8239415988e-12   -2.0017642943e-04    6.0336448299e-08   -4.6647405362e-05   -2.9700086875e-12   -1.7338433878e-05    5.7366104926e-13   -7.8323132230e-06
   0.5600000    2.7963990603e-12   -2.0011547680e-04   -3.5786939842e-09   -4.6267892936e-05   -1.9596647570e-12   -1.7289028523e-05    5.1649188772e-13   -7.7235164108e-06
   0.6100000    2.7678468397e-12   -2.0054387997e-04   -4.5389002455e-08   -4.5996813338e-05   -1.5415554289e-13   -1.7143651801e-05    4.5265579442e-13   -7.6186462319e-06
   0.6600000    2.7483297893e-12   -2.0099512231e-04   -4.4243753210e-08   -4.5971637409e-05    1.6466070967e-12   -1.6929282847e-05    4.0743704061e-13   -7.5168307744e-06
   0.7100000    2.7666395936e-12   -2.0108061419e-04   -2.1294866469e-08   -4.6225828131e-05    2.5645679545e-12   -1.6677949530e-05    4.1672457447e-13   -7.4152193074e-06
   0.7600000    2.7687366916e-12   -2.0060888706e-04   -1.1858196468e-08   -4.6671921627e-05    2.1664969758e-12   -1.6422362057e-05    5.0118213399e-13   -7.3098212565e-06
   0.8100000    2.7098162650e-12   -1.9961323520e-04   -2.9414948383e-08   -4.7139927722e-05    6.4245321765e-13   -1.6191838232e-05    6.8151823376e-13   -7.1962755646e-06
   0.8600000    2.6605702312e-12   -1.9829947270e-04   -5.6916728632e-08   -4.7452227710e-05   -1.2545634737e-12   -1.6009015552e-05    9.6334067050e-13   -7.0704780923e-06
   0.9100000    2.5911493083e-12   -1.9694883124e-04   -6.9634234285e-08   -4.7499067104e-05   -2.5735931810e-12   -1.5887701912e-05    1.3569733848e-12   -6.9290364457e-06
   0.9600000    2.4728352542e-12   -1.9581672365e-04   -6.2134299719e-08   -4.7279953124e-05   -2.7102680710e-12   -1.5832036091e-05    1.8635250684e-12   -6.7695506108e-06
   1.0100000    2.3203883491e-12   -1.9505932046e-04   -5.1627029001e-08   -4.6894202157e-05   -1.6770262424e-12   -1.5836940584e-05    2.4809426045e-12   -6.5907379514e-06
   1.0600000    2.4130042650e-12   -1.9470393210e-04   -5.7458455667e-08   -4.6488571082e-05   -4.5153305304e-14   -1.5889679847e-05    3.1857207259e-12   -6.3924310857e-06
   1.1100000    2.9158152229e-12   -1.9466314135e-04   -8.0573222968e-08   -4.6188964913e-05    1.3512545165e-12   -1.5972213178e-05    3.9230315815e-12   -6.1754810624e-06
   1.1600000    3.6170947462e-12   -1.9478061810e-04   -1.0367423334e-07   -4.6048194459e-05    1.8481888294e-12   -1.6063962730e-05    4.5957883937e-12   -5.9415968180e-06
   1.2100000    3.3252568352e-12   -1.9488990993e-04   -1.0950844691e-07   -4.6031704124e-05    1.3372714855e-12   -1.6144609882e-05    5.0782280486e-12   -5.6931487361e-06
   1.2600000    9.7198286536e-13   -1.9486642208e-04   -9.7150876588e-08   -4.6044210139e-05    2.2683040268e-13   -1.6196577142e-05    5.2633530032e-12   -5.4329587112e-06
   1.3100000   -1.9344818567e-12   -1.9465709861e-04   -8.0847109541e-08   -4.5981654695e-05   -7.9189493276e-13   -1.6206935878e-05    5.0649455268e-12   -5.1640945930e-06
   1.3600000    3.9615920379e-13   -1.9428095380e-04   -7.5325221047e-08   -4.5782771148e-05   -1.1793486057e-12   -1.6168582901e-05    4.4966448288e-12   -4.8896820466e-06
   1.4100000    1.3623286364e-11   -1.9380410179e-04   -8.4236040010e-08   -4.5456494044e-05   -8.1458441094e-13   -1.6080634989e-05    3.6560069109e-12   -4.6127426311e-06
   1.4600000    3.3565633025e-11   -1.9330175806e-04   -1.0210573829e-07   -4.5074004593e-05   -4.0318943558e-14   -1.5948085615e-05    2.7125636614e-12   -4.3360635620e-06
   1.5100000    4.0561121534e-11   -1.9282344608e-04   -1.2373360361e-07   -4.4731556796e-05    5.8572911345e-13   -1.5780842657e-05    1.8914734194e-12   -4.0621015442e-06
   1.5600000    1.0556448957e-11   -1.9237472279e-04   -1.4794808221e-07   -4.4504091318e-05    6.3426858801e-13   -1.5592316631e-05    1.3928150935e-12   -3.7929203173e-06
   1.6100000   -5.9167659124e-11   -1.9192046974e-04   -1.7235842634e-07   -4.4412946527e-05    4.3585454495e-14   -1.5397754635e-05    1.3297586970e-12   -3.5301602370e-06
