# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.4376830595e-09   -6.8166479683e-10   -1.4352910748e-10   -5.4670956475e-11    3.0691313440e-11    1.8747065842e-09   -8.7453560190e-11    1.2842806438e-10
   0.0600000   -1.8203825391e-09   -3.7282067888e-10   -2.2575835822e-10   -1.2692613279e-10    1.6402059222e-10    1.6852548422e-09   -5.4164806549e-11    6.2599623195e-10
   0.1100000   -2.3067873694e-09   -1.3324391639e-10   -2.3448367054e-10   -1.8201943617e-10    6.9456661264e-11    1.4953670026e-09   -4.0042877004e-11    8.5414938496e-10
   0.1600000   -2.8748513416e-09   -7.2414617350e-11   -1.6152939193e-10   -1.7797300369e-10   -2.2171829981e-10    1.2547201955e-09   -3.9423623531e-11    8.6410012564e-10
   0.2100000   -3.4496060089e-09   -2.6029428320e-10   -1.2630647884e-12   -4.2843905013e-11   -6.5545520065e-10    9.1284096155e-10   -4.7502098893e-11    7.0238509863e-10
   0.2600000   -3.9103341830e-09   -6.9680291729e-10    2.4072088685e-10    2.9192562318e-10   -1.1610974587e-09    4.5181983031e-10   -6.0595500422e-11    4.1003963752e-10
   0.3100000   -4.1272213792e-09   -1.3048950066e-09    5.3034977795e-10    8.3296147341e-10   -1.6597180849e-09   -9.3144185485e-11   -7.6063532061e-11    2.2415006036e-11
   0.3600000   -4.0145461098e-09   -1.9508198831e-09    7.9409415703e-10    1.4760287030e-09   -2.0743187726e-09   -6.3333763279e-10   -9.2108349847e-11   -4.3064124840e-10
   0.4100000   -3.5651440926e-09   -2.4907628815e-09    9.2538458451e-10    2.0119848972e-09   -2.3408394495e-09   -1.0475654360e-09   -1.0758045968e-10   -9.2440187014e-10
   0.4600000   -2.8467711828e-09   -2.8248553561e-09    8.1075610317e-10    2.2105563646e-09   -2.4182136747e-09   -1.2183409718e-09   -1.2179204242e-10   -1.4388044792e-09
   0.5100000   -1.9740139285e-09   -2.9268114915e-09    3.7191981936e-10    1.9537113868e-09   -2.2954226607e-09   -1.0714969756e-09   -1.3438622881e-10   -1.9579516012e-09
   0.5600000   -1.0792635263e-09   -2.8334801602e-09   -3.8400601697e-10    1.3375666195e-09   -1.9938114443e-09   -6.0592450033e-10   -1.4523775828e-10   -2.4695824889e-09
   0.6100000   -2.8953837057e-10   -2.6100273946e-09   -1.3210222465e-09    6.5347012681e-10   -1.5637484478e-09    9.7033807708e-11   -1.5436221491e-10   -2.9645870451e-09
   0.6600000    2.9495019779e-10   -2.3202570028e-09   -2.1636011184e-09    2.2955909574e-10   -1.0758069375e-09    8.8877092552e-10   -1.6186902577e-10   -3.4364934895e-09
   0.7100000    6.1800079271e-10   -2.0165564620e-09   -2.5525296549e-09    2.3308878645e-10   -6.0815390858e-10    1.5895455232e-09   -1.6789127941e-10   -3.8810589320e-09
   0.7600000    6.7193779312e-10   -1.7422473724e-09   -2.1831091593e-09    5.9235548722e-10   -2.3249347059e-10    2.0353867413e-09   -1.7258958843e-10   -4.2958240314e-09
   0.8100000    4.8865768230e-10   -1.5334449416e-09   -9.8656203702e-10    1.1084521122e-09   -1.5623073357e-12    2.1218071019e-09   -1.7610095938e-10   -4.6797788355e-09
   0.8600000    1.2563282409e-10   -1.4149591955e-09    7.5045619956e-10    1.6521174821e-09    5.9234697526e-11    1.8314298865e-09   -1.7854816031e-10   -5.0330246524e-09
   0.9100000   -3.4652323793e-10   -1.3919094622e-09    2.4412798409e-09    2.2578712787e-09   -4.5549013686e-11    1.2372667125e-09   -1.8003088551e-10   -5.3564993160e-09
   0.9600000   -8.5541035844e-10   -1.4433574756e-09    3.4486930603e-09    3.0327512090e-09   -2.8481450192e-10    4.8090185139e-10   -1.8063751975e-10   -5.6517219602e-09
   1.0100000   -1.3378802936e-09   -1.5263995302e-09    3.4036176430e-09    3.9768198028e-09   -6.0919418324e-10   -2.6762639342e-10   -1.8045271351e-10   -5.9206006555e-09
   1.0600000   -1.7478263359e-09   -1.5941509121e-09    2.3937477565e-09    4.8784295680e-09   -9.6197370273e-10   -8.5613754362e-10   -1.7957268910e-10   -6.1652438583e-09
   1.1100000   -2.0581315578e-09   -1.6200209018e-09    8.9743524130e-10    5.3610388978e-09   -1.2899767394e-09   -1.1890487535e-09   -1.7810872776e-10   -6.3878050676e-09
   1.1600000   -2.2582334019e-09   -1.6109489491e-09   -4.9124701665e-10    5.0497894791e-09   -1.5520576827e-09   -1.2476017030e-09   -1.7619995961e-10   -6.5903786618e-09
   1.2100000   -2.3504922672e-09   -1.5991624368e-09   -1.3666124351e-09    3.7869643485e-09   -1.7236433579e-09   -1.0865827844e-09   -1.7402161115e-10   -6.7748828134e-09
   1.2600000   -2.3462482495e-09   -1.6203638261e-09   -1.6645696181e-09    1.8115843430e-09   -1.7971146130e-09   -8.0991742996e-10   -1.7176913335e-10   -6.9430178480e-09
   1.3100000   -2.2616629605e-09   -1.6941384895e-09   -1.5999422819e-09   -2.1583426668e-10   -1.7788545566e-09   -5.3386751277e-10   -1.6967501833e-10   -7.0962150740e-09
   1.3600000   -2.1147604947e-09   -1.8180432972e-09   -1.4611988000e-09   -1.4383944408e-09   -1.6844966163e-09   -3.4998927559e-10   -1.6798199115e-10   -7.2356244510e-09
   1.4100000   -1.9253583724e-09   -1.9730281545e-09   -1.4080771567e-09   -1.2155095510e-09   -1.5340904588e-09   -2.9945561920e-10   -1.6694922019e-10   -7.3621186516e-09
   1.4600000   -1.7160833674e-09   -2.1327862089e-09   -1.3932654096e-09    5.1865947139e-10   -1.3485717396e-09   -3.6612697067e-10   -1.6682163908e-10   -7.4763221692e-09
   1.5100000   -1.5117205670e-09   -2.2712030804e-09   -1.2359100121e-09    3.1881347287e-09   -1.1479651834e-09   -4.8939716115e-10   -1.6783056584e-10   -7.5786601699e-09
   1.5600000   -1.3359118737e-09   -2.3664669470e-09   -7.7539266449e-10    5.8273651127e-09   -9.5116551832e-10   -5.9126680172e-10   -1.7016645221e-10   -7.6693885844e-09
   1.6100000   -1.2074455258e-09   -2.4037660687e-09    6.0540326765e-12    7.4850777850e-09   -7.7633665197e-10   -6.0794509305e-10   -1.7397163715e-10   -7.7486530810e-09
   1.6600000   -1.1372365018e-09   -2.3769391028e-09    9.6200915956e-10    7.5956130470e-09   -6.4103946026e-10   -5.1473651880e-10   -1.7933489915e-10   -7.8165518891e-09
   1.7100000   -1.1264234728e-09   -2.2897792823e-09    1.8506307443e-09    6.2146943170e-09   -5.6116600784e-10   -3.3617377533e-10   -1.8626932149e-10   -7.8731474751e-09
   1.7600000   -1.1666514343e-09   -2.1571329118e-09    2.4311013071e-09    4.0392666854e-09   -5.4871591445e-10   -1.3811419194e-10   -1.9471377679e-10   -7.9185433266e-09
   1.8100000   -1.2429056229e-09   -2.0070181755e-09    2.5358203601e-09    2.1349862861e-09   -6.0878232359e-10   -4.8910245890e-12   -2.0453081325e-10   -7.9528882371e-09
   1.8600000   -1.3382162922e-09   -1.8824247925e-09    2.1076983330e-09    1.4282922950e-09   -7.3685640403e-10   -9.6128419718e-12   -2.1550271671e-10   -7.9764104030e-09
   1.9100000   -1.4365867602e-09   -1.8345703904e-09    1.2160738905e-09    2.2338592637e-09   -9.1753152934e-10   -1.8769993412e-10   -2.2734965490e-10   -7.9894346831e-09
   1.9600000   -1.5224713289e-09   -1.8974133625e-09    5.5535292607e-11    4.1278111077e-09   -1.1256168406e-09   -5.2263120736e-10   -2.3972426977e-10   -7.9923917073e-09
   2.0100000   -1.5796676568e-09   -2.0518396739e-09   -1.0861688295e-09    6.2292483265e-09   -1.3296977141e-09   -9.4860506513e-10   -2.5224224605e-10   -7.9858235922e-09
   2.0600000   -1.5963821662e-09   -2.2152490390e-09   -1.9055764245e-09    7.6535884325e-09   -1.4977832734e-09   -1.3692869537e-09   -2.6448718995e-10   -7.9703771241e-09
   2.1100000   -1.5759502151e-09   -2.2913030713e-09   -2.1911550181e-09    7.8560861335e-09   -1.6036536409e-09   -1.6864453481e-09   -2.7603221182e-10   -7.9468167997e-09
