# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    3.3371882140e-03    3.6609595744e-06
   0.0500000    3.8263812611e-03    1.0265832661e-05
   0.1000000    3.8263220462e-03    1.7459332400e-05
   0.1500000    3.8262697404e-03    2.3574640206e-05
   0.2000000    3.8262261750e-03    2.8652351132e-05
   0.2500000    3.8261958418e-03    3.2846210021e-05
   0.3000000    3.8261843616e-03    3.6303073075e-05
   0.3500000    3.8261975131e-03    3.9149350859e-05
   0.4000000    3.8262406617e-03    4.1491128911e-05
   0.4500000    3.8263184487e-03    4.3416650831e-05
   0.5000000    3.8264346466e-03    4.4999018934e-05
   0.5500000    3.8265921153e-03    4.6298677996e-05
   0.6000000    3.8267928223e-03    4.7365577438e-05
   0.6500000    3.8270379033e-03    4.8240966419e-05
   0.7000000    3.8273277441e-03    4.8958870119e-05
   0.7500000    3.8276620716e-03    4.9547351651e-05
   0.8000000    3.8280400383e-03    5.0029592768e-05
   0.8500000    3.8284602960e-03    5.0424758561e-05
   0.9000000    3.8289210609e-03    5.0748674089e-05
   0.9500000    3.8294201793e-03    5.1014404995e-05
   1.0000000    3.8299551962e-03    5.1232771075e-05
   1.0500000    3.8305234252e-03    5.1412750771e-05
   1.1000000    3.8311220094e-03    5.1561783519e-05
   1.1500000    3.8317479759e-03    5.1686032183e-05
   1.2000000    3.8323982860e-03    5.1790619160e-05
   1.2500000    3.8330698864e-03    5.1879809016e-05
   1.3000000    3.8337597601e-03    5.1957154982e-05
   1.3500000    3.8344649740e-03    5.2025639700e-05
   1.4000000    3.8351827179e-03    5.2087783408e-05
   1.4500000    3.8359103353e-03    5.2145695589e-05
   1.5000000    3.8366453486e-03    5.2201118551e-05
   1.5500000    3.8373854815e-03    5.2255505889e-05
   1.6000000    3.8381286756e-03    5.2310097939e-05
   1.6500000    3.8388731011e-03    5.2365950001e-05
   1.7000000    3.8396171635e-03    5.2423938143e-05
   1.7500000    3.8403595052e-03    5.2484782564e-05
   1.8000000    3.8410990026e-03    5.2549082978e-05
   1.8500000    3.8418347613e-03    5.2617344970e-05
   1.9000000    3.8425661112e-03    5.2689995813e-05
   1.9500000    3.8432926010e-03    5.2767393110e-05
   2.0000000    3.8440139907e-03    5.2849827049e-05
   2.0500000    3.8447302443e-03    5.2937525540e-05
   2.1000000    3.8454415215e-03    5.3030669051e-05
   2.1500000    3.8461481714e-03    5.3129405225e-05
   2.2000000    3.8468507251e-03    5.3233852111e-05
   2.2500000    3.8475498902e-03    5.3344094134e-05
   2.3000000    3.8482465430e-03    5.3460180215e-05
   2.3500000    3.8489417224e-03    5.3582127326e-05
   2.4000000    3.8496366251e-03    5.3709928965e-05
   2.4500000    3.8503326005e-03    5.3843564991e-05
   2.5000000    3.8510311465e-03    5.3983005833e-05
   2.5500000    3.8517339050e-03    5.4128209172e-05
   2.6000000    3.8524426578e-03    5.4279116304e-05
   2.6500000    3.8531593240e-03    5.4435653524e-05
   2.7000000    3.8538859572e-03    5.4597734510e-05
   2.7500000    3.8546247435e-03    5.4765259877e-05
   2.8000000    3.8553779991e-03    5.4938117668e-05
   2.8500000    3.8561481687e-03    5.5116187764e-05
   2.9000000    3.8569378243e-03    5.5299345462e-05
   2.9500000    3.8577496653e-03    5.5487459485e-05
   3.0000000    3.8585865187e-03    5.5680388129e-05
   3.0500000    3.8594513391e-03    5.5877980835e-05
   3.1000000    3.8603472102e-03    5.6080086062e-05
   3.1500000    3.8612773462e-03    5.6286558565e-05
   3.2000000    3.8622450952e-03    5.6497259428e-05
   3.2500000    3.8632539420e-03    5.6712050315e-05
   3.3000000    3.8643075121e-03    5.6930789406e-05
