# time  P_total  P_z_beam  beam_ratio  beaming_gain  wavezone_std
0.0000000000000000e+00  2.1840419517287860e-05  1.6673913532222529e-05  8.0395184903389572e-01  4.2158073961355829e+00  7.6267245273033590e-01
5.0000000000000000e-01  2.0817216918145326e-05  1.5891101393483515e-05  8.0794134689730512e-01  4.2317653875892205e+00  7.5276522810769131e-01
1.0000000000000000e+00  1.9695892362480615e-05  1.5030307293798085e-05  8.0744010530511101e-01  4.2297604212204440e+00  7.4894600812988787e-01
1.5000000000000000e+00  1.8470922255576118e-05  1.4086586779529722e-05  8.0682935681743539e-01  4.2273174272697416e+00  7.4450140283632138e-01
2.0000000000000000e+00  1.7149255582194522e-05  1.3065940552965108e-05  8.0587898113119594e-01  4.2235159245247837e+00  7.3948293783363472e-01
2.4999999999999898e+00  1.5729762281691367e-05  1.1969927673492563e-05  8.0463714327372327e-01  4.2185485730948926e+00  7.3352859761513900e-01
2.9999999999999800e+00  1.4215300052745520e-05  1.0798534838702400e-05  8.0420390984726997e-01  4.2168156393890799e+00  7.2435157620721669e-01
3.4999999999999698e+00  1.2615753455722261e-05  9.5621384680150735e-06  8.0452516478477376e-01  4.2181006591390950e+00  7.1133618037167146e-01
3.9999999999999600e+00  1.0948674959544884e-05  8.2745114082600044e-06  8.0474648695444795e-01  4.2189859478177922e+00  6.9492094772185997e-01
4.4999999999999503e+00  9.2286385247543654e-06  6.9468404984134964e-06  8.0416901063786783e-01  4.2166760425514713e+00  6.7485991334329631e-01
4.9999999999999396e+00  7.4995221137853444e-06  5.6170868995120094e-06  8.0280129807409062e-01  4.2112051922963625e+00  6.4969022464433723e-01
5.4999999999999298e+00  5.7933555344639159e-06  4.3101701478032185e-06  8.0062583225889172e-01  4.2025033290355669e+00  6.1592195085034696e-01
5.9999999999999201e+00  4.1739964891895817e-06  3.0763092457110711e-06  7.9744716514258163e-01  4.1897886605703265e+00  5.6825585251715016e-01
6.4999999999999103e+00  2.7183051797522298e-06  1.9804216828269437e-06  7.9339240226051477e-01  4.1735696090420591e+00  4.9756004199194120e-01
6.9999999999998996e+00  1.5158644595039271e-06  1.0922414451659172e-06  7.8886354506262890e-01  4.1554541802505156e+00  3.8600171691412422e-01
