# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.7448020467e-03    5.0444601093e-04   -2.1730038611e-04    1.1172850657e-04   -4.6139881566e-05    3.4325044228e-05   -2.0051179008e-05    1.7768746741e-05
   0.0600000   -1.7424005822e-03    5.0626553278e-04   -2.1708854772e-04    1.1223092537e-04   -4.6105819563e-05    3.4384861336e-05   -2.0043912993e-05    1.7856438901e-05
   0.1100000   -1.7400169528e-03    5.0827217898e-04   -2.1687385838e-04    1.1255386014e-04   -4.6069410102e-05    3.4501621892e-05   -2.0030620854e-05    1.7971133105e-05
   0.1600000   -1.7375887874e-03    5.1025353348e-04   -2.1665376696e-04    1.1276206400e-04   -4.6031710856e-05    3.4667806480e-05   -2.0011203795e-05    1.8111454409e-05
   0.2100000   -1.7350671805e-03    5.1205729730e-04   -2.1643721139e-04    1.1296259337e-04   -4.5994054977e-05    3.4870980830e-05   -1.9985077434e-05    1.8281660720e-05
   0.2600000   -1.7324438144e-03    5.1364443470e-04   -2.1624103713e-04    1.1323651116e-04   -4.5957837048e-05    3.5095544731e-05   -1.9951730550e-05    1.8488054853e-05
   0.3100000   -1.7297506994e-03    5.1507960715e-04   -2.1607553058e-04    1.1359678749e-04   -4.5924211206e-05    3.5324729799e-05   -1.9911077308e-05    1.8736008960e-05
   0.3600000   -1.7270409022e-03    5.1647668458e-04   -2.1592923868e-04    1.1399119554e-04   -4.5893838908e-05    3.5542594716e-05   -1.9863651167e-05    1.9027799498e-05
   0.4100000   -1.7243659684e-03    5.1793436369e-04   -2.1576642067e-04    1.1434368078e-04   -4.5866732713e-05    3.5735782863e-05   -1.9810611628e-05    1.9361325274e-05
   0.4600000   -1.7217597057e-03    5.1949428887e-04   -2.1554312169e-04    1.1460798142e-04   -4.5842225290e-05    3.5894850511e-05   -1.9753592893e-05    1.9729674849e-05
   0.5100000   -1.7192283851e-03    5.2113637574e-04   -2.1523452485e-04    1.1480260685e-04   -4.5819070740e-05    3.6015037599e-05   -1.9694457209e-05    2.0121426348e-05
   0.5600000   -1.7167447259e-03    5.2280464991e-04   -2.1485638657e-04    1.1500794942e-04   -4.5795660298e-05    3.6096428615e-05   -1.9635025466e-05    2.0521507572e-05
   0.6100000   -1.7142483680e-03    5.2444327014e-04   -2.1446464268e-04    1.1532736493e-04   -4.5770312231e-05    3.6143528053e-05   -1.9576847422e-05    2.0912418302e-05
   0.6600000   -1.7116602591e-03    5.2602213620e-04   -2.1412990359e-04    1.1583320629e-04   -4.5741580571e-05    3.6164344138e-05   -1.9521051996e-05    2.1275617768e-05
   0.7100000   -1.7089134547e-03    5.2754210840e-04   -2.1389976579e-04    1.1652629236e-04   -4.5708521703e-05    3.6169127618e-05   -1.9468292354e-05    2.1592902908e-05
   0.7600000   -1.7059890512e-03    5.2902327808e-04   -2.1377093142e-04    1.1732979614e-04   -4.5670864653e-05    3.6168943940e-05   -1.9418777468e-05    2.1847639650e-05
   0.8100000   -1.7029349664e-03    5.3048777170e-04   -2.1368857473e-04    1.1812048197e-04   -4.5629048671e-05    3.6174264775e-05   -1.9372366719e-05    2.2025752965e-05
   0.8600000   -1.6998495576e-03    5.3194797305e-04   -2.1357450440e-04    1.1878123586e-04   -4.5584117412e-05    3.6193748890e-05   -1.9328696920e-05    2.2116424108e-05
   0.9100000   -1.6968326323e-03    5.3340446594e-04   -2.1336825088e-04    1.1924866297e-04   -4.5537488440e-05    3.6233346363e-05   -1.9287312199e-05    2.2112482448e-05
   0.9600000   -1.6939298371e-03    5.3485109077e-04   -2.1305731760e-04    1.1953308634e-04   -4.5490643386e-05    3.6295810351e-05   -1.9247773894e-05    2.2010508946e-05
   1.0100000   -1.6911045928e-03    5.3628153047e-04   -2.1267954931e-04    1.1970324274e-04   -4.5444802443e-05    3.6380643567e-05   -1.9209736274e-05    2.1810690664e-05
