# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.4140052221e-09    6.7368291523e-10   -9.7036888183e-11    2.7337372672e-11    3.6176254436e-11   -1.8758354707e-09   -8.5712920834e-11   -1.2867127068e-10
   0.0600000   -1.7974000601e-09    3.6088533243e-10   -1.0054956301e-10   -8.6697458839e-11    1.6979512087e-10   -1.6881754269e-09   -5.2435498740e-11   -6.2622083038e-10
   0.1100000   -2.2838708267e-09    9.8269617786e-11   -1.0218883431e-10   -2.0090961745e-10    7.7836508269e-11   -1.5163499117e-09   -3.8344105940e-11   -8.5446447706e-10
   0.1600000   -2.8455087387e-09   -1.7309197554e-11   -1.0099462084e-10   -3.1457573180e-10   -2.0489239056e-10   -1.3350319797e-09   -3.7779502025e-11   -8.6480719877e-10
   0.2100000   -3.4016397019e-09    8.5928878903e-11   -9.5195402370e-11   -4.2560071863e-10   -6.2199418418e-10   -1.1107400378e-09   -4.5904872357e-11   -7.0405073032e-10
   0.2600000   -3.8389461579e-09    4.3408453459e-10   -7.8160223909e-11   -5.3171835847e-10   -1.1041595080e-09   -8.1670639456e-10   -5.8989402945e-11   -4.1352975255e-10
   0.3100000   -4.0464684411e-09    9.9847400727e-10   -3.9828588853e-11   -6.3378596216e-10   -1.5785892835e-09   -4.4559543988e-10   -7.4365276558e-11   -2.8912114846e-11
   0.3600000   -3.9509060258e-09    1.6975706205e-09    2.1394188139e-11   -7.3884697835e-10   -1.9781085928e-09   -1.7015327691e-11   -9.0247919877e-11    4.1965882608e-10
   0.4100000   -3.5394660864e-09    2.4101804909e-09    8.3750873713e-11   -8.5826834552e-10   -2.2490897358e-09    4.2227141882e-10   -1.0553317008e-10    9.0724489312e-10
   0.4600000   -2.8633303158e-09    3.0000693078e-09    9.9919998142e-11   -9.9957918186e-10   -2.3574359676e-09    8.0568304497e-10   -1.1960159149e-10    1.4137054710e-09
   0.5100000   -2.0230307743e-09    3.3491254684e-09    1.7451167736e-11   -1.1581183838e-09   -2.2919786790e-09    1.0602893751e-09   -1.3216610565e-10    1.9232342932e-09
   0.5600000   -1.1435791709e-09    3.3900930352e-09   -1.8425651986e-10   -1.3185852284e-09   -2.0650504553e-09    1.1233822707e-09   -1.4314445351e-10    2.4238647945e-09
   0.6100000   -3.4798637083e-10    3.1271596894e-09   -4.6209396544e-10   -1.4707567682e-09   -1.7101524023e-09    9.5844118073e-10   -1.5256955392e-10    2.9069515840e-09
   0.6600000    2.6410182879e-10    2.6350718999e-09   -7.0900105382e-10   -1.6298545460e-09   -1.2770472262e-09    5.6684967886e-10   -1.6052586490e-10    3.3666512913e-09
   0.7100000    6.2987011598e-10    2.0361764995e-09   -7.9918299262e-10   -1.8413617590e-09   -8.2487107134e-10   -7.5324816172e-12   -1.6709915461e-10    3.7994166311e-09
   0.7600000    7.2890867959e-10    1.4638995721e-09   -6.6394581018e-10   -2.1557720344e-09   -4.1413845035e-10   -6.8232800494e-10   -1.7236528181e-10    4.2035163786e-09
   0.8100000    5.8109068573e-10    1.0268517901e-09   -3.5286867923e-10   -2.5815882274e-09   -9.8659018836e-11   -1.3487632608e-09   -1.7637643795e-10    4.5785879532e-09
   0.8600000    2.3813233706e-10    7.8553248885e-10   -2.9576659281e-11   -3.0490372311e-09    8.1562007025e-11   -1.8899020854e-09   -1.7915976273e-10    4.9252479783e-09
   0.9100000   -2.2980271817e-10    7.4756982236e-10    1.1409044827e-10   -3.4186483935e-09    1.0552653671e-10   -2.2015959208e-09   -1.8073292688e-10    5.2447519370e-09
   0.9600000   -7.4904483606e-10    8.7881172890e-10   -1.7651023234e-11   -3.5421331781e-09   -2.6203825605e-11   -2.2121614109e-09   -1.8112458555e-10    5.5387263182e-09
   1.0100000   -1.2547618861e-09    1.1227582943e-09   -3.4351602041e-10   -3.3445196790e-09   -2.9192677132e-10   -1.8969245607e-09   -1.8037886306e-10    5.8089279207e-09
   1.0600000   -1.6982487495e-09    1.4197575783e-09   -6.3133592830e-10   -2.8774742924e-09   -6.5216757450e-10   -1.2847266648e-09   -1.7857187331e-10    6.0571079835e-09
   1.1100000   -2.0483794937e-09    1.7195061998e-09   -6.2678869622e-10   -2.3088752150e-09   -1.0554452913e-09   -4.5493331048e-10   -1.7583833162e-10    6.2848910969e-09
   1.1600000   -2.2890385553e-09    1.9855157932e-09   -2.1119004766e-10   -1.8519025748e-09   -1.4456830563e-09    4.7475938528e-10   -1.7236327660e-10    6.4937105070e-09
   1.2100000   -2.4154328058e-09    2.1936604465e-09    5.0708272903e-10   -1.6710784752e-09   -1.7701576453e-09    1.3674511246e-09   -1.6838890584e-10    6.6847868392e-09
   1.2600000   -2.4312160493e-09    2.3291585906e-09    1.2254080069e-09   -1.8128817120e-09   -1.9868479736e-09    2.0900291008e-09   -1.6420274950e-10    6.8591266066e-09
   1.3100000   -2.3471203654e-09    2.3850641567e-09    1.5931944059e-09   -2.1943371076e-09   -2.0700793388e-09    2.5356143498e-09   -1.6013234605e-10    7.0175513027e-09
   1.3600000   -2.1808147962e-09    2.3633558578e-09    1.3991864247e-09   -2.6529662359e-09   -2.0137121159e-09    2.6416220219e-09   -1.5652745996e-10    7.1607257933e-09
   1.4100000   -1.9566240097e-09    2.2763513517e-09    7.0062681844e-10   -3.0305003266e-09   -1.8314530668e-09    2.4002406791e-09   -1.5374172525e-10    7.2892009984e-09
   1.4600000   -1.7045556513e-09    2.1460907760e-09   -1.8415220946e-10   -3.2447783157e-09   -1.5542718511e-09    1.8594346398e-09   -1.5211623610e-10    7.4034593529e-09
   1.5100000   -1.4575156964e-09    2.0005283084e-09   -8.3177572809e-10   -3.3105233246e-09   -1.2253553919e-09    1.1144500930e-09   -1.5194293278e-10    7.5039479467e-09
   1.5600000   -1.2469855440e-09    1.8677188457e-09   -9.4333920744e-10   -3.3028660399e-09   -8.9345720746e-10    2.9139040745e-10   -1.5347685558e-10    7.5911174575e-09
