time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.4721844355569900e-09
1.0000000000000000e+00  -8.8169890825303726e-09  1.6561222758599799e-08
2.0000000000000000e+00  -1.3330944476584512e-07  1.8493560118686100e-08
2.9999999999999800e+00  -3.4655837526755493e-07  1.8551532927825715e-08
3.9999999999999600e+00  -5.4171604123435538e-07  1.8939351108931787e-08
4.9999999999999396e+00  -7.0248266286502419e-07  1.9328848246671352e-08
5.9999999999999201e+00  -8.7175980874865680e-07  1.9720839175658927e-08
6.9999999999998996e+00  -1.0091990076355740e-06  2.0299983729569407e-08
7.9999999999998703e+00  -1.1567235976192859e-06  2.0412506348685034e-08
8.9999999999998508e+00  -1.3057812564188885e-06  2.0583307842150022e-08
9.9999999999998295e+00  -1.4236515144050280e-06  2.0973072360326365e-08
1.0999999999999799e+01  -1.5406165135315748e-06  2.1862441144888128e-08
1.1999999999999799e+01  -1.6305158524900168e-06  2.2602621242592055e-08
1.2999999999999799e+01  -1.6893334136478003e-06  2.2825117713102644e-08
1.3999999999999700e+01  -1.7788349224004643e-06  2.2979793793968191e-08
1.4999999999999700e+01  -1.8770393508452684e-06  2.3468852056697787e-08
1.5999999999999700e+01  -1.9191907901556398e-06  2.5033740282950801e-08
1.6999999999999901e+01  -1.9459233141214619e-06  2.5069920222089282e-08
1.8000000000000000e+01  -2.0003136119461613e-06  2.4562911935381185e-08
1.9000000000000199e+01  -2.0315580059480198e-06  2.5653651892723463e-08
2.0000000000000298e+01  -2.0163745044079841e-06  2.5477235117398336e-08
2.1000000000000501e+01  -2.0077771022857540e-06  2.1779860372960103e-07
2.2000000000000600e+01  -2.0250908371183127e-06  3.8540591208204751e-06
2.3000000000000799e+01  -3.3834452635000019e-06  1.0256111900225354e-05
2.4000000000000998e+01  -5.9489184490559722e-06  5.3703733741284937e-06
2.5000000000001101e+01  -4.2836094511970390e-06  2.8486328055357755e-06
2.6000000000001300e+01  -2.8280223569560673e-06  2.5058935397356167e-06
2.7000000000001400e+01  -2.4793991039030432e-06  2.0050412755964812e-06
2.8000000000001599e+01  -2.5984836998809262e-06  1.6281034160986125e-06
2.9000000000001702e+01  -2.9726185398636870e-06  9.6209445503006964e-07
3.0000000000001901e+01  -3.4792488576910346e-06  7.1149825410376419e-07
3.1000000000002000e+01  -4.1524934985822940e-06  5.9970137205159813e-07
3.2000000000002203e+01  -4.8242503706017380e-06  5.9606278439055016e-07
3.3000000000001997e+01  -3.6230579949569223e-06  7.4021504316407924e-07
3.4000000000001798e+01  2.2534331795882058e-05  1.0386104968464905e-06
3.5000000000001599e+01  1.0429821735611414e-04  1.0268828658943864e-06
3.6000000000001400e+01  2.0807025480705919e-04  1.5853432218016708e-06
3.7000000000001201e+01  2.8989266085665568e-04  1.1941944525862014e-06
3.8000000000001002e+01  3.5166766455576573e-04  1.4726030397285896e-06
3.9000000000000803e+01  4.0755302709182179e-04  1.9075838810224858e-06
4.0000000000000597e+01  4.6856228976575491e-04  1.9442567267653859e-06
