# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1358089105e-01    2.4434989518e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7376492108e-01   -1.4403273664e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.1363652420e-01    2.6216947596e-08    3.4411724421e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7359600475e-01   -1.4403272686e-01   -2.3038612871e-05    3.5314924462e-05
   0.1000000    2.1368905443e-01    2.7981817793e-08    6.4607932027e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7343650496e-01   -1.4403272197e-01   -4.6028966556e-05    7.0466566062e-05
   0.1500000    2.1373877192e-01    2.9730638645e-08    9.1110947871e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7328553761e-01   -1.4403272172e-01   -6.8909545385e-05    1.0525230371e-04
   0.2000000    2.1378593229e-01    3.1464351491e-08    1.1435404789e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7314232320e-01   -1.4403271800e-01   -9.1607689025e-05    1.3943811961e-04
   0.2500000    2.1383076131e-01    3.3183811781e-08    1.3469650300e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7300617244e-01   -1.4403271533e-01   -1.1404216432e-04    1.7277032178e-04
   0.3000000    2.1387345901e-01    3.4889798845e-08    1.5243649062e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7287647413e-01   -1.4403271273e-01   -1.3612654068e-04    2.0498811892e-04
   0.3500000    2.1391420302e-01    3.6583024340e-08    1.6782232146e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7275268481e-01   -1.4403270971e-01   -1.5777161182e-04    2.3583418447e-04
   0.4000000    2.1395315154e-01    3.8264139629e-08    1.8106208018e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7263432003e-01   -1.4403270673e-01   -1.7888922631e-04    2.6506345517e-04
   0.4500000    2.1399044579e-01    3.9933742199e-08    1.9233463996e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7252094683e-01   -1.4403270417e-01   -1.9939379553e-04    2.9245336754e-04
   0.5000000    2.1402621213e-01    4.1592381299e-08    2.0179223181e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7241217745e-01   -1.4403270171e-01   -2.1920412744e-04    3.1781133189e-04
   0.5500000    2.1406056379e-01    4.3240562932e-08    2.0957250625e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7230766388e-01   -1.4403269896e-01   -2.3824719328e-04    3.4097777644e-04
   0.6000000    2.1409360245e-01    4.4878754393e-08    2.1579884080e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7220709329e-01   -1.4403269599e-01   -2.5645890756e-04    3.6183232478e-04
   0.6500000    2.1412541947e-01    4.6507388549e-08    2.2058628700e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7211018425e-01   -1.4403269313e-01   -2.7378293490e-04    3.8029657696e-04
   0.7000000    2.1415609688e-01    4.8126868103e-08    2.2404412882e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7201668357e-01   -1.4403269050e-01   -2.9017520295e-04    3.9633139984e-04
   0.7500000    2.1418570833e-01    4.9737570043e-08    2.2627779865e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7192636361e-01   -1.4403268786e-01   -3.0560200495e-04    4.0993807055e-04
   0.8000000    2.1421431975e-01    5.1339850369e-08    2.2739043533e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7183902012e-01   -1.4403268506e-01   -3.2004063239e-04    4.2115689071e-04
   0.8500000    2.1424199005e-01    5.2934048884e-08    2.2748207408e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7175447015e-01   -1.4403268219e-01   -3.3347790954e-04    4.3006048346e-04
   0.9000000    2.1426877181e-01    5.4520493478e-08    2.2665139967e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7167254994e-01   -1.4403267937e-01   -3.4591124712e-04    4.3675242168e-04
   0.9500000    2.1429471210e-01    5.6099502749e-08    2.2499497394e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7159311248e-01   -1.4403267658e-01   -3.5734473298e-04    4.4136155322e-04
   1.0000000    2.1431985353e-01    5.7671385378e-08    2.2260599345e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7151602440e-01   -1.4403267375e-01   -3.6779506280e-04    4.4403585521e-04
   1.0500000    2.1434423555e-01    5.9236434425e-08    2.1957442417e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7144116209e-01   -1.4403267086e-01   -3.7728500667e-04    4.4493790892e-04
   1.1000000    2.1436789603e-01    6.0794915024e-08    2.1598731131e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7136840703e-01   -1.4403266787e-01   -3.8583653710e-04    4.4423930735e-04
   1.1500000    2.1439087306e-01    6.2347044966e-08    2.1192674616e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7129764060e-01   -1.4403266473e-01   -3.9348096783e-04    4.4211608324e-04
   1.2000000    2.1441320667e-01    6.3892969497e-08    2.0746945118e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7122873900e-01   -1.4403266137e-01   -4.0025678680e-04    4.3874337087e-04
   1.2500000    2.1443494024e-01    6.5432734103e-08    2.0268873350e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7116156902e-01   -1.4403265764e-01   -4.0619887877e-04    4.3429281082e-04
   1.3000000    2.1445612133e-01    6.6966261628e-08    1.9765144736e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7109598576e-01   -1.4403265331e-01   -4.1134277450e-04    4.2892955236e-04
   1.3500000    2.1447680140e-01    6.8493341980e-08    1.9241954031e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7103183330e-01   -1.4403264801e-01   -4.1573524381e-04    4.2280873891e-04
   1.4000000    2.1449703460e-01    7.0013657747e-08    1.8705197179e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7096894818e-01   -1.4403264119e-01   -4.1941036786e-04    4.1607594035e-04
   1.4500000    2.1451688132e-01    7.1527296247e-08    1.8160103540e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7090714827e-01   -1.4403263205e-01   -4.2240870860e-04    4.0886481671e-04
   1.5000000    2.1453639605e-01    7.3034217403e-08    1.7611664179e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7084626914e-01   -1.4403261950e-01   -4.2476946477e-04    4.0130738131e-04
   1.5500000    2.1455562186e-01    7.4534220639e-08    1.7064520473e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7078618016e-01   -1.4403260192e-01   -4.2653175597e-04    3.9353542069e-04
   1.6000000    2.1457458878e-01    7.6027207993e-08    1.6523038648e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7072678888e-01   -1.4403257714e-01   -4.2772766111e-04    3.8562621986e-04
   1.6500000    2.1459331075e-01    7.7513257607e-08    1.5991363101e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7066805000e-01   -1.4403254225e-01   -4.2838824241e-04    3.7767735256e-04
   1.7000000    2.1461178429e-01    7.8992680632e-08    1.5473418198e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7060996897e-01   -1.4403249347e-01   -4.2855754354e-04    3.6978730388e-04
   1.7500000    2.1462998958e-01    8.0466046591e-08    1.4972912783e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7055259908e-01   -1.4403242601e-01   -4.2825681460e-04    3.6207431126e-04
   1.8000000    2.1464789366e-01    8.1934167617e-08    1.4493260563e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7049603194e-01   -1.4403233394e-01   -4.2751323506e-04    3.5461399032e-04
   1.8500000    2.1466545545e-01    8.3398040344e-08    1.4037266064e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7044038286e-01   -1.4403221007e-01   -4.2635787017e-04    3.4750298552e-04
